Searches,Cases
56,0
30,0
24,0
69,0
0,0
0,0
20,0
40,0
78,0
95,1
44,0
72,0
100,0
100,0
56,0
84,0
21,0
63,0
72,0
34,0
39,0
44,0
24,0
23,0
11,0
22,0
32,1
21,3
18,0
22,0
23,1
13,0
8,2
10,1
8,5
31,11
14,7
37,8
51,8
46,12
36,19
56,30
83,1
84,168
68,101
81,73
67,0
89,188
75,8
100,32
91,75
100,0
88,2
79,15
57,26
60,8
60,16
100,1
28,0
57,0
54,2
35,1
100,1
69,0
23,2
55,0
12,1
52,0
57,2
48,0
13,2
45,0
37,0
100,0
0,0
33,0
47,0
22,0
15,0
15,0
9,0
47,0
0,0
22,0
20,1
34,0
7,0
17,0
13,3
0,0
0,0
8,0
16,0
5,0
8,0
12,0
0,0
2,0
8,0
0,0
3,0
1,0
9,0
3,0
0,0
35,0
0,0
20,0
0,0
10,0
13,0
56,0
0,0
0,0
13,0
33,0
45,0
0,0
0,0
0,0
19,0
25,0
