Searches,Cases
18,0
49,0
3,0
0,0
10,0
3,0
0,0
24,0
52,0
54,1
42,0
66,0
29,0
23,0
50,0
77,0
49,1
36,0
61,2
35,0
19,1
35,0
14,0
20,2
7,1
15,0
10,0
12,0
7,3
15,1
10,1
6,9
8,15
18,18
20,43
56,74
83,42
79,91
100,85
100,114
73,173
79,36
100,97
47,195
35,102
47,103
29,182
30,123
33,61
35,135
28,28
45,11
20,9
38,8
28,16
13,1
9,2
26,70
7,1
9,0
16,0
18,0
56,1
27,1
22,2
61,0
17,1
33,0
41,0
23,1
100,0
32,0
36,0
57,3
15,1
11,0
24,0
46,0
0,0
4,1
19,0
6,1
29,4
71,0
5,0
6,2
3,0
4,1
6,1
13,1
13,1
22,2
20,1
16,2
12,7
27,1
11,12
7,13
4,15
4,1
7,21
1,5
5,8
4,3
10,5
16,3
5,5
16,3
8,3
0,0
5,0
8,0
0,0
8,0
16,0
21,0
18,0
6,0
22,0
11,0
57,1
32,0
