CITY,2/1/2016,9/1/2016,16/1/2016,23/1/2016,30/1/2016,6/2/2016,13/2/2016,20/2/2016,27/2/2016,5/3/2016,12/3/2016,19/3/2016,26/3/2016,2/4/2016,9/4/2016,16/4/2016,23/4/2016,30/4/2016,7/5/2016,14/5/2016,21/5/2016,28/5/2016,4/6/2016,11/6/2016,18/6/2016,25/6/2016,2/7/2016,9/7/2016,16/7/2016,23/7/2016,30/7/2016,6/8/2016,13/8/2016,20/8/2016,27/8/2016,3/9/2016,10/9/2016,17/9/2016,24/9/2016,1/10/2016,8/10/2016,15/10/2016,22/10/2016,29/10/2016,5/11/2016,12/11/2016,19/11/2016,26/11/2016,3/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016
Aguascalientes,0,0,0,19,22,30,0,0,24,0,0,30,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,18,0,0,11,9,0,0,0,37,8,0,7,0,0,0,21,0,0,0,0,0,0,0,0
Baja California,0,0,10,24,21,28,30,11,22,5,0,9,21,47,14,0,11,0,0,18,6,0,0,9,7,11,0,0,5,0,4,5,0,5,6,4,0,8,0,0,2,8,0,0,6,7,0,0,0,0,0,0,0
Baja California Sur,0,0,56,0,76,25,0,0,0,30,0,0,61,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,28,0,0,0,0,0,21,13,0,32,49,15,45,0,0,0,41,53,86,0,0,100
Campeche,0,0,0,40,100,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,37,0,0,0,0,36,0,66,43,23,100,0,43,95,58,69,19,28,33,59,0,0,0,0,53,0,0,0,100,0
Chiapas,100,0,71,40,80,63,68,11,100,61,100,24,81,46,97,100,100,100,100,66,100,100,81,80,100,78,30,96,91,39,52,0,7,13,20,14,30,9,10,0,11,0,0,0,0,19,22,0,0,0,48,0,0
Chihuahua,0,0,14,8,23,19,16,14,41,29,0,0,0,0,20,12,0,0,8,0,0,4,0,7,0,16,0,6,7,8,6,0,4,4,4,0,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,0
Coahuila,0,0,16,9,50,30,39,33,0,9,0,0,0,0,71,43,0,0,0,15,0,0,0,8,18,19,0,0,0,9,7,0,0,0,0,13,0,0,4,9,0,0,0,5,0,13,15,0,0,26,0,0,0
Colima,0,0,100,56,33,0,57,0,0,100,50,93,0,0,0,80,0,0,0,0,0,0,90,0,0,0,24,0,44,0,0,50,79,48,100,100,73,100,62,70,100,38,23,27,56,0,0,64,0,0,0,0,0
Durango,0,0,0,0,37,17,0,19,0,0,0,0,0,37,54,33,0,0,0,38,0,0,0,20,0,0,10,0,0,23,0,0,12,11,12,8,0,0,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Guanajuato,0,0,0,12,24,14,12,5,0,27,11,0,0,20,14,18,0,0,13,0,0,0,10,5,4,0,3,0,5,5,0,11,0,5,3,2,4,7,5,3,4,0,0,0,0,0,0,0,9,0,0,0,20
Guerrero,0,0,25,84,60,100,100,49,53,54,41,91,0,0,37,87,0,35,49,0,16,22,100,100,82,100,100,100,100,100,100,85,100,60,54,30,88,79,24,20,5,45,35,23,48,60,0,79,24,80,100,0,51
Hidalgo,0,0,0,0,8,65,14,12,0,13,25,0,53,0,0,0,0,33,15,0,0,0,11,12,0,0,0,0,0,14,21,0,0,13,14,22,20,0,11,6,0,0,0,0,14,0,0,0,67,0,0,0,0
Jalisco,0,0,10,63,69,56,35,20,22,21,8,25,11,30,7,9,17,4,12,14,3,7,13,8,7,6,3,2,2,8,11,16,1,4,6,7,20,9,4,1,4,9,10,1,6,7,0,4,0,16,0,0,9
Mexico City,0,0,6,17,60,21,13,12,23,9,6,6,23,16,9,13,11,4,4,15,7,2,5,8,0,3,1,5,1,3,5,13,4,6,9,3,9,10,4,2,5,3,3,2,7,12,6,3,8,0,4,0,0
Michoacán,33,99,16,53,33,22,47,48,23,9,9,0,0,16,23,14,0,0,0,0,0,0,0,8,11,0,0,7,8,9,14,36,0,4,23,0,0,0,7,4,6,0,4,5,0,25,30,12,0,0,0,0,0
Morelos,0,0,0,13,15,10,26,22,33,50,0,43,100,0,64,0,0,0,14,20,15,0,12,0,29,0,7,13,0,30,36,45,0,22,16,5,23,11,13,36,26,24,22,23,68,41,73,42,27,0,0,70,0
Nayarit,0,0,0,27,33,22,29,26,37,27,0,0,0,0,0,0,0,0,32,100,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Nuevo Leon,0,0,6,22,61,21,27,3,34,18,16,17,19,17,16,15,19,12,7,5,14,5,6,17,2,0,1,3,0,3,2,0,2,0,3,7,14,18,16,51,29,95,100,70,100,92,100,71,53,71,10,0,44
Oaxaca,0,0,51,100,93,34,14,37,54,79,40,72,27,70,100,41,52,50,30,25,31,7,24,37,18,42,13,48,63,44,46,59,71,71,88,35,54,40,41,27,21,60,29,0,16,100,23,38,94,0,0,0,0
Puebla,0,0,0,9,37,35,30,22,18,18,9,8,9,50,23,22,9,0,0,0,5,7,0,0,6,0,2,16,4,15,15,5,5,7,20,5,19,14,12,7,3,11,4,7,15,25,0,13,8,0,0,12,17
