CITY,2/1/2016,9/1/2016,16/1/2016,23/1/2016,30/1/2016,6/2/2016,13/2/2016,20/2/2016,27/2/2016,5/3/2016,12/3/2016,19/3/2016,26/3/2016,2/4/2016,9/4/2016,16/4/2016,23/4/2016,30/4/2016,7/5/2016,14/5/2016,21/5/2016,28/5/2016,4/6/2016,11/6/2016,18/6/2016,25/6/2016,2/7/2016,9/7/2016,16/7/2016,23/7/2016,30/7/2016,6/8/2016,13/8/2016,20/8/2016,27/8/2016,3/9/2016,10/9/2016,17/9/2016,24/9/2016,1/10/2016,8/10/2016,15/10/2016,22/10/2016,29/10/2016,5/11/2016,12/11/2016,19/11/2016,26/11/2016,3/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016
Aguascalientes,0,0,9,35,70,26,12,19,15,13,8,9,9,28,0,24,0,23,0,17,18,40,7,6,4,5,0,0,4,4,7,0,16,8,0,6,7,4,5,0,4,5,0,5,0,13,0,0,0,0,0,0,0
Baja California,3,4,21,30,53,38,28,7,21,13,31,5,14,12,19,13,19,9,4,5,18,8,15,4,7,9,2,0,4,8,4,7,4,9,6,3,7,2,2,2,3,3,3,1,3,7,2,4,0,7,8,4,0
Baja California Sur,0,20,14,40,95,50,48,5,6,22,77,31,100,0,54,13,31,0,25,0,30,45,25,0,0,0,17,19,22,7,36,15,8,12,16,16,0,6,4,4,19,16,12,40,47,52,13,11,15,0,46,43,22
Campeche,0,0,19,22,75,66,62,14,16,33,34,0,24,26,49,18,87,0,17,19,41,0,17,30,0,23,0,20,10,51,100,100,100,99,82,100,100,67,39,27,65,21,64,69,25,42,19,0,0,28,33,0,32
Chiapas,100,100,100,55,98,89,70,38,58,67,81,100,65,45,67,100,99,73,100,100,100,100,100,100,100,100,59,44,100,75,64,34,14,21,11,19,14,16,13,11,16,8,6,4,17,24,18,9,13,0,11,0,22
Chihuahua,4,0,11,24,66,37,40,15,8,10,25,12,8,15,18,6,4,9,9,7,15,12,6,14,2,7,3,1,4,2,13,10,8,5,12,5,10,10,3,4,3,4,1,0,0,3,4,0,4,0,0,0,0
Coahuila,0,0,25,33,65,24,17,13,13,21,47,14,24,6,11,30,9,19,4,16,4,17,4,7,2,3,2,2,2,2,8,5,2,8,8,5,2,0,5,4,7,1,5,7,6,10,4,0,5,0,0,0,0
Colima,0,0,26,73,30,65,87,28,43,100,43,27,0,100,30,21,54,0,0,0,0,0,21,18,26,15,20,17,0,12,0,38,13,40,65,91,89,99,100,100,78,100,84,70,48,68,22,52,24,0,41,84,0
Durango,0,0,19,38,60,42,19,32,4,38,17,32,11,33,25,26,11,13,19,0,11,41,9,0,0,6,0,4,6,6,9,0,6,5,0,0,9,0,9,6,0,12,0,0,0,8,11,0,0,0,0,0,19
Guanajuato,3,0,16,38,52,24,39,14,12,13,31,6,12,16,40,9,15,22,11,12,6,11,12,0,4,0,0,2,0,6,6,4,8,8,10,9,3,5,4,3,1,1,2,6,2,4,5,4,0,8,0,0,9
Guerrero,0,26,32,70,75,100,97,29,48,46,82,27,38,18,33,23,7,31,30,25,72,60,42,72,69,90,100,100,85,100,97,89,76,31,52,62,29,35,39,17,20,13,31,36,68,50,47,58,28,49,58,23,23
Hidalgo,8,0,13,17,59,32,30,5,19,16,17,7,22,25,15,21,14,0,0,11,13,5,26,9,13,15,0,0,3,3,21,0,14,14,15,10,5,8,19,15,8,6,2,4,16,22,0,5,0,0,12,12,12
Jalisco,2,4,75,71,72,58,54,19,22,18,16,16,18,12,30,10,9,14,11,12,17,11,10,11,6,3,4,4,5,4,14,6,10,8,8,6,14,13,7,5,9,9,8,7,8,10,7,4,4,8,9,7,15
Mexico City,4,4,30,49,93,38,37,14,16,16,18,18,23,19,28,20,10,11,11,9,15,10,7,12,4,6,5,4,6,6,18,11,10,11,10,8,7,10,4,5,9,4,5,6,8,10,5,5,6,3,6,7,4
Michoacán,0,6,12,36,47,43,29,26,20,14,26,4,9,20,41,14,18,23,8,4,13,13,0,0,4,2,9,4,0,9,22,18,19,13,21,8,5,3,4,2,4,2,7,7,9,3,17,19,9,0,0,0,0
Morelos,0,0,64,49,67,38,31,22,29,18,22,12,27,52,59,16,0,35,20,26,26,51,76,70,19,17,9,12,29,15,31,16,20,25,13,10,34,19,17,45,86,23,32,24,53,62,97,79,38,32,61,12,12
Nayarit,0,17,26,31,41,44,53,15,29,29,36,29,15,18,100,47,15,0,46,25,14,35,0,11,17,9,6,5,23,14,72,23,0,6,10,29,15,11,7,4,0,3,0,0,9,19,12,0,27,0,64,20,20
Nuevo Leon,4,2,9,36,67,30,32,15,12,15,28,10,11,12,23,8,20,13,8,15,9,14,8,10,4,2,4,1,4,2,9,5,2,7,5,6,4,10,11,34,57,60,95,100,96,77,60,50,38,42,17,32,29
Oaxaca,8,0,13,80,77,61,100,22,37,38,58,28,51,59,38,16,100,90,39,12,35,27,56,46,36,69,42,36,65,29,90,53,70,70,61,39,58,35,35,30,32,37,29,47,41,35,66,15,28,19,12,0,33
Puebla,3,0,18,37,81,37,32,22,19,32,24,30,25,27,44,28,19,11,12,12,13,11,29,8,13,5,6,7,8,12,16,10,20,41,26,22,22,24,15,8,8,9,11,18,18,14,7,12,19,10,0,8,4
Querétaro,0,0,19,41,55,30,47,22,15,7,36,6,11,23,31,21,17,6,13,0,21,15,4,4,0,6,0,0,0,0,16,3,8,6,3,8,12,10,1,5,4,4,2,0,3,3,0,0,15,0,0,0,0
Quintana Roo,7,8,72,100,95,66,78,41,38,26,59,56,13,17,32,40,56,100,28,53,32,50,41,60,49,49,21,21,18,46,79,45,64,46,77,85,90,81,68,53,100,53,70,77,100,61,65,100,100,63,88,74,100
San Luis Potosi,0,0,12,51,63,29,38,14,29,20,55,27,14,0,60,11,20,22,5,22,6,15,11,10,3,0,2,2,0,7,0,7,3,0,9,8,8,5,4,3,15,3,5,3,4,9,0,9,6,0,11,21,0
Sinaloa,0,6,37,31,87,35,28,17,23,21,22,24,16,13,17,8,30,0,16,9,19,11,4,7,0,0,0,3,0,7,8,3,0,2,7,5,10,2,6,4,10,5,4,30,7,29,48,11,46,21,32,8,15
Sonora,0,6,29,24,63,50,29,8,8,26,39,14,15,9,27,11,9,20,8,12,5,21,7,13,5,10,2,0,0,4,15,7,2,4,6,4,6,9,9,2,13,6,3,2,3,3,4,10,4,6,7,0,7
