,Searches,Cases,predictions,error
4,0.55,226.0,203.57537228121757,22.424627718782432
5,0.7,270.99999999999994,149.46683243460654,121.5331675653934
6,0.38,273.99999999999994,206.22244414396286,67.77755585603708
7,0.43,263.0,243.67182103672027,19.328178963279726
8,0.27,312.0,240.7485215277672,71.2514784722328
9,0.23,360.99999999999994,278.96541147122383,82.03458852877611
10,0.53,181.99999999999997,320.96512433595655,-138.96512433595657
11,0.21,443.0,191.665681589365,251.334318410635
12,0.36,468.99999999999994,387.34365180425647,81.65634819574348
13,0.37,541.0,427.8756215130806,113.1243784869194
14,0.54,468.99999999999994,477.70116846151353,-8.70116846151359
15,0.36,549.0,461.05572548894884,87.94427451105116
16,0.83,488.0,499.4222575778961,-11.422257577896119
17,0.3,541.0,459.0260724403381,81.97392755966189
18,0.56,549.0,495.8401237812042,53.15987621879577
19,0.39,553.9999999999999,501.2620716876984,52.737928312301506
20,0.27,405.99999999999994,511.6556847909927,-105.65568479099278
21,0.23,464.0,403.76061187925336,60.23938812074664
22,0.5,483.0,433.20801607465745,49.79198392534255
23,0.41,278.0,428.791675965786,-150.791675965786
24,0.16,281.0,301.65385754914286,-20.653857549142856
25,0.42,246.0,290.996753974247,-44.996753974246985
26,0.04,166.99999999999997,223.62356717476845,-56.62356717476848
27,0.15,204.0,169.74109252128602,34.25890747871398
28,0.69,162.0,195.3855852268219,-33.38558522682189
29,1.0,138.0,150.79672712521554,-12.79672712521554
30,0.16,90.0,139.9598780361414,-49.95987803614139
31,0.55,61.0,90.08640943386554,-29.08640943386554
32,0.39,77.0,54.89667709554434,22.10332290445566
33,0.71,61.99999999999999,68.82370626827479,-6.8237062682747975
34,1.0,77.0,55.88642730734348,21.11357269265652
35,0.0,74.0,59.04588543405533,14.954114565944671
36,0.48,46.99999999999999,58.51871284354925,-11.51871284354926
37,0.56,45.0,31.943733169174195,13.056266830825805
38,0.46,46.0,29.707698088270426,16.292301911729574
39,0.23,27.999999999999996,41.766826993227006,-13.76682699322701
40,0.52,17.0,26.386379071986674,-9.386379071986674
41,0.57,-87.0,16.11045829744041,-103.1104582974404
42,0.33,36.0,-74.66483596699238,110.66483596699238
43,0.18,29.0,34.560254486191276,-5.560254486191276
44,0.72,30.0,35.45684199553132,-5.45684199553132
45,0.5,5.0,82.3420844223857,-77.3420844223857
46,0.0,15.0,9.361943115212023,5.638056884787977
47,0.74,10.0,16.481690180128812,-6.481690180128812
48,0.0,12.0,0.23757973318723963,11.76242026681276
49,0.51,32.0,2.8254558825410903,29.17454411745891
50,0.48,13.999999999999998,28.532895206207037,-14.532895206207039
51,0.08,20.0,-6.331362271550297,26.331362271550297
52,0.0,2.0,22.982531321549416,-20.982531321549416
53,0.0,5.0,-4.973773931388557,9.973773931388557
54,0.0,6.0,5.880981281188131,0.1190187188118692
55,0.09,13.0,3.821498514125496,9.178501485874504
56,0.14,6.0,12.006355871626734,-6.0063558716267345
57,0.0,5.0,3.8017904759958387,1.1982095240041613
58,0.4,9.0,4.271250508210808,4.728749491789192
59,0.34,8.0,9.013426351974905,-1.0134263519749052
60,0.09,10.0,6.248598278047145,3.7514017219528553
61,0.38,5.0,10.387007413879036,-5.3870074138790365
62,0.29,4.0,4.1828811382189395,-0.18288113821893948
63,0.0,5.0,2.3536228328783064,2.6463771671216936
64,0.0,5.0,5.155631251426041,-0.1556312514260414
65,0.48,0.0,5.145342186840623,-5.145342186840623
66,0.0,8.0,-2.1619991785597055,10.161999178559705
67,0.18,5.0,7.933565052466094,-2.9335650524660943
68,0.1,3.0,4.497635113511235,-1.497635113511235
69,0.26,4.0,-0.7686029679538682,4.768602967953868
70,0.44,2.0,4.299328373751044,-2.2993283737510444
71,0.0,5.0,1.3844564321011306,3.6155435678988694
72,0.0,8.0,5.0825875231407585,2.9174124768592415
73,0.27,0.0,8.125447000665963,-8.125447000665963
74,0.0,6.0,-3.1674031973592935,9.167403197359294
75,0.25,4.0,5.896347463670373,-1.8963474636703728
76,0.14,1.0,3.4674553060613573,-2.4674553060613573
77,0.26,-8.0,-1.0910842607880011,-6.908915739211999
78,0.68,2.0,-7.05445860273838,9.05445860273838
79,0.0,1.0,2.2373568023283035,-1.2373568023283035
80,0.0,1.0,-0.5505542909116484,1.5505542909116485
81,0.0,0.0,1.8476079203587026,-1.8476079203587026
82,0.15,1.0,-0.14842907027360053,1.1484290702736004
83,0.0,1.0,1.1597816033013164,-0.1597816033013164
84,0.37,4.0,1.008970839239657,2.991029160760343
85,1.0,2.0,4.153426114814729,-2.153426114814729
86,0.0,-16.0,1.0631487486531959,-17.063148748653195
87,0.05,-1.0,-14.757489762941002,13.757489762941002
88,0.0,13.999999999999998,-0.7102484372664243,14.710248437266422
89,0.0,-1.0,8.45026952329427,-9.45026952329427
90,0.51,3.0,-2.2470944202266634,5.247094420226663
91,0.06,3.0,-1.795321990590915,4.7953219905909155
92,0.0,2.0,2.286343880040571,-0.2863438800405711
93,0.0,2.0,2.469217790740356,-0.46921779074035586
94,0.0,-4.0,1.7231572600323708,-5.723157260032371
95,0.0,0.0,-3.844903133890033,3.844903133890033
96,0.13,3.0,0.3231871476648375,2.6768128523351624
97,0.0,8.0,2.631887499499321,5.368112500500679
98,0.0,4.0,7.840617338968814,-3.840617338968814
99,0.3,-3.0,3.6414885635241867,-6.641488563524186
100,0.0,6.999999999999999,-5.5325640271276235,12.532564027127624
101,0.02,4.0,7.1199522258117796,-3.1199522258117796
102,0.0,-1.0,3.270545073171705,-4.270545073171705
103,0.33,-5.0,-2.516134217623249,-2.483865782376751
