State,Model,Error
Chiapas,LSTM,-7.388341853015126
Chiapas,LSTM,-6.909398640353231
Chiapas,LSTM,-4.421331681938767
Chiapas,LSTM,3.4929225428259367
Chiapas,LSTM,-9.664822014968099
Chiapas,LSTM,1.2423387578177452
Chiapas,LSTM,-3.4483584749525784
Chiapas,LSTM,-2.6348844327098133
Chiapas,LSTM,-9.344657003393769
Chiapas,LSTM,-6.518534676976203
Chiapas,LSTM,-6.330906461103262
Chiapas,LSTM,4.212340957223252
Chiapas,LSTM,0.9374035932201156
Chiapas,LSTM,1.3383900107300284
Chiapas,LSTM,3.670159862719476
Chiapas,LSTM,1.9734848347248883
Chiapas,LSTM,3.00086047410205
Chiapas,LSTM,-7.32795040721923
Chiapas,LSTM,-4.113337913101464
Chiapas,LSTM,3.1745427375647424
Chiapas,LSTM,-55.34119704850108
Chiapas,LSTM,-34.71860296199381
Chiapas,LSTM,-26.3748495580864
Chiapas,LSTM,-19.90719326103449
Chiapas,LSTM,8.473733684644701
Chiapas,LSTM,2.3198258420681985
Chiapas,LSTM,27.948135709249968
Chiapas,LSTM,26.470916361576318
Chiapas,LSTM,20.23701945773244
Chiapas,LSTM,9.604511043411492
Chiapas,LSTM,-16.461219467163087
Chiapas,LSTM,8.747039363085928
Chiapas,LSTM,8.515753094869405
Chiapas,LSTM,-3.319317449104787
Chiapas,LSTM,5.172207748609559
Chiapas,LSTM,-45.63678967747345
Chiapas,LSTM,-101.86908925179884
Chiapas,LSTM,14.704116546706256
Chiapas,LSTM,25.451391334129873
Chiapas,LSTM,37.19237728730775
Chiapas,LSTM,-19.397190296504494
Chiapas,LSTM,1.950292411658466
Chiapas,LSTM,5.2161776872259376
Chiapas,LSTM,8.139882998453379
Chiapas,LSTM,8.975078865073321
Chiapas,LSTM,0.2754949081996829
Chiapas,LSTM,1.2145667868272958
Chiapas,LSTM,1.1673173285776377
Chiapas,LSTM,1.157777729532942
Chiapas,LSTM,1.1287258488115668
Chiapas,LSTM,1.1725465018825978
Chiapas,LSTM,1.1607988180040567
Chiapas,LSTM,1.2069691633565724
Chiapas,LSTM,1.1298824230235816
Chiapas,LSTM,1.1216492668829112
Chiapas,LSTM,1.1766506880863756
Chiapas,LSTM,1.249617594446838
Chiapas,LSTM,1.1828278634807468
Chiapas,LSTM,1.339288056588769
Chiapas,LSTM,1.383986928532049
Chiapas,LSTM,1.690493187426925
Chiapas,LSTM,1.7674343354767559
Chiapas,LSTM,1.2625547031326592
Chiapas,LSTM,1.2866859923241287
Chiapas,LSTM,1.2765035712762176
Chiapas,LSTM,1.152611050111875
Chiapas,LSTM,1.1985189794667066
Chiapas,LSTM,1.1373520458021016
Chiapas,LSTM,1.241519242376089
Chiapas,LSTM,1.4401503666497022
Chiapas,LSTM,1.716635846645087
Chiapas,LSTM,1.5754364072868228
Chiapas,LSTM,1.7489099042446912
Chiapas,LSTM,1.3826766951747238
Chiapas,LSTM,1.2138694406112285
Chiapas,LSTM,1.3234762292438746
Chiapas,LSTM,1.2648005953083932
Chiapas,LSTM,-1.726921776225418
Chiapas,LSTM,1.2277466789065299
Chiapas,LSTM,-0.7818814887082575
Chiapas,LSTM,1.1874507586399463
Chiapas,LSTM,1.1783721370311826
Chiapas,LSTM,1.1425034662188591
Chiapas,LSTM,1.1393857697841523
Chiapas,LSTM,1.1891394541805982
Chiapas,LSTM,1.2765350611959398
Chiapas,LSTM,1.1941342997187376
Chiapas,LSTM,1.2076529028172045
Chiapas,LSTM,1.1882287734775243
Chiapas,LSTM,1.105568900500387
Chiapas,LSTM,1.133464304200858
Chiapas,LSTM,1.1398932045707852
Chiapas,LSTM,1.1494671120774
Chiapas,LSTM,1.1141083058294654
Chiapas,LSTM,1.1119736974749714
Chiapas,LSTM,1.1049876004699617
Chiapas,LSTM,1.125155824949741
Chiapas,LSTM,1.1134995007148385
Chiapas,LSTM,1.1078591118223966
Chiapas,LSTM,1.0922425414180008
Chiapas,LSTM,1.099612834881842
Chiapas,LSTM,1.0824724050597847
Chiapas,LSTM,1.0917536701334267
Chiapas,LSTM,1.104562194980383
Chiapas,LSTM,1.1497770545279982
Chiapas,LSTM,1.1620623024373502
Chiapas,LSTM,1.2289599155358224
Chiapas,LSTM,1.3473183748823403
Chiapas,LSTM,1.1668008550177515
Chiapas,LSTM,1.2471193941488865
Chiapas,LSTM,1.37883871542193
Chiapas,LSTM,1.2166557153599709
Chiapas,LSTM,1.1972925248464197
Chiapas,LSTM,1.2612157012066991
Chiapas,LSTM,1.0770571107786897
Chiapas,LSTM,1.0770571107786897
Chiapas,LSTM,1.0770571107786897
Chiapas,LSTM,1.0770571107786897
Chiapas,LSTM,1.0770571107786897
Chiapas,Naive,0.0
Chiapas,Naive,1.0
Chiapas,Naive,1.0
Chiapas,Naive,6.0
Chiapas,Naive,-12.0
Chiapas,Naive,12.0
Chiapas,Naive,-4.0
Chiapas,Naive,1.0
Chiapas,Naive,-8.0
Chiapas,Naive,4.0
Chiapas,Naive,-1.0
Chiapas,Naive,10.0
Chiapas,Naive,-4.0
Chiapas,Naive,2.0
Chiapas,Naive,3.0
Chiapas,Naive,-1.0
Chiapas,Naive,1.0
Chiapas,Naive,-10.0
Chiapas,Naive,3.0
Chiapas,Naive,7.0
Chiapas,Naive,-59.0
Chiapas,Naive,16.0
Chiapas,Naive,-2.0
Chiapas,Naive,-10.0
Chiapas,Naive,10.0
Chiapas,Naive,-1.0
Chiapas,Naive,25.0
Chiapas,Naive,1.0
Chiapas,Naive,4.0
Chiapas,Naive,1.0
Chiapas,Naive,-14.0
