,Arimax,LSTM,Naive,Observed
0,1.6334585251210478,24.255442512464523,5,1.0
1,2.972181402773253,5.853342869841456,1,6.0
2,3.57951221618544,11.385817111947533,6,6.0
3,6.366375838070531,3.16347993771106,6,13.0
4,9.13476501334288,8.791869734117984,13,2.0
5,7.431213346154097,2.2693188823577763,2,4.0
6,3.916236062661931,6.872401539729237,4,4.0
7,3.0982317412932185,2.872215992722809,4,4.999999999999999
8,7.387889505955209,4.260153634715676,5,2.0
9,0.6075025678060076,7.57305479154229,2,-1.0
10,0.4831819515031142,5.9485258406591415,-1,4.0
11,1.5274195592526194,9.552913802301882,4,1.0
12,2.4839336582361344,3.8645728235536816,1,2.0
13,1.5052338631801878,6.337637841035724,2,0.0
14,4.8082891655912805,1.2973077688074113,0,6.999999999999999
15,-0.00971403013141848,13.052719648408887,7,6.0
16,6.494856019490308,12.159507531042099,6,1.0
17,4.170238730232133,16.508930586717128,1,3.0
18,2.240870202677593,4.50154776176095,3,1.0
19,1.0681112927452407,4.508723344580531,1,2.0
20,1.5047606561339852,7.808565167312622,2,6.999999999999999
21,4.523351923284702,7.516206649007798,7,-6.0
22,0.44072909517058395,2.0404363830503818,-6,2.0
23,-1.9643273725731545,8.594586324152946,2,0.0
24,0.9912411232254216,4.554884288137554,0,3.0
25,1.5128499880792885,11.571767826861146,3,-6.0
26,-1.5376414687510989,2.214185837161541,-6,4.0
27,-0.9589886194334812,9.11058446988225,4,1.0
28,2.487918075189565,5.5278873587560655,1,4.0
29,2.5118106938614266,11.724557335145473,4,0.0
30,1.9844840393752572,2.1805610736963152,0,1.0
31,0.5037789702102733,5.209293915817142,1,3.0
32,3.036776266728105,3.161200555931032,3,3.0
33,4.695936513374923,5.263842111352086,3,0.0
34,-1.1835792852291698,9.95727722129464,0,-1.0
35,0.7389531444375057,10.698382259906529,-1,-4.999999999999999
36,-4.268917456668226,13.779723661602736,-5,6.0
37,0.537597565395046,12.326778311456444,6,1.0
38,5.217409014096664,10.581868120064737,1,4.0
39,0.7906094066816108,15.49211058786869,4,1.0
40,2.9131089961266943,5.502062059718965,1,1.0
41,2.254953028199861,9.542912390440703,1,2.0
42,2.7251220586505167,6.016090141357781,2,-2.0
43,-2.8231410387325373,15.877309740457536,-2,0.0
44,0.8303107796750255,16.936326212177278,0,2.0
45,-0.7771673312859909,20.81157406345606,2,6.0
46,4.012049457366676,12.596645194778445,6,-1.0
47,2.479135307961124,11.403980817466975,-1,-1.0
48,-0.07110538697230381,4.748251912426354,-1,2.0
49,-0.4118268436475545,6.221525772220493,2,2.0
50,2.0,8.984632992771862,2,-1.0
51,0.4915716985445562,9.539657209979296,-1,2.0
