,Arimax,LSTM,Naive,Observed
0,19.22401389961091,16.663983620631694,20,2.0
1,7.4264114757213715,15.361437982982395,2,5.0
2,4.115328480719703,8.473722976265847,5,6.0
3,5.253483713352973,8.51829571633786,6,13.0
4,10.551683088734624,6.7746541544601335,13,6.0
5,8.69277356141636,7.199568166659772,6,5.0
6,3.494833946628213,6.504943130812049,5,9.0
7,7.529610027575171,7.560212764360012,9,8.0
8,9.638193332623851,6.835954264269768,8,10.0
9,8.324925237116004,7.881539566469192,10,5.0
10,6.496942257210586,7.421867367431521,5,4.0
11,5.88330928662548,6.273968818303943,4,5.0
12,5.13424554871674,6.433451315703987,5,5.0
13,2.591329172158604,5.351744796648622,5,0.0
14,3.1728291997376985,4.464096221213787,0,8.0
15,5.4479185483828765,6.2364200747415435,8,5.0
16,6.01975634716479,5.230776650376618,5,3.0
17,2.9052730969459866,3.92925497443974,3,4.0
18,2.5650932130535358,4.697241922236233,4,2.0
19,4.531368961619073,4.270122430415452,2,5.0
20,4.7664314609374365,4.9720592408545325,5,8.0
21,5.760451140058918,5.8370682501018045,8,0.0
22,3.3144609269413032,4.508253418335318,0,6.0
23,3.3756813704056206,5.43535031837374,6,4.0
24,4.771823202443471,5.069379829835147,4,1.0
25,1.4452795573743809,3.1819889699101447,1,-8.0
26,-7.631145956579712,3.89827844344005,-8,2.0
27,1.8418712182998196,4.455590643630177,2,1.0
28,2.3011405667632627,4.3050977561049155,1,1.0
29,1.0000000000000002,0.29383334183166737,1,0.0
30,-0.4578191272736709,2.47040898315236,0,1.0
31,1.2358522021994438,1.5548709646459669,1,1.0
32,-0.6347168380535165,2.02654615098536,1,4.0
33,-0.593570396005225,2.0485100375786423,4,2.0
34,6.675584152211355,5.060512763668597,2,-16.0
35,-9.463094595056845,5.595407757683097,-16,-1.0
36,-5.246443360192749,4.082026744960248,-1,13.999999999999998
37,9.650631378623258,7.508753006459773,14,-1.0
38,0.8641448418200031,1.0638291119355707,-1,3.0
39,3.3238793301418736,3.195074733761698,3,3.0
40,3.966984628702857,6.706559779202938,3,2.0
41,2.383677276456457,2.1118132302582264,2,2.0
42,2.0,3.373850954849273,2,-4.0
43,-2.2306569614394047,2.36129456041716,-4,0.0
44,-1.8319103749141084,1.9014605054039508,0,3.0
45,2.575305494862418,2.5347198598086838,3,8.0
46,6.717918802930503,3.0640371187724167,8,4.0
47,3.6741427583061896,3.991115284058452,4,-3.0
48,0.12571896223977969,3.809246907445788,-3,6.999999999999999
49,4.3946675013874055,6.004313691785931,7,4.0
50,4.955437213763792,4.696535222806037,4,-1.0
51,-1.1519130719972357,1.9743336245916785,-1,-5.0
