,Arimax,LSTM,Naive,Observed
0,20.41992569676138,26.194591695420737,20,12.0
1,9.546128732116047,13.354890391767025,12,15.0
2,16.85106126147789,8.039363125104456,15,34.0
3,34.32721431331259,14.293545298828779,34,44.0
4,45.447916293895474,21.26529469485849,44,57.0
5,56.998379115027596,31.492133292939663,57,52.0
6,57.899110785540145,35.55838627883673,52,45.0
7,43.016199666417315,35.82011100292683,45,35.0
8,32.13196595296082,29.8292986133492,35,91.0
9,91.19894441654014,44.10895336328386,91,17.0
10,27.59211084422025,32.212665473048695,17,29.0
11,28.424316939356903,30.70249896619916,29,26.0
12,11.193556410846377,20.583852111464147,26,29.0
13,38.97165198405853,18.687658135303558,29,0.0
14,-11.243150198607397,18.725731685731713,0,55.0
15,71.73125756899475,18.10936968552083,55,-13.0
16,-25.396594540266204,32.98658751702547,-13,28.0
17,30.26790875964376,9.557441456522046,28,22.0
18,33.230659004355374,24.453344090508217,22,20.0
19,5.275953295414273,12.53420959520787,20,25.0
20,36.59022343969447,14.622071972747445,25,11.0
21,11.392028681011107,17.487403619458973,11,31.0
22,19.806372891647488,16.4918308718431,31,16.0
23,13.520213122684494,16.488940845734476,16,18.0
24,20.58304142734531,11.213742642264664,18,9.0
25,5.976781709069412,10.122282760560065,9,8.0
26,26.19236961036964,7.36246868936345,8,17.0
27,-1.6827250901425046,13.274646108320955,17,18.0
28,19.201674930175386,10.899426867422461,18,15.0
29,17.508568086698588,11.16760946621865,15,0.0
30,-3.8100588469619385,10.156481173696518,0,27.0
31,41.1975595914989,6.894463883366585,27,20.0
32,13.004727935627804,18.800785746266246,20,18.0
33,11.687299555294937,11.896802100399134,18,9.0
34,15.396342044252075,12.088019536714555,9,-19.0
35,-27.722991180345698,17.760321351422668,-19,-6.0
36,-4.770625004071347,5.429678142102584,-6,17.0
37,36.94148613314764,13.623680693484244,17,12.0
38,28.24712358276373,14.101237571978569,12,14.0
39,-23.20854657642268,19.143857418378587,14,9.0
40,15.586970677821627,15.488456978584829,9,6.0
41,9.373761969662596,14.426413630470636,6,12.0
42,3.658035758148713,6.9634574134126295,12,5.0
43,15.496419737174428,10.188135346436203,5,3.0
44,-8.183509559468611,9.48831868648827,3,6.0
45,6.842847186175896,7.2292628213706625,6,11.0
46,22.488589774637074,8.037111049573571,11,69.0
47,68.86198872433697,24.40716416808367,69,-12.0
48,-19.596853424855247,29.88905698384643,-12,24.0
49,21.424259969290873,13.846827281236651,24,8.0
50,10.776714880862686,21.26444088600337,8,-49.0
51,-56.65552870495435,30.234936188458203,-49,3.0
