,SARIMAX Error,LSTM Error,Naive Error
0,0.6334585251210478,10.775674958684744,4
1,-3.027818597226747,-2.9603700652968885,-5
2,-2.42048778381456,-4.846651451456546,0
3,-6.633624161929469,-10.827605705412626,-7
4,7.13476501334288,12.555048470860125,11
5,3.431213346154098,0.5019777023959162,-2
6,-0.0837639373380692,0.2605105478364229,0
7,-1.901768258706781,-0.7000719695878033,-1
8,5.387889505955209,1.031363596184552,3
9,1.6075025678060078,3.3709173198902604,3
10,-3.5168180484968863,-2.8656319747382404,-5
11,0.5274195592526194,3.744034825708568,3
12,0.483933658236134,-2.1755991636326537,-1
13,1.5052338631801878,0.8693514263415336,2
14,-2.1917108344087195,-6.7630915221953405,-7
15,-6.009714030131419,-5.668055907880366,1
16,5.494856019490308,4.882645831848682,5
17,1.1702387302321329,-0.8738698988592626,-2
18,1.2408702026775935,2.005862052051127,2
19,-0.9318887072547593,-1.404324554515481,-1
20,-5.495239343866015,-5.454358934547007,-5
21,10.523351923284704,10.064203352157476,13
22,-1.559270904829416,1.2111621627235414,-8
23,-1.9643273725731545,1.7531038575021922,2
24,-2.0087588767745785,-1.1275414619588853,-3
25,7.51284998807929,7.336187950680256,9
26,-5.537641468751099,-1.8598441669172048,-10
27,-1.958988619433481,0.5120739660859107,3
28,-1.5120819248104351,-0.8255498171016571,-3
29,2.5118106938614266,1.1783851899406317,4
30,0.9844840393752574,2.267518376403749,-1
31,-2.4962210297897265,-3.065999524968397,-2
32,0.03677626672810508,-2.575132772619799,0
33,4.695936513374923,2.388221315703392,3
34,-0.18357928522916975,1.4816529276540875,1
35,5.738953144437506,5.63701842740275,4
36,-10.268917456668227,-6.263216010179111,-11
37,-0.46240243460495395,-1.290989105109423,5
38,1.2174090140966642,-2.0345820106604693,-3
39,-0.2093905933183892,0.4478563400906325,3
40,1.9131089961266936,2.6139101203587654,0
41,0.25495302819986154,-1.4442410160592198,-1
42,4.725122058650517,3.5726399843080334,4
43,-2.8231410387325373,-0.10842810012888164,-2
44,-1.1696892203249745,-2.3407105173037945,-2
45,-6.777167331285992,-4.156398115095199,-4
46,5.012049457366675,1.6926052835780383,7
47,3.4791353079611236,5.8283408091327535,0
48,-2.071105386972304,-2.2057477754512056,-3
49,-2.4118268436475545,-1.5483401112476736,0
50,3.0,1.5523552080477774,3
51,-1.5084283014554438,-1.2233355660475045,-3
