CITY,2015-11-28,2015-12-05,2015-12-12,2015-12-19,2015-12-26,2016-01-02,2016-01-09,2016-01-16,2016-01-23,2016-01-30,2016-02-06,2016-02-13,2016-02-20,2016-02-27,2016-03-05,2016-03-12,2016-03-19,2016-03-26,2016-04-02,2016-04-09,2016-04-16,2016-04-23,2016-04-30,2016-05-07,2016-05-14,2016-05-21,2016-05-28,2016-06-04,2016-06-11,2016-06-18,2016-06-25,2016-07-02,2016-07-09,2016-07-16,2016-07-23,2016-07-30,2016-08-06,2016-08-13,2016-08-20,2016-08-27,2016-09-03,2016-09-10,2016-09-17,2016-09-24,2016-10-01,2016-10-08,2016-10-15,2016-10-22,2016-10-29,2016-11-05,2016-11-12,2016-11-19,2016-11-26,2016-12-03,2016-12-10,2016-12-17,2016-12-24,2016-12-31,2017-01-07,2017-01-14,2017-01-21,2017-01-28,2017-02-04,2017-02-11,2017-02-18,2017-02-25,2017-03-04,2017-03-11,2017-03-18,2017-03-25,2017-04-01,2017-04-08,2017-04-15,2017-04-22,2017-04-29,2017-05-06,2017-05-13,2017-05-20,2017-05-27,2017-06-03,2017-06-10,2017-06-17,2017-06-24,2017-07-01,2017-07-08,2017-07-15,2017-07-22,2017-07-29,2017-08-05,2017-08-12,2017-08-19,2017-08-26,2017-09-02,2017-09-09,2017-09-16,2017-09-23,2017-09-30,2017-10-07,2017-10-14,2017-10-21,2017-10-28,2017-11-04,2017-11-11,2017-11-18,2017-11-25,2017-12-02,2017-12-09,2017-12-16,2017-12-23,2017-12-30,2018-01-06,2018-01-13,2018-01-20,2018-01-27,2018-02-03,2018-02-10
Mexico-Guerrero,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,2,0,0,2,2,1,1,1,7,2,1,12,0,5,60,36,33,55,71,51,73,33,105,54,35,19,5,23,10,44,15,1,2,1,9,5,2,5,3,2,3,0,3,0,1,1,1,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
Mexico-Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,18,5,14,18,28,21,17,12,10,6,9,6,2,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,11,4,4,1,0,3,0,2,9,9,1,7,3,2,3,2,0,3,2,6,0,2,0,0,0,0,0,3,3,0,0
Mexico-Jalisco,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,5,3,4,4,16,7,4,2,3,5,3,5,2,3,1,0,0,1,0,1,2,1,0,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,2,5,4,4,3,5,8,0,8,7,11,9,11,3,4,7,8,10,23,4,11,29,42,37,33,16,17,0,0,0,2,0,0,5
Mexico-Mexico_City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Michoacan_de_Ocampo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,0,1,1,0,1,5,0,3,1,2,2,6,20,0,3,1,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mexico-Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,9,24,16,9,2,41,3,37,0,12,18,19,13,11,6,10,6,15,1,3,2,2,2,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,7,6,6,4,10,10,6,5,7,9,9,13,10,9,7,5,4,1,4,5,6,5,1,6,3,2,5,1,0,0,0,0,0,1,0,0,0
Mexico-Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,7,2,3,2,3,6,0,4,0,0,5,0,0,0,1,0,0,0,0,5,2,0,5,2,1,0,2,5,2,7,0,6,8,2,23,7,6,12,6,1,15,11,1,12,14,7,6,3,10,5,18,27,12,44,48,27,31,15,35,15,1,29,3,0,15,24,45,28,0,0,0,0,0,2
Mexico-Nuevo_Leon,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,7,23,56,29,48,143,45,53,10,27,2,1,303,22,2,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,2,8,2,7,7,10,1,7,1,4,5,13,5,1,6,2,2,6,0,0,0,0,0,0,0,0,0
Mexico-Oaxaca,0,0,0,0,0,0,0,0,4,17,4,2,25,4,3,0,16,4,6,3,9,3,3,5,16,2,4,1,44,10,11,8,1,40,11,12,5,28,54,1,73,3,2,0,47,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,13,0,10,20,1,26,0,0,0,0,0,2,0,6,0,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,1,0,2,0,1,2,1,2,4,8,8,1,12,6,5,5,4,2,3,4,1,1,0,8,5,3,2,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0
Mexico-Queretaro_de_Arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Quintana_Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,6,3,6,16,17,52,22,30,40,36,14,41,24,10,10,8,5,3,9,3,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mexico-San_Luis_Potosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,1,0,10,0,0,0,5,2,0,0,2,1,2,0,0,0,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,3,0,1,4,4,5,6,12,13,17,15,3,18,14,19,11,30,23,20,44,28,24,36,12,23,13,15,7,14,5,29,3,3,0,0,0,1,0,1,0
Mexico-Sinaloa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,15,4,6,12,4,3,1,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,1,5,14,9,15,21,6,5,6,6,1,0,0,0,0,0,0,2
Mexico-Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,4,0,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,3,8,2,10,9,7,4,4,5,0,0,0,0,0,0,0,0
Mexico-State_Of_Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0
Mexico-Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,1,3,1,4,5,6,10,2,2,4,6,8,4,3,13,22,28,15,11,35,17,21,24,23,0,0,7,4,7,6,1,4,2,0,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
Mexico-Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,0,1,0,29,3,0,0,2,0,0,18,0,0,27,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,8,5,11,32,7,15,1,54,6,101,39,24,41,0,9,58,50,12,74,1,7,10,4,28,21,1,4,0,0,0,0,0,0,0
Mexico-Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,2,1,0,0,0,3,1,1,9,15,18,43,74,42,91,85,114,173,36,97,195,102,103,182,123,61,135,28,11,9,8,16,1,2,70,1,0,0,0,1,1,2,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,4,0,0,2,0,1,1,1,1,2,1,2,7,1,12,13,15,1,21,5,8,3,5,3,5,3,3,0,0,0,0,0,0,0
Mexico-Yucatan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,1,5,11,7,8,8,12,19,30,1,168,101,73,0,188,8,32,75,0,2,15,26,8,16,1,0,0,2,1,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
