Date,Searches,Observed,GRU-Prediction,GRUError,Naive-Prediction,NaiveError
28/02/2016,0.27,312.0,534.964557071495,222.96455707149505,178.99999999999997,-133.00000000000003
06/03/2016,0.23,360.99999999999994,440.6224669371605,79.62246693716054,226.0,-134.99999999999994
13/03/2016,0.53,181.99999999999997,310.7286620212078,128.72866202120784,270.99999999999994,88.99999999999997
20/03/2016,0.21,443.0,208.13826852259635,-234.86173147740365,273.99999999999994,-169.00000000000006
27/03/2016,0.36,468.99999999999994,153.2543433437586,-315.74565665624135,263.0,-205.99999999999994
03/04/2016,0.37,541.0,147.38151321549415,-393.6184867845059,312.0,-229.0
10/04/2016,0.54,468.99999999999994,239.77442251238824,-229.2255774876117,360.99999999999994,-108.0
17/04/2016,0.36,549.0,75.3587122269988,-473.6412877730012,181.99999999999997,-367.0
24/04/2016,0.83,488.0,330.8338007339477,-157.16619926605227,443.0,-45.0
01/05/2016,0.3,541.0,495.8818340968132,-45.11816590318682,468.99999999999994,-72.00000000000006
08/05/2016,0.56,549.0,632.6003862095832,83.60038620958323,541.0,-8.0
15/05/2016,0.39,553.9999999999999,384.18542218589783,-169.81457781410205,468.99999999999994,-84.99999999999994
22/05/2016,0.27,405.99999999999994,514.4500007509232,108.45000075092327,549.0,143.00000000000006
29/05/2016,0.23,464.0,377.31521035194396,-86.68478964805604,488.0,24.0
05/06/2016,0.5,483.0,516.8343290751458,33.834329075145774,541.0,58.0
12/06/2016,0.41,278.0,353.4267180023193,75.42671800231932,549.0,271.0
19/06/2016,0.16,281.0,489.3561942857742,208.35619428577422,553.9999999999999,272.9999999999999
26/06/2016,0.42,246.0,364.59568695364,118.59568695363998,405.99999999999994,159.99999999999994
03/07/2016,0.04,166.99999999999997,428.3284988324165,261.3284988324166,464.0,297.0
10/07/2016,0.15,204.0,355.3179132454872,151.3179132454872,483.0,279.0
17/07/2016,0.69,162.0,98.62779557895661,-63.37220442104339,278.0,116.0
24/07/2016,1.0,138.0,139.80570515184402,1.8057051518440232,281.0,143.0
31/07/2016,0.16,90.0,110.550872097826,20.550872097826,246.0,156.0
07/08/2016,0.55,61.0,64.79789913682937,3.797899136829372,166.99999999999997,105.99999999999997
14/08/2016,0.39,77.0,47.37146883394718,-29.628531166052817,204.0,127.0
21/08/2016,0.71,61.99999999999999,38.01855955491066,-23.981440445089333,162.0,100.0
28/08/2016,1.0,77.0,27.377203000086546,-49.622796999913454,138.0,61.0
04/09/2016,0.0,74.0,62.82666411743164,-11.17333588256836,90.0,16.0
11/09/2016,0.48,46.99999999999999,66.45362372691632,19.453623726916327,61.0,14.000000000000007
18/09/2016,0.56,45.0,32.78514345433712,-12.214856545662883,77.0,32.0
25/09/2016,0.46,46.0,34.334661040270326,-11.665338959729674,61.99999999999999,15.999999999999993
02/10/2016,0.23,27.999999999999996,22.635273779374362,-5.364726220625634,77.0,49.0
09/10/2016,0.52,17.0,58.28866728335619,41.28866728335619,74.0,57.0
16/10/2016,0.57,-87.0,29.288145286524294,116.2881452865243,46.99999999999999,134.0
23/10/2016,0.33,36.0,33.36997976992726,-2.6300202300727378,45.0,9.0
30/10/2016,0.18,29.0,19.612942983558774,-9.387057016441226,46.0,17.0
06/11/2016,0.72,30.0,33.83943703799844,3.8394370379984366,27.999999999999996,-2.0000000000000036
13/11/2016,0.5,5.0,27.635796637392044,22.635796637392044,17.0,12.0
20/11/2016,0.0,15.0,15.614435764738918,0.6144357647389178,-87.0,-102.0
27/11/2016,0.74,10.0,24.099761388146877,14.099761388146877,36.0,26.0
04/12/2016,0.0,12.0,20.96900858761668,8.969008587616681,29.0,17.0
11/12/2016,0.51,32.0,21.460436499077083,-10.539563500922917,30.0,-2.0
18/12/2016,0.48,13.999999999999998,19.420180194869637,5.420180194869639,5.0,-8.999999999999998
25/12/2016,0.08,20.0,9.138763688205183,-10.861236311794817,15.0,-5.0
01/01/2017,0.0,2.0,5.124836232535541,3.124836232535541,10.0,8.0
08/01/2017,0.0,5.0,15.493247101217507,10.493247101217507,12.0,7.0
15/01/2017,0.0,6.0,10.081862523798645,4.081862523798645,32.0,26.0
22/01/2017,0.09,13.0,13.038187408557533,0.03818740855753333,13.999999999999998,0.9999999999999982
29/01/2017,0.14,6.0,16.00225251019597,10.00225251019597,20.0,14.0
05/02/2017,0.0,5.0,24.66203983335495,19.66203983335495,2.0,-3.0
12/02/2017,0.4,9.0,6.5030100729182365,-2.4969899270817635,5.0,-4.0
19/02/2017,0.34,8.0,14.360397779417038,6.360397779417038,6.0,-2.0
26/02/2017,0.09,10.0,7.348592372448742,-2.651407627551258,13.0,3.0
05/03/2017,0.38,5.0,16.429856955689193,11.429856955689193,6.0,1.0
12/03/2017,0.29,4.0,10.13609133952707,6.13609133952707,5.0,1.0
19/03/2017,0.0,5.0,10.002992287521064,5.002992287521064,9.0,4.0
26/03/2017,0.0,5.0,3.0992956156373026,-1.9007043843626974,8.0,3.0
02/04/2017,0.48,0.0,5.194543025006354,5.194543025006354,10.0,10.0
09/04/2017,0.0,8.0,8.00799177403003,0.00799177403002993,5.0,-3.0
16/04/2017,0.18,5.0,5.700768933835626,0.7007689338356258,4.0,-1.0
