,File,NaiveRMSE,LSTMRMSE,NaiveRelativeRMSE,LSTMRelativeRMSE,LSTM-Naive-Ratio,Average-Ratio
0,Chiapas_2016-2017.csv,16.264993083306244,17.12265674035476,2.1686657444408324,2.283020898713968,1.0527306499705056,1.1093280272729205
1,Colima_2016-2017.csv,3.605551275463989,5.846476228765627,1.287696884094282,2.0880272245591525,1.6215207556612155,1.1093280272729205
2,Guerrero_2016-2017.csv,13.666016244685206,17.42364861934084,1.6564868175376009,2.1119574084049506,1.2749617962818536,1.1093280272729205
3,Hidalgo_2016-2017.csv,3.4467375879228173,5.442463648549337,1.2533591228810244,1.979077690381577,1.5790188576059392,1.1093280272729205
4,NuevoLeon_2016-2017.csv,44.160615937733475,38.38071406659956,5.001202257953961,4.346626734609236,0.8691163665089368,1.1093280272729205
5,Oaxaca_2016-2017.csv,16.123895310997277,10.763283697168658,3.297320104498421,2.2010805106684375,0.6675361933060665,1.1093280272729205
6,QuintanaRoo_2016-2017.csv,6.5482822174979605,7.883103753004415,1.765035638139612,2.124825809435152,1.2038430066345671,1.1093280272729205
7,Tabasco_2016-2017.csv,4.628174586162454,4.589977146778685,1.4554008132586334,1.443389039867511,0.9917467591870943,1.1093280272729205
8,Veracruz_2016-2017.csv,30.309899372977142,37.38008419567988,1.5238762882341448,1.8793405829904413,1.2332632232031153,1.1093280272729205
9,Yucatan_2016-2017.csv,34.112167917035116,20.451700040413016,4.070664429240467,2.440536997662651,0.5995426643699105,1.1093280272729205
