,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,Searches,Searches_lower,Searches_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yhat
0,2016-01-02,261.55873290839423,261.55873290839423,261.55873290839423,192.30568936287318,625.4749961213973,81.72608510953974,81.72608510953974,81.72608510953974,149.21670960642209,149.21670960642209,149.21670960642209,81.72608510953974,81.72608510953974,81.72608510953974,0.0,0.0,0.0,67.49062449688235,67.49062449688235,67.49062449688235,410.7754425148163
1,2016-01-08,259.60014858627557,259.60014858627557,259.60014858627557,45.263528708292455,474.1456772271391,25.087838654238986,25.087838654238986,25.087838654238986,3.094242815997524,3.094242815997524,3.094242815997524,25.087838654238986,25.087838654238986,25.087838654238986,0.0,0.0,0.0,-21.993595838241465,-21.993595838241465,-21.993595838241465,262.6943914022731
2,2016-01-18,256.3358413827445,256.3358413827445,256.3358413827445,40.268677418539085,488.71861706675674,13.76018936317884,13.76018936317884,13.76018936317884,5.010061303311151,5.010061303311151,5.010061303311151,13.76018936317884,13.76018936317884,13.76018936317884,0.0,0.0,0.0,-8.750128059867688,-8.750128059867688,-8.750128059867688,261.34590268605564
3,2016-01-25,254.0508263402728,254.0508263402728,254.0508263402728,141.85477920111006,562.7262762136226,108.15726678868008,108.15726678868008,108.15726678868008,99.40713872891028,99.40713872891028,99.40713872891028,108.15726678868008,108.15726678868008,108.15726678868008,0.0,0.0,0.0,-8.750128059769793,-8.750128059769793,-8.750128059769793,353.4579650691831
4,2016-02-05,250.46008841967017,250.46008841967017,250.46008841967017,-4.396522929678635,418.4935923817277,-12.670992315961511,-12.670992315961511,-12.670992315961511,-34.66458815460194,-34.66458815460194,-34.66458815460194,-12.670992315961511,-12.670992315961511,-12.670992315961511,0.0,0.0,0.0,-21.993595838640427,-21.993595838640427,-21.993595838640427,215.79550026506823
5,2016-02-15,247.19578121912235,247.19578121912235,247.19578121912235,119.73812071121903,529.9223211462529,89.27785130357985,89.27785130357985,89.27785130357985,80.52772324366502,80.52772324366502,80.52772324366502,89.27785130357985,89.27785130357985,89.27785130357985,0.0,0.0,0.0,-8.750128059914822,-8.750128059914822,-8.750128059914822,327.7235044627874
6,2016-02-22,244.91076617873887,244.91076617873887,244.91076617873887,140.15479850216116,558.035336802205,111.93314988570015,111.93314988570015,111.93314988570015,103.18302182592605,103.18302182592605,103.18302182592605,111.93314988570015,111.93314988570015,111.93314988570015,0.0,0.0,0.0,-8.75012805977409,-8.75012805977409,-8.75012805977409,348.09378800466493
7,2016-02-29,242.6257511383554,242.6257511383554,242.6257511383554,167.55534827564978,587.1743299450786,145.9160977588806,145.9160977588806,145.9160977588806,137.16596969885134,137.16596969885134,137.16596969885134,145.9160977588806,145.9160977588806,145.9160977588806,0.0,0.0,0.0,-8.750128060029231,-8.750128060029231,-8.750128060029231,379.79172083720675
8,2016-03-10,239.36144394240293,239.36144394240293,239.36144394240293,-178.65076526563104,264.27948740452086,-73.0851218682823,-73.0851218682823,-73.0851218682823,-206.98041432934286,-206.98041432934286,-206.98041432934286,-73.0851218682823,-73.0851218682823,-73.0851218682823,0.0,0.0,0.0,-133.89529246106054,-133.89529246106054,-133.89529246106054,32.381029613060065
9,2016-03-14,238.05572106402198,238.05572106402195,238.05572106402195,153.196257085609,574.0652713921279,130.8125653708004,130.8125653708004,130.8125653708004,122.06243731092412,122.06243731092412,122.06243731092412,130.8125653708004,130.8125653708004,130.8125653708004,0.0,0.0,0.0,-8.75012805987628,-8.75012805987628,-8.75012805987628,360.1181583749461
10,2016-03-21,235.77070602685524,235.77070602685524,235.77070602685524,224.95888894491702,649.1459381442477,206.3302273112014,206.3302273112014,206.3302273112014,197.58009925106998,197.58009925106998,197.58009925106998,206.3302273112014,206.3302273112014,206.3302273112014,0.0,0.0,0.0,-8.750128060131418,-8.750128060131418,-8.750128060131418,433.35080527792525
11,2016-03-28,233.4856909941055,233.4856909941055,233.4856909941055,87.0846692561468,529.1503453306506,81.72608510953974,81.72608510953974,81.72608510953974,72.97595704977357,72.97595704977357,72.97595704977357,81.72608510953974,81.72608510953974,81.72608510953974,0.0,0.0,0.0,-8.750128059766165,-8.750128059766165,-8.750128059766165,306.4616480438791
