CITY,6/1/2018,13/1/2018,20/1/2018,27/1/2018,3/2/2018,10/2/2018,17/2/2018,24/2/2018,3/3/2018,10/3/2018,17/3/2018,24/3/2018,31/3/2018,7/4/2018,14/4/2018,21/4/2018,28/4/2018,5/5/2018
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
Baja California,0,28,0,9,5,0,0,0,17,0,0,14,0,0,19,0,0,0
Baja California Sur,67,100,54,100,0,0,0,36,0,42,34,73,0,0,100,76,48,38
Campeche,0,0,0,59,0,0,44,45,0,0,43,0,0,0,0,0,0,0
Chiapas,0,0,48,0,0,45,15,0,38,0,0,0,0,0,0,0,0,16
Chihuahua,0,13,0,0,0,9,9,9,45,10,0,19,0,0,0,19,0,10
Coahuila,11,14,0,0,0,0,0,11,0,0,11,47,0,0,0,24,0,12
Colima,0,0,0,0,0,0,49,0,0,0,49,0,78,0,0,0,0,0
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanajuato,6,19,10,0,5,0,0,0,17,23,6,0,0,6,72,14,9,14
Guerrero,56,27,0,28,29,19,19,39,48,23,38,40,0,0,0,42,0,0
Hidalgo,0,0,23,20,0,0,0,0,0,0,14,0,0,14,0,31,41,0
Jalisco,6,14,9,13,5,3,15,10,8,11,0,7,14,16,26,7,4,10
Mexico City,6,4,2,6,9,3,7,7,33,10,13,13,8,10,28,12,12,5
Michoacán,11,0,17,0,0,0,0,11,55,27,21,0,16,0,0,0,15,11
Morelos,0,48,51,0,24,16,0,50,81,40,16,100,0,16,0,0,0,35
Nayarit,100,97,100,0,100,100,100,35,0,0,0,73,100,0,0,0,93,0
Nuevo Leon,4,10,6,0,8,4,18,4,19,9,18,8,5,7,10,15,15,11
Oaxaca,31,0,24,23,0,31,16,32,39,38,61,0,23,0,0,33,0,33
Puebla,6,0,19,0,5,0,0,6,59,14,12,0,0,6,0,0,0,20
Querétaro,0,0,0,16,0,11,0,23,0,13,22,0,16,0,0,0,0,12
Quintana Roo,78,68,37,53,38,64,58,100,86,81,24,25,67,65,97,100,100,100
San Luis Potosi,0,43,0,21,0,0,0,0,0,18,15,0,45,15,85,32,0,0
Sinaloa,23,17,0,35,0,0,24,25,32,31,12,0,0,12,0,0,0,14
Sonora,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0
State of Mexico,2,3,3,0,1,2,4,6,100,100,26,8,11,6,32,4,10,4
Tabasco,20,0,0,0,0,0,0,21,0,47,100,0,0,100,0,0,0,0
Tamaulipas,10,0,0,0,9,11,11,46,28,0,34,49,66,34,32,48,47,0
Tlaxcala,0,0,0,0,0,0,35,0,0,0,0,0,0,71,0,0,0,0
Veracruz,5,15,0,0,4,11,11,17,14,13,37,11,8,10,31,0,7,6
Yucatan,39,18,0,0,9,38,26,27,70,0,12,26,0,0,39,29,54,14
Zacatecas,0,0,0,0,0,32,0,0,0,0,30,0,0,0,0,0,0,0
