Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
20/02/2016,0.27,8,0.0,11.122036123985797,8.043557331972568,12.596865177506208,23.400680458310248,0,0,1,0,11.122036123985797,8.043557331972568,12.596865177506208,23.400680458310248
27/02/2016,0.3,9,0.0,-2.667006080948189,-0.6808656864656135,9.873694370717184,-3.618863456787914,0,0,0,1,-2.667006080948189,-0.6808656864656135,9.873694370717184,-3.618863456787914
05/03/2016,0.37,10,0.0,5.803337768226862,-2.85705146681983,1.7383424485135823,-1.9839272787116469,0,0,0,0,5.803337768226862,-2.85705146681983,1.7383424485135823,-1.9839272787116469
12/03/2016,0.67,11,0.0,5.834622998952866,2.560572529249452,2.6714232460591942,8.29865284813419,0,0,0,0,5.834622998952866,2.560572529249452,2.6714232460591942,8.29865284813419
19/03/2016,0.2,12,1.0,19.50671368575692,-1.6655568394208327,3.167480317113176,14.369854084876925,0,0,0,0,18.50671368575692,-2.665556839420833,2.167480317113176,13.369854084876925
26/03/2016,0.38,13,0.0,10.536628772458434,8.413594640758634,1.4827585539434105,8.086164721546321,1,0,0,0,10.536628772458434,8.413594640758634,1.4827585539434105,8.086164721546321
02/04/2016,0.21,14,2.0,13.684234868715704,9.028736258907616,8.274646752524749,22.77340916453898,0,1,0,0,11.684234868715704,7.028736258907616,6.274646752524749,20.77340916453898
09/04/2016,0.42,15,0.0,6.380032884134352,10.775426472520829,8.858084875271096,21.743501303210856,2,0,1,0,6.380032884134352,10.775426472520829,8.858084875271096,21.743501303210856
16/04/2016,0.19,16,1.0,6.727946892784536,1.159148926477693,9.536766458544507,17.984918102709205,0,2,0,1,5.727946892784536,0.15914892647769308,8.536766458544507,16.984918102709205
23/04/2016,0.16,17,0.0,4.359268092443049,9.641774465098978,3.2936076676938684,13.275862272573262,1,0,2,0,4.359268092443049,9.641774465098978,3.2936076676938684,13.275862272573262
30/04/2016,0.17,18,0.0,2.3690632170096038,6.050616812136769,9.198989928444103,18.59470448236838,0,1,0,2,2.3690632170096038,6.050616812136769,9.198989928444103,18.59470448236838
07/05/2016,0.15,19,2.0,3.9973023248299957,7.18338877133727,7.510131455091014,12.585005077094584,0,0,1,0,1.9973023248299957,5.18338877133727,5.510131455091014,10.585005077094584
14/05/2016,0.12,20,1.0,3.4697811121478677,4.358835019262694,5.360263105784729,11.515557906392962,2,0,0,1,2.4697811121478677,3.3588350192626937,4.360263105784729,10.515557906392962
