Date,Searches,Observed,Predicted,error,NaivePredictions,NaiveError
31/01/2016,0.44,636.0,288.20732847307204,347.79267152692796,1.0,-635.0
07/02/2016,0.62,854.9999999999999,240.62226490531444,614.3777350946855,64.0,-790.9999999999999
14/02/2016,0.51,881.0,207.39430108779908,673.605698912201,0.0,-881.0
21/02/2016,0.58,980.0,-38.42401077786088,1018.4240107778609,412.99999999999994,-567.0
28/02/2016,0.3,1243.0,-81.82722581495047,1324.8272258149505,636.0,-607.0
06/03/2016,0.26,1257.0,-84.83948545409679,1341.8394854540968,854.9999999999999,-402.0000000000001
13/03/2016,0.77,1044.0,-127.62522482725143,1171.6252248272515,881.0,-163.0
20/03/2016,0.3,952.0,-139.5375549746871,1091.537554974687,980.0,28.0
27/03/2016,0.46,1212.0,-101.67909288356304,1313.679092883563,1243.0,31.0
03/04/2016,0.56,1525.0,-114.60392759190083,1639.6039275919009,1257.0,-268.0
10/04/2016,0.7,1531.0,-97.78562551190137,1628.7856255119013,1044.0,-487.0
17/04/2016,0.5,1472.0,-137.62250433435918,1609.6225043343593,952.0,-520.0
24/04/2016,0.57,1247.0,-167.45745101015092,1414.4574510101509,1212.0,-35.0
01/05/2016,0.28,1077.0,-161.06121552884818,1238.0612155288482,1525.0,448.0
08/05/2016,0.47,1164.0,-123.01147825588227,1287.0114782558824,1531.0,367.0
15/05/2016,0.43,1260.0,-120.27364735664129,1380.2736473566413,1472.0,212.0
22/05/2016,0.23,786.0,-115.56285530342102,901.562855303421,1247.0,461.0
29/05/2016,0.22,949.0,-105.09389933726072,1054.0938993372606,1077.0,128.0
05/06/2016,0.36,858.9999999999999,-126.66567016430139,985.6656701643012,1164.0,305.0000000000001
12/06/2016,0.27,809.0,-53.67146405209064,862.6714640520906,1260.0,451.0
19/06/2016,0.16,730.0,-88.32996604529143,818.3299660452915,786.0,56.0
26/06/2016,0.31,519.0,-73.47122265756488,592.4712226575649,949.0,430.0
03/07/2016,0.04,506.99999999999994,-40.73471176701188,547.7347117670118,858.9999999999999,351.99999999999994
10/07/2016,0.31,301.0,-50.2669802986896,351.2669802986896,809.0,508.0
17/07/2016,0.57,268.0,38.21313511447549,229.7868648855245,730.0,462.0
24/07/2016,0.47,319.0,-11.040337638513595,330.0403376385136,519.0,200.0
31/07/2016,0.16,198.0,-19.18994659783304,217.18994659783303,506.99999999999994,308.99999999999994
07/08/2016,0.39,216.0,-6.8053762850153445,222.80537628501534,301.0,85.0
14/08/2016,0.22,144.0,-28.4517075858289,172.4517075858289,268.0,124.0
21/08/2016,0.33,110.0,22.393506166903972,87.60649383309602,319.0,209.0
28/08/2016,0.28,80.0,12.951826617264748,67.04817338273526,198.0,118.0
04/09/2016,0.31,188.0,27.07878294680178,160.92121705319823,216.0,28.0
11/09/2016,0.43,25.0,-19.795045470602513,44.79504547060252,144.0,119.0
18/09/2016,0.33,106.0,16.72418512127459,89.27581487872541,110.0,4.0
25/09/2016,0.3,108.0,-38.836599814437626,146.83659981443762,80.0,-28.0
