Date,Searches,Observed,Predicted,error,NaivePredictions,NaiveError
31/01/2016,0.44,292.0,298.37766456238745,-6.3776645623874515,105.0,-187.0
07/02/2016,0.44,283.0,149.62636167208672,133.37363832791328,194.0,-89.0
14/02/2016,0.25,230.99999999999997,248.25653036393166,-17.256530363931688,0.0,-230.99999999999997
21/02/2016,0.26,214.0,262.03781800658226,-48.037818006582256,573.0,359.0
28/02/2016,0.27,166.99999999999997,207.59515296685694,-40.59515296685697,292.0,125.00000000000003
06/03/2016,0.15,198.0,167.77977392469407,30.22022607530593,283.0,85.0
13/03/2016,0.44,142.0,161.9885956995392,-19.98859569953919,230.99999999999997,88.99999999999997
20/03/2016,0.18,82.0,108.70114013550281,-26.70114013550281,214.0,132.0
27/03/2016,0.15,166.0,119.47508253848076,46.52491746151924,166.99999999999997,0.9999999999999716
03/04/2016,0.19,156.0,112.31614733553886,43.68385266446114,198.0,42.0
10/04/2016,0.18,113.0,99.14652161526203,13.853478384737969,142.0,29.0
17/04/2016,0.21,77.0,88.43582461800098,-11.435824618000979,82.0,5.0
24/04/2016,0.33,63.0,85.52897043669462,-22.52897043669462,166.0,103.0
01/05/2016,0.16,69.0,57.00081326768875,11.999186732311252,156.0,87.0
08/05/2016,0.17,66.0,58.500511484377384,7.499488515622616,113.0,47.0
15/05/2016,0.14,84.0,43.57181301401496,40.42818698598504,77.0,-7.0
22/05/2016,0.04,26.0,38.324840482889414,-12.324840482889414,63.0,37.0
29/05/2016,0.1,36.0,10.41191389245987,25.58808610754013,69.0,33.0
05/06/2016,0.17,34.0,11.098974459757805,22.901025540242195,66.0,32.0
12/06/2016,0.04,37.0,9.16071970538199,27.83928029461801,84.0,47.0
19/06/2016,0.09,29.0,-9.622195354468525,38.62219535446852,26.0,-3.0
26/06/2016,0.16,2.0,-14.25199882702589,16.25199882702589,36.0,34.0
03/07/2016,0.01,17.0,-42.05872514813662,59.05872514813662,34.0,17.0
10/07/2016,0.21,14.000000000000002,-27.27774731952667,41.277747319526675,37.0,23.0
17/07/2016,0.26,12.0,-27.63859373264551,39.63859373264551,29.0,17.0
24/07/2016,0.1,11.0,27.917501626850367,-16.917501626850367,2.0,-9.0
31/07/2016,0.25,8.0,-19.845680525346996,27.845680525346996,17.0,9.0
07/08/2016,0.4,5.0,-20.18290096477032,25.18290096477032,14.000000000000002,9.000000000000002
14/08/2016,0.0,2.0,-24.879971370345356,26.879971370345356,12.0,10.0
21/08/2016,0.26,4.0,15.587182631748318,-11.587182631748318,11.0,7.0
28/08/2016,0.22,4.0,10.618741001603007,-6.6187410016030075,8.0,4.0
04/09/2016,0.2,8.0,4.8972350380589065,3.1027649619410935,5.0,-3.0
11/09/2016,0.5,5.0,10.790248158657253,-5.790248158657253,2.0,-3.0
18/09/2016,0.39,9.0,9.831563174305558,-0.8315631743055576,4.0,-5.0
