,File,NaiveRMSE,LSTMRMSE,LSTM-Naive-Ratio,Average-Ratio,TotalLSTM-RMSE,TotalNaive-RMSE
0,SaoPaulo_2016-2017.csv,80.94359268557656,108.55036485241638,1.341061858646152,0.8047516770839007,2314.2204996482656,2875.695156093465
1,huila_2016-2017.csv,120.99953139553122,103.89905631026595,0.8586732123005822,0.8047516770839007,2314.2204996482656,2875.695156093465
2,tolima_2016-2017.csv,119.19558560981183,91.20660822121823,0.76518444667728,0.8047516770839007,2314.2204996482656,2875.695156093465
3,santander_norte_2016-2017.csv,186.8847431346252,163.94736378099708,0.8772645697615623,0.8047516770839007,2314.2204996482656,2875.695156093465
4,santander_2016-2017.csv,77.58885827124311,70.66254235269139,0.9107305343463362,0.8047516770839007,2314.2204996482656,2875.695156093465
5,MinasGerais_2016-2017.csv,259.48555288548124,240.27185977481057,0.9259546710904932,0.8047516770839007,2314.2204996482656,2875.695156093465
6,MatoGrosso_2016-2017.csv,310.24237797643605,221.61458052096998,0.7143272365511663,0.8047516770839007,2314.2204996482656,2875.695156093465
7,valle_cauca_2016-2017.csv,189.1969736686103,169.36467615242864,0.8951764548257569,0.8047516770839007,2314.2204996482656,2875.695156093465
8,Bahia_2016-2017.csv,736.2269290641273,608.6317000296259,0.8266903532084908,0.8047516770839007,2314.2204996482656,2875.695156093465
9,RioDeJaneiro_2016-2017.csv,794.9310114020219,536.0717476528416,0.6743626050106795,0.8047516770839007,2314.2204996482656,2875.695156093465
