,Observed Cases,Predicted Cases,error
0,-464.00000000000006,-456.4192466502817,7.58075334971835
1,-464.00000000000006,-456.612756689013,7.38724331098706
2,-464.00000000000006,-456.79521639228767,7.204783607712386
3,-464.00000000000006,-456.96760933834196,7.0323906616580985
4,-464.00000000000006,-457.1308052236668,6.869194776333245
5,1303.0,-457.2855888553087,-1760.2855888553086
6,2606.0,1276.7584788300032,-1329.2415211699968
7,76.0,2556.0970045106037,2480.0970045106037
8,76.0,73.07723203491656,-2.9227679650834375
9,66.0,73.11305148422021,7.1130514842202075
10,66.0,63.522563209845295,-2.477436790154705
11,66.0,63.551104895567484,-2.4488951044325162
12,0.0,63.578498001734616,63.578498001734616
13,33.0,0.0,-33.0
14,34.0,31.81453164952294,-2.185468350477059
15,102.0,32.791154462696696,-69.2088455373033
16,103.0,98.40991833187533,-4.590081668124668
17,63.0,99.4101467487804,36.410146748780406
18,64.0,60.8244291321353,-3.1755708678646997
19,79.0,61.81038261917436,-17.189617380825638
20,65.0,76.32180840334821,11.321808403348214
21,62.0,62.8156991898824,0.8156991898824018
22,64.0,59.934443648338814,-4.065556351661186
23,60.00000000000001,61.88579610804454,1.8857961080445307
24,41.0,58.03422058648946,17.03422058648946
25,22.0,39.66740624926477,17.667406249264772
26,0.0,21.290532013995804,21.290532013995804
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,1.0,0.0,-1.0
30,-1.0,0.9687027749699405,1.9687027749699406
31,-1.0,-0.9689249426395637,0.031075057360436253
32,1.0,-0.9691412908015529,-1.9691412908015529
33,131.0,0.9693519517898269,-130.03064804821017
34,131.0,127.01046730690857,-3.9895326930914337
35,132.0,127.03689419837467,-4.963105801625332
36,56.0,128.03264865270395,72.03264865270395
37,57.0,54.32594079053768,-2.674059209462321
38,195.0,55.306671216150356,-139.69332878384964
39,195.0,189.24396993761232,-5.75603006238768
40,195.0,189.2791854096173,-5.720814590382702
41,0.0,189.31357460608024,189.31357460608024
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,61.0,0.0,-61.0
46,61.0,59.26307467434701,-1.7369253256529902
47,61.0,59.27236839741867,-1.727631602581333
48,61.0,59.2814726163353,-1.7185273836647
49,61.0,59.29038859026065,-1.7096114097393524
50,61.0,59.299123797777554,-1.700876202222446
51,0.0,59.307681359028734,59.307681359028734
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,250.0,0.0,-250.0
62,250.0,243.39647922125627,-6.603520778743729
63,250.0,243.42566666946757,-6.574333330532426
64,1.0,243.45439539531353,242.45439539531353
65,0.0,0.9737264405980666,0.9737264405980666
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,1.0,0.0,-1.0
71,0.0,0.9743411217283569,0.9743411217283569
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
