Date,Searches,Observed,Predicted,error,NaivePredictions,NaiveError
30/01/2016,0.95,0.0,7.361199040957689,-7.361199040957689,0.0,0.0
06/02/2016,0.66,0.0,3.31230516774863,-3.31230516774863,0.0,0.0
13/02/2016,0.78,0.0,1.3565639664623141,-1.3565639664623141,0.0,0.0
20/02/2016,0.41,0.0,6.639964519940615,-6.639964519940615,0.0,0.0
27/02/2016,0.38,0.0,7.150293916903734,-7.150293916903734,0.0,0.0
05/03/2016,0.26,0.0,1.6893216453000903,-1.6893216453000903,0.0,0.0
12/03/2016,0.59,0.0,5.608247097412348,-5.608247097412348,0.0,0.0
19/03/2016,0.56,0.0,-0.4849984160092473,0.4849984160092473,0.0,0.0
26/03/2016,0.13,0.0,1.1996989844438433,-1.1996989844438433,0.0,0.0
02/04/2016,0.17,0.0,-0.4473546867278218,0.4473546867278218,0.0,0.0
09/04/2016,0.32,0.0,1.249521883198917,-1.249521883198917,0.0,0.0
16/04/2016,0.4,0.0,1.7635351030275226,-1.7635351030275226,0.0,0.0
23/04/2016,0.56,0.0,0.13013287747472524,-0.13013287747472524,0.0,0.0
30/04/2016,1.0,0.0,0.15657030303925276,-0.15657030303925276,0.0,0.0
07/05/2016,0.28,0.0,4.3233518779480455,-4.3233518779480455,0.0,0.0
14/05/2016,0.53,0.0,0.5840172655317187,-0.5840172655317187,0.0,0.0
21/05/2016,0.32,0.0,-0.6290988980987668,0.6290988980987668,0.0,0.0
28/05/2016,0.5,0.0,11.886634021097422,-11.886634021097422,0.0,0.0
04/06/2016,0.41,0.0,-0.8272162522056699,0.8272162522056699,0.0,0.0
11/06/2016,0.6,2.0,0.8925973955628276,1.1074026044371723,0.0,-2.0
18/06/2016,0.49,1.0,-0.4752608084347844,1.4752608084347845,0.0,-1.0
25/06/2016,0.49,0.0,0.2808196696874499,-0.2808196696874499,0.0,0.0
02/07/2016,0.21,0.0,-1.101048875208199,1.101048875208199,0.0,0.0
09/07/2016,0.21,0.0,3.9962506035101413,-3.9962506035101413,2.0,2.0
16/07/2016,0.18,0.0,0.2960901715657115,-0.2960901715657115,1.0,1.0
23/07/2016,0.46,1.0,0.36163644255131483,0.6383635574486852,0.0,-1.0
30/07/2016,0.79,0.0,-0.49199374145060776,0.49199374145060776,0.0,0.0
06/08/2016,0.45,6.0,1.9627264579698442,4.037273542030156,0.0,-6.0
13/08/2016,0.64,3.0,0.6404774894496799,2.3595225105503204,0.0,-3.0
