Date,Cases,Prediction,Error
02/01/2016,0,,
09/01/2016,0,0,0
16/01/2016,0,0,0
23/01/2016,0,0,0
30/01/2016,1,0,-1
06/02/2016,0,1,1
13/02/2016,0,0,0
20/02/2016,0,0,0
27/02/2016,0,0,0
05/03/2016,0,0,0
12/03/2016,0,0,0
19/03/2016,1,0,-1
26/03/2016,0,1,1
02/04/2016,2,0,-2
09/04/2016,0,2,2
16/04/2016,1,0,-1
23/04/2016,0,1,1
30/04/2016,0,0,0
07/05/2016,2,0,-2
14/05/2016,1,2,1
21/05/2016,0,1,1
28/05/2016,0,0,0
04/06/2016,0,0,0
11/06/2016,3,0,-3
18/06/2016,1,3,2
25/06/2016,1,1,0
02/07/2016,9,1,-8
09/07/2016,15,9,-6
16/07/2016,18,15,-3
23/07/2016,43,18,-25
30/07/2016,74,43,-31
06/08/2016,42,74,32
13/08/2016,91,42,-49
20/08/2016,85,91,6
27/08/2016,114,85,-29
03/09/2016,173,114,-59
10/09/2016,36,173,137
17/09/2016,97,36,-61
24/09/2016,195,97,-98
01/10/2016,102,195,93
08/10/2016,103,102,-1
15/10/2016,182,103,-79
22/10/2016,123,182,59
29/10/2016,61,123,62
05/11/2016,135,61,-74
12/11/2016,28,135,107
19/11/2016,11,28,17
26/11/2016,9,11,2
03/12/2016,8,9,1
10/12/2016,16,8,-8
17/12/2016,1,16,15
24/12/2016,2,1,-1
31/12/2016,70,2,-68
07/01/2017,1,70,69
14/01/2017,0,1,1
21/01/2017,0,0,0
28/01/2017,0,0,0
04/02/2017,1,0,-1
11/02/2017,1,1,0
18/02/2017,2,1,-1
25/02/2017,0,2,2
04/03/2017,1,0,-1
11/03/2017,0,1,1
18/03/2017,0,0,0
25/03/2017,1,0,-1
01/04/2017,0,1,1
08/04/2017,0,0,0
15/04/2017,0,0,0
22/04/2017,3,0,-3
29/04/2017,1,3,2
06/05/2017,0,1,1
13/05/2017,0,0,0
20/05/2017,0,0,0
27/05/2017,0,0,0
03/06/2017,1,0,-1
10/06/2017,0,1,1
17/06/2017,1,0,-1
24/06/2017,4,1,-3
01/07/2017,0,4,4
08/07/2017,0,0,0
15/07/2017,2,0,-2
22/07/2017,0,2,2
29/07/2017,1,0,-1
05/08/2017,1,1,0
12/08/2017,1,1,0
19/08/2017,1,1,0
26/08/2017,2,1,-1
02/09/2017,1,2,1
09/09/2017,2,1,-1
16/09/2017,7,2,-5
23/09/2017,1,7,6
30/09/2017,12,1,-11
07/10/2017,13,12,-1
14/10/2017,15,13,-2
21/10/2017,1,15,14
28/10/2017,21,1,-20
04/11/2017,5,21,16
11/11/2017,8,5,-3
18/11/2017,3,8,5
25/11/2017,5,3,-2
02/12/2017,3,5,2
09/12/2017,5,3,-2
16/12/2017,3,5,2
23/12/2017,3,3,0
30/12/2017,0,3,3
06/01/2018,0,0,0
13/01/2018,0,0,0
20/01/2018,0,0,0
27/01/2018,0,0,0
03/02/2018,0,0,0
10/02/2018,0,0,0
17/02/2018,0,0,0
24/02/2018,0,0,0
03/03/2018,0,0,0
10/03/2018,0,0,0
17/03/2018,1,0,-1
24/03/2018,0,1,1
31/03/2018,0,0,0
07/04/2018,0,0,0
14/04/2018,0,0,0
21/04/2018,0,0,0
28/04/2018,0,0,0
05/05/2018,0,0,0
