CITY,1/1/2017,8/1/2017,15/1/2017,22/1/2017,29/1/2017,5/2/2017,12/2/2017,19/2/2017,26/2/2017,5/3/2017,12/3/2017,19/3/2017,26/3/2017,2/4/2017,9/4/2017,16/4/2017,23/4/2017,30/4/2017,7/5/2017,14/5/2017,21/5/2017,28/5/2017,4/6/2017,11/6/2017,18/6/2017,25/6/2017,2/7/2017,9/7/2017,16/7/2017,23/7/2017,30/7/2017,6/8/2017,13/8/2017,20/8/2017,27/8/2017,3/9/2017,10/9/2017,17/9/2017,24/9/2017,1/10/2017,8/10/2017,15/10/2017,22/10/2017,29/10/2017,5/11/2017,12/11/2017,19/11/2017,26/11/2017,3/12/2017,10/12/2017,17/12/2017,24/12/2017
Amazonas Department,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia,4,0,0,2,3,7,5,0,10,20,10,19,9,17,8,6,4,5,30,4,0,18,0,8,0,17,11,1,0,9,5,0,35,8,0,0,4,17,16,4,25,23,0,47,4,2,10,5,19,0,0,11
Arauca,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantico,0,1,3,0,3,7,0,27,8,0,0,37,16,33,16,25,14,0,63,10,19,0,0,22,0,0,0,0,5,0,0,12,33,46,16,2,10,70,45,12,72,0,12,0,12,5,0,0,28,0,0,63
Bogota,16,0,3,4,3,8,10,27,13,17,25,21,18,14,4,13,9,4,20,6,21,16,4,4,11,19,21,1,3,9,11,4,11,15,8,2,5,11,29,2,16,7,8,25,8,5,10,12,14,1,0,12
Bolivar,50,0,0,0,0,15,0,0,13,0,82,41,0,71,0,52,0,39,0,0,35,0,0,0,42,74,50,3,17,0,41,58,0,0,0,0,18,41,0,0,0,34,0,0,0,0,0,0,0,0,0,0
Boyaca,0,0,16,0,17,18,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,94,0,0,100,0,0,0,0,0,100,0,0,0,56,0,0,0,0,0,0,73,41,0,0,0,0,0,0,0,65,100
Caldas,0,0,0,0,0,17,48,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,55,0,0,0,62,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
Caquetá,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Casanare,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cauca Department,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,22,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,100,100,58,100,0,0,0,0,0,100,0,0,65,0,0,100,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Choco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,9,0,0
Cundinamarca,0,0,4,0,4,13,12,0,9,17,0,26,0,22,0,16,9,13,0,0,42,0,0,0,0,23,0,2,5,0,13,0,33,25,18,0,11,26,0,0,53,0,0,0,0,4,26,0,0,0,19,31
Guainia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huila,100,3,0,0,0,0,51,0,0,0,0,0,0,0,0,69,0,53,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,46,100,0,0,100,100,100,0,71,0
La Guajira,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magdalena,0,0,15,0,0,19,0,0,38,0,0,100,90,86,0,65,0,100,0,100,0,0,47,95,0,0,0,0,19,100,0,45,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,75,0
Meta,51,0,0,0,0,0,0,0,0,82,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,58,0,0,0,65,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
