Date,predictions_incidence,observed_incidence,Predicted Cases,Observed Cases,error
31/12/2016,0.11016532904076372,0.0,5.748325517244333,0.0,-5.748325517244333
07/01/2017,0.08688161896337668,0.0,4.533402946419549,0.0,-4.533402946419549
14/01/2017,0.07131094237749036,0.0,3.72093936719046,0.0,-3.72093936719046
21/01/2017,0.059378254307320875,0.0,3.0983026817620405,0.0,-3.0983026817620405
28/01/2017,0.05495126517262368,0.0,2.867306461543545,0.0,-2.867306461543545
04/02/2017,0.03671242902127742,0.0,1.9156207708955564,0.0,-1.9156207708955564
11/02/2017,0.03824899114606571,0.0,1.9957971689298544,0.0,-1.9957971689298544
18/02/2017,0.022822702244498484,0.0,1.190867606231866,0.0,-1.190867606231866
25/02/2017,0.0289488128199289,0.0,1.5105224200360956,0.0,-1.5105224200360956
04/03/2017,0.036592521866904176,0.0,1.9093641258949423,0.0,-1.9093641258949423
11/03/2017,0.0045300485847727945,0.0,0.23637376750874642,0.0,-0.23637376750874642
18/03/2017,0.01164614487314412,0.0,0.6076851250273769,0.0,-0.6076851250273769
25/03/2017,0.011836083847471871,0.0,0.6175959659639425,0.0,-0.6175959659639425
01/04/2017,0.0006789167952940874,0.0,0.03542525377499381,0.0,-0.03542525377499381
08/04/2017,0.008514933950123899,0.0,0.4443014197782309,0.0,-0.4443014197782309
15/04/2017,-0.0009897047204356453,0.0,-0.051641881783989166,0.0,0.051641881783989166
22/04/2017,0.0008127978240087558,0.0,0.04241104268277879,0.0,-0.04241104268277879
29/04/2017,0.0030181113169018034,0.0,0.15748227185352454,0.0,-0.15748227185352454
06/05/2017,0.014315143034646597,0.0,0.7469509936162675,0.0,-0.7469509936162675
13/05/2017,-0.0025108230848514875,0.0,-0.13101243861031256,0.0,0.13101243861031256
20/05/2017,0.016285360812046058,0.0,0.8497551446406162,0.0,-0.8497551446406162
27/05/2017,0.0006673909406689476,0.0,0.03482384528444027,0.0,-0.03482384528444027
03/06/2017,-0.00813287375433585,0.0,-0.42436587025739064,0.0,0.42436587025739064
10/06/2017,0.003794699820248406,0.0,0.1980039454967272,0.0,-0.1980039454967272
17/06/2017,-0.0025865035380829644,0.0,-0.13496137503391403,0.0,0.13496137503391403
24/06/2017,0.0004580964532657876,0.0,0.023903051482671793,0.0,-0.023903051482671793
01/07/2017,-0.00222600700697751,0.0,-0.11615099769764005,0.0,0.11615099769764005
08/07/2017,-0.0010567232411403892,0.0,-0.055138846537323656,0.0,0.055138846537323656
15/07/2017,-0.0020184452191343797,0.0,-0.10532061456483033,0.0,0.10532061456483033
22/07/2017,-0.0014362053992912345,0.057494306147214555,-0.07493987642604927,3.0,3.074939876426049
29/07/2017,0.025471119853287795,0.0,1.329059600514292,0.0,-1.329059600514292
05/08/2017,-0.0007214368520143191,0.03832953743147637,-0.037643911216203314,2.0,2.0376439112162035
12/08/2017,0.018974623153732904,0.0,0.9900783795084815,0.0,-0.9900783795084815
19/08/2017,0.009903771130428247,0.0,0.5167696661163059,0.0,-0.5167696661163059
26/08/2017,0.0020755649049627066,0.0,0.10830106722124146,0.0,-0.10830106722124146
02/09/2017,0.005181081854298261,0.0,0.2703440845619773,0.0,-0.2703440845619773
09/09/2017,0.006214719939445053,0.0,0.3242783688978986,0.0,-0.3242783688978986
16/09/2017,-0.0002518079233307961,0.0,-0.013139105776111475,0.0,0.013139105776111475
23/09/2017,0.0027929572401949286,0.0,0.1457339392727104,0.0,-0.1457339392727104
30/09/2017,0.0016759045020310528,0.0,0.08744715508383846,0.0,-0.08744715508383846
07/10/2017,0.0031773633079594725,0.0,0.16579189423508195,0.0,-0.16579189423508195
14/10/2017,0.00041961712110318277,0.0,0.02189523533141266,0.0,-0.02189523533141266
21/10/2017,0.0011580705704463518,0.0,0.060427056940965826,0.0,-0.060427056940965826
28/10/2017,-0.0003579190914991962,0.0,-0.018675888908863878,0.0,0.018675888908863878
04/11/2017,0.0015074147693445513,0.0,0.07865551584281089,0.0,-0.07865551584281089
11/11/2017,0.00026448523576644344,0.0,0.013800596275876114,0.0,-0.013800596275876114
18/11/2017,0.0006194232997910991,0.0,0.03232093791366374,0.0,-0.03232093791366374
25/11/2017,-0.0007851181668042471,0.0,-0.040966743635132155,0.0,0.040966743635132155
02/12/2017,0.0009264878614878385,0.0,0.04834328424360284,0.0,-0.04834328424360284
09/12/2017,-0.0008584906077563168,0.0,-0.04479525010136547,0.0,0.04479525010136547
16/12/2017,-0.0003327516007880602,0.0,-0.017362672397648257,0.0,0.017362672397648257
23/12/2017,-0.0003133375131048755,0.0,-0.016349663163300346,0.0,0.016349663163300346
