,Searches,Cases,predictions,error
4,0.44,292.0,-55.903973844659326,347.90397384465933
5,0.44,283.0,97.18139011934281,185.8186098806572
6,0.25,230.99999999999997,46.15436037127018,184.8456396287298
7,0.26,214.0,302.4032365531826,-88.40323655318258
8,0.27,166.99999999999997,242.70798242225646,-75.70798242225649
9,0.15,198.0,249.07932127152444,-51.079321271524435
10,0.44,142.0,209.35481676564217,-67.35481676564217
11,0.18,82.0,222.9366174850273,-140.9366174850273
12,0.15,166.0,222.57380942919733,-56.573809429197325
13,0.19,156.0,147.96090784116268,8.03909215883732
14,0.18,113.0,112.64773524059773,0.3522647594022743
15,0.21,77.0,124.13778585831642,-47.13778585831642
16,0.33,63.0,190.97479963645935,-127.97479963645935
17,0.16,69.0,136.43125376571177,-67.43125376571177
18,0.17,66.0,73.9833165132022,-7.9833165132021975
19,0.14,84.0,72.58224355790377,11.417756442096234
20,0.04,26.0,61.782569769916535,-35.782569769916535
21,0.1,36.0,89.19517842840672,-53.19517842840672
22,0.17,34.0,64.94461002599716,-30.944610025997164
23,0.04,37.0,32.90367152312636,4.096328476873637
24,0.09,29.0,91.33206548157692,-62.33206548157692
25,0.16,2.0,92.21719445526124,-90.21719445526124
26,0.01,17.0,93.97138226771592,-76.97138226771592
27,0.21,14.000000000000002,39.74972471363783,-25.749724713637832
28,0.26,12.0,15.649199614627362,-3.6491996146273618
29,0.1,11.0,20.735830218120217,-9.735830218120217
30,0.25,8.0,21.29693830752969,-13.29693830752969
31,0.4,5.0,17.79470160195172,-12.794701601951719
32,0.0,2.0,12.218331240813733,-10.218331240813733
33,0.26,4.0,6.736401676015556,-2.7364016760155563
34,0.22,4.0,3.5855953387999535,0.4144046612000465
35,0.2,8.0,1.2810808840598167,6.718919115940183
36,0.5,5.0,3.80542112640515,1.1945788735948502
37,0.39,9.0,7.301459408424496,1.6985405915755036
38,0.48,5.0,7.84067872808665,-2.84067872808665
39,0.37,5.0,11.12572021212995,-6.12572021212995
40,0.28,3.0,6.199679537109286,-3.1996795371092857
41,0.61,4.0,3.6397342016132175,0.3602657983867825
42,0.16,-4.0,2.4169740495950727,-6.416974049595073
43,0.09,4.0,4.4198386136622725,-0.4198386136622725
44,0.25,2.0,2.5956360907725244,-0.5956360907725244
45,0.52,4.0,-0.5576429665686563,4.557642966568657
46,0.1,1.0,0.5746096584627405,0.4253903415372595
47,0.47,2.0,4.721508272518069,-2.7215082725180686
48,0.0,3.0,2.3143308551191537,0.6856691448808463
49,0.25,14.000000000000002,-0.27984046821515074,14.279840468215152
50,0.0,2.0,4.206797106671333,-2.206797106671333
51,0.0,5.0,1.1417150950657948,3.858284904934205
52,0.0,0.0,-2.397498196228221,2.397498196228221
53,0.0,4.0,0.7346682421411201,3.26533175785888
54,0.04,5.0,0.8505215747321024,4.149478425267898
55,0.0,4.0,1.6764471370583027,2.323552862941697
56,0.04,3.0,1.7687517715776713,1.2312482284223287
57,0.13,0.0,2.062110806488171,-2.062110806488171
58,0.12,2.0,1.139686060822159,0.8603139391778409
59,0.0,1.0,0.5557272499388829,0.4442727500611171
60,0.09,2.0,1.5807237051367387,0.41927629486326135
61,0.17,3.0,0.9697122358504683,2.0302877641495316
62,0.0,2.0,1.9641412896687538,0.03585871033124621
63,0.26,2.0,1.2773286233710126,0.7226713766289874
64,0.0,1.0,2.282426405735314,-1.2824264057353139
65,0.22,0.0,1.977673908746615,-1.977673908746615
66,0.0,3.0,1.5530562362789735,1.4469437637210265
67,0.16,0.0,0.9174555436597019,-0.9174555436597019
68,0.09,4.0,1.254694553194195,2.745305446805805
69,0.13,3.0,1.1645001222753524,1.8354998777246476
70,0.0,1.0,2.7464888912757486,-1.7464888912757486
71,0.0,1.0,0.6984774916133657,0.3015225083866343
72,0.42,0.0,2.018791329735741,-2.018791329735741
73,0.0,3.0,0.8514864217985049,2.148513578201495
74,0.0,0.0,0.705473631237857,-0.705473631237857
75,0.0,0.0,1.4091422676378116,-1.4091422676378116
76,0.0,0.0,0.18050307800531387,-0.18050307800531387
77,0.23,-2.0,-0.059568997941864654,-1.9404310020581352
78,0.0,2.0,-0.436552862627618,2.436552862627618
79,0.02,0.0,-0.5852066025467589,0.5852066025467589
80,0.05,2.0,0.49906864268627016,1.5009313573137297
81,0.0,0.0,0.3460979509558529,-0.3460979509558529
82,0.13,-2.0,0.94330833326675,-2.9433083332667502
83,0.0,3.0,-0.15786159475992434,3.1578615947599245
84,0.33,1.0,-0.4434535558742657,1.4434535558742656
85,0.25,0.0,0.6999595062919334,-0.6999595062919334
86,0.18,2.0,-1.3225983611535654,3.3225983611535654
87,0.0,-1.0,2.4224496365683525,-3.4224496365683525
88,0.11,3.0,1.1011192346183583,1.8988807653816417
89,0.26,1.0,0.43164121798200533,0.5683587820179947
90,0.0,0.0,1.6453306194882096,-1.6453306194882096
91,0.0,0.0,-1.2026975430418922,1.2026975430418922
92,0.53,1.0,1.4458152420201524,-0.44581524202015244
93,0.0,0.0,0.6443106238743849,-0.6443106238743849
94,0.0,-3.0,-0.1461377144939918,-2.853862285506008
95,0.0,0.0,0.6939477822380885,-0.6939477822380885
96,0.0,4.0,-1.296644234649539,5.2966442346495395
97,0.04,8.0,-0.06678538307840935,8.06678538307841
98,0.26,-7.000000000000001,3.416735121462643,-10.416735121462644
99,0.0,1.0,-3.3098972783269733,4.309897278326973
100,0.0,0.0,-2.171211407686025,2.171211407686025
101,0.0,0.0,-1.106956938759461,1.106956938759461
102,0.19,0.0,0.03932540526118129,-0.03932540526118129
103,0.31,1.0,-0.043491499879024925,1.043491499879025
