Date,predictions_incidence,observed_incidence,Predicted Cases,Observed Cases,error
30/01/2016,0.03951448547721694,0.012326648797134793,3.205614610063498,1.0,-2.205614610063498
06/02/2016,0.04572246732462573,0.0,3.7092374478336287,0.0,-3.7092374478336287
13/02/2016,0.043346867299921654,0.0,3.5165167770495094,0.0,-3.5165167770495094
20/02/2016,0.03951448547721695,0.0,3.205614610063499,0.0,-3.205614610063499
27/02/2016,0.03951448547721695,0.0,3.205614610063499,0.0,-3.205614610063499
05/03/2016,0.03951448547721695,0.0,3.205614610063499,0.0,-3.205614610063499
12/03/2016,0.03951448547721695,0.0,3.205614610063499,0.0,-3.205614610063499
19/03/2016,0.03951448547721694,0.012326648797134793,3.205614610063498,1.0,-2.205614610063498
26/03/2016,0.04572246732462573,0.0,3.7092374478336287,0.0,-3.7092374478336287
02/04/2016,0.04334686729992164,0.024653297594269586,3.516516777049508,2.0,-1.516516777049508
09/04/2016,0.05193044917203449,0.0,4.212860285603757,0.0,-4.212860285603757
16/04/2016,0.04717924912262635,0.012326648797134793,3.8274189440355193,1.0,-2.8274189440355193
23/04/2016,0.045722467324625704,0.0,3.7092374478336265,0.0,-3.7092374478336265
30/04/2016,0.043346867299921654,0.0,3.5165167770495094,0.0,-3.5165167770495094
07/05/2016,0.039514485477216935,0.024653297594269586,3.2056146100634977,2.0,-1.2056146100634977
14/05/2016,0.05193044917203448,0.012326648797134793,4.212860285603756,1.0,-3.212860285603756
21/05/2016,0.053387230970035116,0.0,4.331041781805648,0.0,-4.331041781805648
28/05/2016,0.043346867299921654,0.0,3.5165167770495094,0.0,-3.5165167770495094
04/06/2016,0.03951448547721695,0.0,3.205614610063499,0.0,-3.205614610063499
11/06/2016,0.039514485477216935,0.03697994639140438,3.2056146100634977,3.0,-0.20561461006349768
18/06/2016,0.058138431019443264,0.012326648797134793,4.7164831233738855,1.0,-3.7164831233738855
25/06/2016,0.057219612792739814,0.012326648797134793,4.641943948791657,1.0,-3.641943948791657
02/07/2016,0.04955484914733044,0.11093983917421314,4.020139614819639,9.0,4.979860385180361
09/07/2016,0.09921870392660054,0.1848997319570219,8.049122316980664,14.999999999999998,6.950877683019334
16/07/2016,0.1671256495926907,0.22187967834842628,13.558076679489512,18.0,4.441923320510488
