Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,3955,0,-3955
08/02/2016,3955,3955,0
15/02/2016,3955,3955,0
22/02/2016,5152,3955,-1197
29/02/2016,5152,5152,0
07/03/2016,5153,5152,-1
14/03/2016,2997,5153,2156
21/03/2016,2997,2997,0
28/03/2016,1881,2997,1116
04/04/2016,1881,1881,0
11/04/2016,1881,1881,0
18/04/2016,731,1881,1150
25/04/2016,731,731,0
02/05/2016,731,731,0
09/05/2016,733,731,-2
16/05/2016,206,733,527
23/05/2016,206,206,0
30/05/2016,206,206,0
06/06/2016,206,206,0
13/06/2016,206,206,0
20/06/2016,211,206,-5
27/06/2016,145,211,66
04/07/2016,145,145,0
11/07/2016,145,145,0
18/07/2016,145,145,0
25/07/2016,145,145,0
01/08/2016,147,145,-2
08/08/2016,3,147,144
15/08/2016,7,3,-4
22/08/2016,67,7,-60
29/08/2016,67,67,0
05/09/2016,65,67,2
12/09/2016,65,65,0
19/09/2016,65,65,0
26/09/2016,1,65,64
03/10/2016,69,1,-68
10/10/2016,69,69,0
17/10/2016,136,69,-67
24/10/2016,137,136,-1
31/10/2016,96,137,41
07/11/2016,97,96,-1
14/11/2016,91,97,6
21/11/2016,99,91,-8
28/11/2016,124,99,-25
05/12/2016,94,124,30
12/12/2016,82,94,12
19/12/2016,68,82,14
26/12/2016,29,68,39
