Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,110,0,-110
08/02/2016,110,110,0
15/02/2016,112,110,-2
22/02/2016,348,112,-236
29/02/2016,348,348,0
07/03/2016,350,348,-2
14/03/2016,360,350,-10
21/03/2016,360,360,0
28/03/2016,377,360,-17
04/04/2016,377,377,0
11/04/2016,379,377,-2
18/04/2016,329,379,50
25/04/2016,329,329,0
02/05/2016,329,329,0
09/05/2016,329,329,0
16/05/2016,233,329,96
23/05/2016,233,233,0
30/05/2016,233,233,0
06/06/2016,233,233,0
13/06/2016,233,233,0
20/06/2016,238,233,-5
27/06/2016,48,238,190
04/07/2016,48,48,0
11/07/2016,48,48,0
18/07/2016,48,48,0
25/07/2016,48,48,0
01/08/2016,48,48,0
08/08/2016,114,48,-66
15/08/2016,230,114,-116
22/08/2016,19,230,211
29/08/2016,19,19,0
05/09/2016,9,19,10
12/09/2016,9,9,0
19/09/2016,9,9,0
26/09/2016,0,9,9
03/10/2016,10,0,-10
10/10/2016,11,10,-1
17/10/2016,13,11,-2
24/10/2016,13,13,0
31/10/2016,3,13,10
07/11/2016,4,3,-1
14/11/2016,2,4,2
21/11/2016,8,2,-6
28/11/2016,5,8,3
05/12/2016,5,5,0
12/12/2016,7,5,-2
19/12/2016,1,7,6
26/12/2016,1,1,0
