Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,2346,0,-2346
08/02/2016,2346,2346,0
15/02/2016,2347,2346,-1
22/02/2016,1507,2347,840
29/02/2016,1507,1507,0
07/03/2016,1508,1507,-1
14/03/2016,697,1508,811
21/03/2016,697,697,0
28/03/2016,321,697,376
04/04/2016,321,321,0
11/04/2016,321,321,0
18/04/2016,100,321,221
25/04/2016,100,100,0
02/05/2016,100,100,0
09/05/2016,101,100,-1
16/05/2016,-23,101,124
23/05/2016,-23,-23,0
30/05/2016,-23,-23,0
06/06/2016,-23,-23,0
13/06/2016,-23,-23,0
20/06/2016,-19,-23,-4
27/06/2016,65,-19,-84
04/07/2016,65,65,0
11/07/2016,65,65,0
18/07/2016,65,65,0
25/07/2016,65,65,0
01/08/2016,67,65,-2
08/08/2016,-85,67,152
15/08/2016,-169,-85,84
22/08/2016,9,-169,-178
29/08/2016,9,9,0
05/09/2016,7,9,2
12/09/2016,7,7,0
19/09/2016,7,7,0
26/09/2016,1,7,6
03/10/2016,5,1,-4
10/10/2016,6,5,-1
17/10/2016,3,6,3
24/10/2016,3,3,0
31/10/2016,7,3,-4
07/11/2016,7,7,0
14/11/2016,7,7,0
21/11/2016,11,7,-4
28/11/2016,6,11,5
05/12/2016,16,6,-10
12/12/2016,22,16,-6
19/12/2016,16,22,6
26/12/2016,6,16,10
