Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,306,0,-306
08/02/2016,306,306,0
15/02/2016,306,306,0
22/02/2016,371,306,-65
29/02/2016,371,371,0
07/03/2016,371,371,0
14/03/2016,250,371,121
21/03/2016,251,250,-1
28/03/2016,143,251,108
04/04/2016,143,143,0
11/04/2016,144,143,-1
18/04/2016,64,144,80
25/04/2016,64,64,0
02/05/2016,64,64,0
09/05/2016,67,64,-3
16/05/2016,67,67,0
23/05/2016,67,67,0
30/05/2016,67,67,0
06/06/2016,67,67,0
13/06/2016,67,67,0
20/06/2016,69,67,-2
27/06/2016,32,69,37
04/07/2016,32,32,0
11/07/2016,32,32,0
18/07/2016,32,32,0
25/07/2016,32,32,0
01/08/2016,33,32,-1
08/08/2016,39,33,-6
15/08/2016,80,39,-41
22/08/2016,18,80,62
29/08/2016,19,18,-1
05/09/2016,13,19,6
12/09/2016,13,13,0
19/09/2016,13,13,0
26/09/2016,1,13,12
03/10/2016,13,1,-12
10/10/2016,14,13,-1
17/10/2016,10,14,4
24/10/2016,10,10,0
31/10/2016,8,10,2
07/11/2016,8,8,0
14/11/2016,4,8,4
21/11/2016,5,4,-1
28/11/2016,8,5,-3
05/12/2016,96,8,-88
12/12/2016,29,96,67
19/12/2016,55,29,-26
26/12/2016,7,55,48
,4281,,
