Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,257,0,-257
08/02/2016,257,257,0
15/02/2016,258,257,-1
22/02/2016,677,258,-419
29/02/2016,677,677,0
07/03/2016,678,677,-1
14/03/2016,798,678,-120
21/03/2016,799,798,-1
28/03/2016,769,799,30
04/04/2016,769,769,0
11/04/2016,769,769,0
18/04/2016,478,769,291
25/04/2016,478,478,0
02/05/2016,478,478,0
09/05/2016,478,478,0
16/05/2016,180,478,298
23/05/2016,180,180,0
30/05/2016,180,180,0
06/06/2016,180,180,0
13/06/2016,180,180,0
20/06/2016,185,180,-5
27/06/2016,-28,185,213
04/07/2016,-28,-28,0
11/07/2016,-28,-28,0
18/07/2016,-28,-28,0
25/07/2016,-28,-28,0
01/08/2016,-27,-28,-1
08/08/2016,138,-27,-165
15/08/2016,276,138,-138
22/08/2016,13,276,263
29/08/2016,13,13,0
05/09/2016,10,13,3
12/09/2016,10,10,0
19/09/2016,10,10,0
26/09/2016,2,10,8
03/10/2016,8,2,-6
10/10/2016,9,8,-1
17/10/2016,18,9,-9
24/10/2016,18,18,0
31/10/2016,19,18,-1
07/11/2016,19,19,0
14/11/2016,8,19,11
21/11/2016,20,8,-12
28/11/2016,33,20,-13
05/12/2016,21,33,12
12/12/2016,27,21,-6
19/12/2016,27,27,0
26/12/2016,23,27,4
