Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
30/01/2016,0.68,1.0,5.153423365617543,-4.153423365617543,0.0,-1.0
06/02/2016,0.36,0.0,11.182550318920612,-11.182550318920612,0.0,0.0
13/02/2016,0.59,0.0,20.2358964977324,-20.2358964977324,0.0,0.0
20/02/2016,0.27,0.0,14.402617748260498,-14.402617748260498,1.0,1.0
27/02/2016,0.3,0.0,20.84330384593606,-20.84330384593606,0.0,0.0
05/03/2016,0.37,0.0,9.478999392157792,-9.478999392157792,0.0,0.0
12/03/2016,0.67,0.0,13.244945743368566,-13.244945743368566,0.0,0.0
19/03/2016,0.2,1.0,16.614923584699632,-15.614923584699632,0.0,-1.0
26/03/2016,0.38,0.0,19.927807088813186,-19.927807088813186,0.0,0.0
02/04/2016,0.21,2.0,5.3589388024516404,-3.3589388024516404,0.0,-2.0
09/04/2016,0.42,0.0,17.852218194189668,-17.852218194189668,1.0,1.0
16/04/2016,0.19,1.0,5.455438265866041,-4.455438265866041,0.0,-1.0
23/04/2016,0.16,0.0,17.022743732988836,-17.022743732988836,2.0,2.0
30/04/2016,0.17,0.0,12.232897541961075,-12.232897541961075,0.0,0.0
07/05/2016,0.15,2.0,14.087545978727936,-12.087545978727936,1.0,-1.0
14/05/2016,0.12,1.0,13.878069116040319,-12.878069116040319,0.0,-1.0
21/05/2016,0.11,0.0,13.976439890782535,-13.976439890782535,0.0,0.0
28/05/2016,0.17,0.0,13.528567877562343,-13.528567877562343,2.0,2.0
04/06/2016,0.16,0.0,11.361200107854605,-11.361200107854605,1.0,1.0
11/06/2016,0.08,3.0,12.84686415067166,-9.84686415067166,0.0,-3.0
18/06/2016,0.08,1.0,15.032246314053237,-14.032246314053237,0.0,-1.0
25/06/2016,0.09,1.0,13.7217408798635,-12.7217408798635,0.0,-1.0
02/07/2016,0.09,9.0,13.215589849127829,-4.215589849127829,3.0,-6.0
09/07/2016,0.1,15.000000000000002,13.227632487013937,1.7723675129860652,1.0,-14.000000000000002
16/07/2016,0.15,18.0,13.591215705890953,4.408784294109047,1.0,-17.0
23/07/2016,0.25,43.0,12.357429200711847,30.64257079928815,9.0,-34.0
30/07/2016,0.61,74.0,9.671421693984419,64.32857830601559,15.000000000000002,-59.0
06/08/2016,0.69,42.0,17.243198230151833,24.756801769848167,18.0,-24.0
13/08/2016,0.96,91.0,31.271246663057806,59.72875333694219,43.0,-48.0
20/08/2016,1.0,85.00000000000001,52.30965526549518,32.69034473450483,74.0,-11.000000000000014
27/08/2016,1.0,114.0,73.76232964412868,40.237670355871316,42.0,-72.0
03/09/2016,0.98,173.0,57.429292274329065,115.57070772567093,91.0,-82.0
10/09/2016,0.88,36.0,110.22011148713231,-74.22011148713231,85.00000000000001,49.000000000000014
17/09/2016,0.83,97.0,80.63215530002714,16.367844699972864,114.0,17.0
24/09/2016,0.54,195.0,124.41115984046459,70.58884015953541,173.0,-22.0
01/10/2016,0.34,102.0,96.32290253113509,5.677097468864915,36.0,-66.0
08/10/2016,0.54,103.00000000000001,33.72558510208726,69.27441489791275,97.0,-6.000000000000014
15/10/2016,0.28,182.0,175.82191354386808,6.178086456131922,195.0,13.0
22/10/2016,0.29,123.0,126.38181023783683,-3.381810237836831,102.0,-21.0
29/10/2016,0.32,61.0,81.05823403119444,-20.058234031194445,103.00000000000001,42.000000000000014
05/11/2016,0.32,135.0,156.89716317477226,-21.89716317477226,182.0,47.0
12/11/2016,0.23,28.0,56.934913097411396,-28.934913097411396,123.0,95.0
19/11/2016,0.24,11.0,61.140707066109776,-50.140707066109776,61.0,50.0
26/11/2016,0.19,9.0,95.47383974386453,-86.47383974386453,135.0,126.0
03/12/2016,0.22,8.0,48.96262879165113,-40.96262879165113,28.0,20.0
10/12/2016,0.44,16.0,3.1117051455846054,12.888294854415395,11.0,-5.0
17/12/2016,0.07,1.0,4.151891921783798,-3.1518919217837977,9.0,8.0
24/12/2016,0.11,2.0,13.418941431131959,-11.418941431131959,8.0,6.0
31/12/2016,0.14,70.0,8.282327228313685,61.71767277168632,16.0,-54.0
07/01/2017,0.17,1.0,14.765357184639573,-13.765357184639573,1.0,0.0
14/01/2017,0.04,0.0,9.720732198101283,-9.720732198101283,2.0,2.0
21/01/2017,0.32,0.0,10.452815059091895,-10.452815059091895,70.0,70.0
28/01/2017,0.19,0.0,11.424163447976857,-11.424163447976857,1.0,1.0
04/02/2017,0.18,1.0,14.85302352668941,-13.85302352668941,0.0,-1.0
11/02/2017,0.29,1.0,11.553802529440821,-10.553802529440821,0.0,-1.0
18/02/2017,0.36,2.0,10.683369560223818,-8.683369560223818,0.0,-2.0
25/02/2017,0.46,0.0,9.729114415638149,-9.729114415638149,1.0,1.0
04/03/2017,0.07,1.0,11.340395671193301,-10.340395671193301,1.0,0.0
11/03/2017,0.25,0.0,19.04959633078277,-19.04959633078277,2.0,2.0
18/03/2017,0.41,0.0,7.627172428672016,-7.627172428672016,0.0,0.0
25/03/2017,0.29,1.0,9.1989615202941,-8.1989615202941,1.0,0.0
01/04/2017,1.0,0.0,11.802072836457192,-11.802072836457192,0.0,0.0
08/04/2017,0.56,0.0,20.340943792153894,-20.340943792153894,0.0,0.0
15/04/2017,0.37,0.0,34.286947070138154,-34.286947070138154,1.0,1.0
22/04/2017,0.36,3.0,13.328418558935075,-10.328418558935075,0.0,-3.0
29/04/2017,0.15,1.0,16.0261205526039,-15.0261205526039,0.0,-1.0
06/05/2017,0.24,0.0,17.16886316802651,-17.16886316802651,0.0,0.0
13/05/2017,0.16,0.0,10.390469445125014,-10.390469445125014,3.0,3.0
20/05/2017,0.45,0.0,15.0360155315727,-15.0360155315727,1.0,1.0
