Date,Predicted,Observed,error
2016-01-05,207.96950732828589,639,-431.0304926717141
2016-01-17,263.3074040962703,714,-450.6925959037297
2016-01-24,314.22949551405134,0,314.22949551405134
2016-01-31,383.2050290124092,1816,-1432.7949709875907
2016-02-10,108.80311412734468,1119,-1010.1968858726553
2016-02-14,325.14729624801646,883,-557.8527037519835
2016-02-21,309.0137456379465,587,-277.9862543620535
2016-02-28,236.14080563392162,543,-306.8591943660784
2016-03-01,393.546807268971,268,125.54680726897101
2016-03-04,173.12714456600577,240,-66.87285543399423
2016-03-07,192.84639446564455,241,-48.15360553435545
2016-03-13,263.19215666848635,70,193.19215666848635
2016-03-20,187.7401534497214,108,79.74015344972139
2016-03-27,228.34599217060108,95,133.34599217060108
2016-04-09,298.9708329105654,59,239.97083291056538
2016-04-12,116.21108281686251,80,36.211082816862515
2016-04-17,159.3128355792853,82,77.31283557928529
2016-04-24,264.3952532657415,15,249.39525326574147
2016-05-06,100.13895773131892,202,-101.86104226868108
2016-05-15,161.83427534213092,254,-92.16572465786908
2016-05-22,119.91009323825412,-71,190.91009323825412
2016-05-29,137.3043642927705,71,66.30436429277049
2016-06-03,133.6091563925631,43,90.60915639256311
2016-06-11,220.82452173580128,44,176.82452173580128
2016-06-19,119.8524730841861,33,86.8524730841861
2016-06-26,250.72552361749683,17,233.72552361749683
2016-07-02,373.59079999405105,33,340.59079999405105
2016-07-08,150.94580924375293,46,104.94580924375293
2016-07-17,94.0042235406509,44,50.0042235406509
2016-07-24,142.3472532188787,23,119.3472532188787
2016-07-31,105.58119880868219,26,79.58119880868219
2016-08-05,58.04191782596351,21,37.04191782596351
2016-08-14,181.6347528946403,10,171.6347528946403
2016-08-21,77.8130564554885,24,53.81305645548851
2016-08-28,177.73735012523156,22,155.73735012523156
2016-09-10,178.72748975313613,115,63.727489753136126
2016-09-18,155.1273368558277,74,81.1273368558277
2016-09-25,61.62189403473887,6,55.62189403473887
2016-10-01,380.49597104283083,6,374.49597104283083
2016-10-04,159.050274602695,-3,162.050274602695
2016-10-07,52.10943925197785,9,43.10943925197785
2016-10-16,51.907386526715726,3,48.907386526715726
2016-10-23,131.19928573277346,30,101.19928573277346
2016-10-30,45.431143069425545,10,35.431143069425545
2016-11-09,-9.746033511535032,6,-15.746033511535032
2016-11-12,283.700769792772,11,272.700769792772
2016-11-13,38.960791662279846,-3,41.960791662279846
2016-11-20,35.72571040889827,5,30.725710408898273
2016-11-27,290.3969445790446,6,284.3969445790446
2016-12-06,70.60460868268045,32,38.60460868268045
2016-12-18,280.69991990850247,1,279.69991990850247
2016-12-25,19.563317701448256,4,15.563317701448256
2017-01-01,85.96773608049851,0,85.96773608049851
2017-01-10,20.925498538000774,1,19.925498538000774
2017-01-15,33.08425095478357,0,33.08425095478357
2017-01-22,6.642508391911896,5,1.6425083919118961
2017-01-29,3.412334216577541,2,1.4123342165775412
2017-02-04,110.81338209397016,3,107.81338209397016
2017-02-07,-22.939092344104203,1,-23.939092344104203
2017-02-19,-6.266839749787849,4,-10.266839749787849
2017-02-26,88.51388351195402,1,87.51388351195402
2017-03-09,13.885609500230576,3,10.885609500230576
2017-03-12,-15.937869547753863,0,-15.937869547753863
2017-03-19,125.26677903908055,4,121.26677903908055
2017-03-26,235.52266977521245,0,235.52266977521245
2017-04-06,0.9937193509276661,0,0.9937193509276661
2017-04-16,65.95209006340767,3,62.95209006340767
2017-04-23,18.885217969242394,0,18.885217969242394
2017-04-30,-38.49790674232037,0,-38.49790674232037
2017-05-02,-61.621915453206775,0,-61.621915453206775
2017-05-03,-15.64177153329953,0,-15.64177153329953
2017-05-11,242.78591521878695,1,241.78591521878695
2017-05-14,-44.94350265289186,6,-50.94350265289186
2017-05-21,-48.166300521536755,-5,-43.166300521536755
2017-05-28,-51.38909839018165,1,-52.38909839018165
2017-06-08,-28.011591678900256,4,-32.01159167890026
2017-06-18,-61.0574920751643,5,-66.0574920751643
2017-06-25,80.14724663868262,-13,93.14724663868262
2017-07-05,19.82962629243047,2,17.82962629243047
2017-07-16,-73.9486837682446,0,-73.9486837682446
2017-07-23,2.7794760677068737,3,-0.22052393229312628
2017-07-30,2.1357412763914425,0,2.1357412763914425
2017-08-01,-100.93922506422614,0,-100.93922506422614
2017-08-10,-57.01677382027613,2,-59.01677382027613
2017-08-13,-86.83987655270991,0,-86.83987655270991
2017-08-20,165.26457718497088,1,164.26457718497088
2017-08-27,84.66988402711067,-3,87.66988402711067
2017-09-04,-64.34847472857223,20,-84.34847472857223
2017-09-07,-69.90796794290097,-16,-53.90796794290097
2017-09-17,-102.95386920623656,0,-102.95386920623656
2017-09-24,151.72964768568357,0,151.72964768568357
2017-10-09,-80.4624673828017,0,-80.4624673828017
2017-10-12,-75.70570797939673,0,-75.70570797939673
2017-10-15,-115.84506332864501,0,-115.84506332864501
2017-10-22,-119.06786185974909,0,-119.06786185974909
2017-10-29,-122.29066039086021,0,-122.29066039086021
2017-11-06,48.49481197681459,0,48.49481197681459
2017-11-19,-131.9590559826612,2,-133.9590559826612
2017-11-26,-62.968086195466626,-2,-60.968086195466626
2017-12-02,-27.777727100754134,0,-27.777727100754134
2017-12-03,-138.40465304387604,1,-139.40465304387604
2017-12-11,-83.6770226163929,4,-87.6770226163929
2017-12-17,-144.8502501055875,4,-148.8502501055875
2017-12-24,19.566056388450477,3,16.566056388450477
