Week,Searches,Cases
25/01/2016,48,0
01/02/2016,82,306
08/02/2016,91,306
15/02/2016,85,306
22/02/2016,68,371
29/02/2016,81,371
07/03/2016,85,371
14/03/2016,82,250
21/03/2016,48,251
28/03/2016,65,143
04/04/2016,60,143
11/04/2016,52,144
18/04/2016,31,64
25/04/2016,30,64
02/05/2016,37,64
09/05/2016,54,67
16/05/2016,56,67
23/05/2016,44,67
30/05/2016,50,67
06/06/2016,25,67
13/06/2016,31,67
20/06/2016,21,69
27/06/2016,44,32
04/07/2016,42,32
11/07/2016,61,32
18/07/2016,15,32
25/07/2016,45,32
01/08/2016,38,33
08/08/2016,36,39
15/08/2016,35,80
22/08/2016,11,18
29/08/2016,10,19
05/09/2016,23,13
12/09/2016,43,13
19/09/2016,18,13
26/09/2016,27,1
03/10/2016,13,13
10/10/2016,25,14
17/10/2016,9,10
24/10/2016,21,10
31/10/2016,21,8
07/11/2016,48,8
14/11/2016,56,4
21/11/2016,44,5
28/11/2016,60,8
05/12/2016,58,96
12/12/2016,100,29
19/12/2016,41,55
26/12/2016,52,7
,,4281
