Week,Searches,Cases
25/01/2016,100,0
01/02/2016,100,2346
08/02/2016,100,2346
15/02/2016,86,2347
22/02/2016,76,1507
29/02/2016,76,1507
07/03/2016,69,1508
14/03/2016,52,697
21/03/2016,38,697
28/03/2016,39,321
04/04/2016,36,321
11/04/2016,40,321
18/04/2016,17,100
25/04/2016,26,100
02/05/2016,23,100
09/05/2016,39,101
16/05/2016,42,-23
23/05/2016,28,-23
30/05/2016,20,-23
06/06/2016,22,-23
13/06/2016,20,-23
20/06/2016,16,-19
27/06/2016,35,65
04/07/2016,23,65
11/07/2016,43,65
18/07/2016,11,65
25/07/2016,20,65
01/08/2016,50,67
08/08/2016,8,-85
15/08/2016,53,-169
22/08/2016,39,9
29/08/2016,14,9
05/09/2016,45,7
12/09/2016,43,7
19/09/2016,24,7
26/09/2016,21,1
03/10/2016,64,5
10/10/2016,61,6
17/10/2016,84,3
24/10/2016,27,3
31/10/2016,55,7
07/11/2016,100,7
14/11/2016,32,7
21/11/2016,58,11
28/11/2016,68,6
05/12/2016,76,16
12/12/2016,26,22
19/12/2016,19,16
26/12/2016,61,6
