Week,Searches,Cases
25/01/2016,40,0
01/02/2016,66,949
08/02/2016,80,949
15/02/2016,83,951
22/02/2016,84,1607
29/02/2016,72,1607
07/03/2016,86,1607
14/03/2016,85,1018
21/03/2016,52,1019
28/03/2016,63,640
04/04/2016,53,640
11/04/2016,58,642
18/04/2016,36,337
25/04/2016,35,337
02/05/2016,57,337
09/05/2016,47,339
16/05/2016,36,-3
23/05/2016,31,-3
30/05/2016,34,-3
06/06/2016,23,-3
13/06/2016,20,-3
20/06/2016,30,2
27/06/2016,24,54
04/07/2016,27,54
11/07/2016,28,54
18/07/2016,11,54
25/07/2016,19,54
01/08/2016,37,57
08/08/2016,22,-93
15/08/2016,22,-186
22/08/2016,14,3
29/08/2016,8,3
05/09/2016,31,5
12/09/2016,19,5
19/09/2016,15,5
26/09/2016,17,2
03/10/2016,13,8
10/10/2016,14,8
17/10/2016,30,10
24/10/2016,15,10
31/10/2016,28,12
07/11/2016,26,13
14/11/2016,28,9
21/11/2016,35,12
28/11/2016,34,9
05/12/2016,36,11
12/12/2016,30,11
19/12/2016,28,11
26/12/2016,31,2
