Week,Searches,Cases
25/01/2016,38,0
01/02/2016,45,3955
08/02/2016,60,3955
15/02/2016,74,3955
22/02/2016,72,5152
29/02/2016,96,5152
07/03/2016,79,5153
14/03/2016,86,2997
21/03/2016,58,2997
28/03/2016,63,1881
04/04/2016,55,1881
11/04/2016,64,1881
18/04/2016,40,731
25/04/2016,44,731
02/05/2016,54,731
09/05/2016,59,733
16/05/2016,63,206
23/05/2016,47,206
30/05/2016,46,206
06/06/2016,37,206
13/06/2016,45,206
20/06/2016,31,211
27/06/2016,34,145
04/07/2016,34,145
11/07/2016,83,145
18/07/2016,29,145
25/07/2016,41,145
01/08/2016,51,147
08/08/2016,39,3
15/08/2016,56,7
22/08/2016,25,67
29/08/2016,9,67
05/09/2016,29,65
12/09/2016,40,65
19/09/2016,16,65
26/09/2016,34,1
03/10/2016,25,69
10/10/2016,25,69
17/10/2016,72,136
24/10/2016,28,137
31/10/2016,34,96
07/11/2016,35,97
14/11/2016,32,91
21/11/2016,25,99
28/11/2016,37,124
05/12/2016,36,94
12/12/2016,26,82
19/12/2016,32,68
26/12/2016,32,29
