Week,Searches,Cases
25/01/2016,49,0
01/02/2016,73,257
08/02/2016,72,257
15/02/2016,75,258
22/02/2016,70,677
29/02/2016,62,677
07/03/2016,67,678
14/03/2016,84,798
21/03/2016,60,799
28/03/2016,65,769
04/04/2016,44,769
11/04/2016,47,769
18/04/2016,43,478
25/04/2016,42,478
02/05/2016,55,478
09/05/2016,49,478
16/05/2016,45,180
23/05/2016,34,180
30/05/2016,36,180
06/06/2016,43,180
13/06/2016,36,180
20/06/2016,23,185
27/06/2016,22,-28
04/07/2016,14,-28
11/07/2016,18,-28
18/07/2016,22,-28
25/07/2016,21,-28
01/08/2016,25,-27
08/08/2016,19,138
15/08/2016,35,276
22/08/2016,18,13
29/08/2016,10,13
05/09/2016,15,10
12/09/2016,22,10
19/09/2016,10,10
26/09/2016,17,2
03/10/2016,19,8
10/10/2016,9,9
17/10/2016,39,18
24/10/2016,16,18
31/10/2016,17,19
07/11/2016,32,19
14/11/2016,39,8
21/11/2016,48,20
28/11/2016,28,33
05/12/2016,35,21
12/12/2016,26,27
19/12/2016,29,27
26/12/2016,32,23
