Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
01/02/2016,0.79,4297.0,2513.3995586354445,1783.6004413645555,3520.0,-777.0
08/02/2016,0.66,4297.0,4403.843510331192,-106.84351033119219,3520.0,-777.0
15/02/2016,0.74,4298.0,5033.393737214126,-735.3937372141263,3520.0,-778.0
22/02/2016,0.63,4012.0,5486.677235011749,-1474.677235011749,3521.0,-491.0
29/02/2016,0.77,4012.0,3379.067952253418,632.9320477465822,4297.0,285.0
07/03/2016,0.86,4012.0,3532.40625926239,479.59374073761,4297.0,285.0
14/03/2016,0.73,3539.0,3311.8331232663727,227.1668767336273,4298.0,759.0
21/03/2016,1.0,3540.0000000000005,3352.0147038247683,187.98529617523218,4012.0,471.99999999999955
28/03/2016,0.75,3260.0000000000005,3468.83865123024,-208.83865123023952,4012.0,751.9999999999995
04/04/2016,0.81,3260.0000000000005,2346.1435103250883,913.8564896749122,4012.0,751.9999999999995
11/04/2016,0.74,3261.9999999999995,1339.5572087392045,1922.442791260795,3539.0,277.00000000000045
18/04/2016,0.72,1879.0,1245.4342359886741,633.5657640113259,3540.0000000000005,1661.0000000000005
25/04/2016,0.63,1879.0,1294.9710566473962,584.0289433526038,3260.0000000000005,1381.0000000000005
02/05/2016,0.54,1879.0,1004.063811624279,874.936188375721,3260.0000000000005,1381.0000000000005
09/05/2016,0.44,1881.0,567.6068788450241,1313.393121154976,3261.9999999999995,1380.9999999999995
16/05/2016,0.76,979.0000000000001,755.2498056655884,223.75019433441173,1879.0,899.9999999999999
23/05/2016,0.4,979.0000000000001,861.599452524128,117.40054747587214,1879.0,899.9999999999999
30/05/2016,0.48,979.0000000000001,568.3691824704742,410.63081752952587,1879.0,899.9999999999999
06/06/2016,0.27,979.0000000000001,412.39960456526757,566.6003954347325,1881.0,901.9999999999999
13/06/2016,0.29,979.0000000000001,254.8993405918169,724.1006594081832,979.0000000000001,0.0
20/06/2016,0.39,979.0000000000001,295.0623658094025,683.9376341905977,979.0000000000001,0.0
27/06/2016,0.4,-463.99999999999994,270.5065546426821,-734.506554642682,979.0000000000001,1443.0
04/07/2016,0.28,-463.99999999999994,100.34684462744713,-564.3468446274471,979.0000000000001,1443.0
11/07/2016,0.39,-463.99999999999994,93.85978985537052,-557.8597898553704,979.0000000000001,1443.0
18/07/2016,0.4,-463.99999999999994,59.16274252314448,-523.1627425231444,979.0000000000001,1443.0
25/07/2016,0.36,-463.99999999999994,47.1660818946743,-511.1660818946742,-463.99999999999994,0.0
01/08/2016,0.38,-463.99999999999994,48.857114209588765,-512.8571142095888,-463.99999999999994,0.0
08/08/2016,0.29,1303.0,48.06776981223345,1254.9322301877664,-463.99999999999994,-1767.0
15/08/2016,0.35,2606.0,360.8929281984043,2245.107071801596,-463.99999999999994,-3070.0
22/08/2016,0.16,76.0,977.4464841560936,-901.4464841560936,-463.99999999999994,-540.0
29/08/2016,0.2,76.0,284.4543711420059,-208.45437114200593,-463.99999999999994,-540.0
05/09/2016,0.27,66.0,648.2044630752468,-582.2044630752468,1303.0,1237.0
12/09/2016,0.56,66.0,572.7393538768864,-506.7393538768864,2606.0,2540.0
19/09/2016,0.23,66.0,66.2597268934679,-0.25972689346789934,76.0,10.0
26/09/2016,0.36,0.0,34.063936014559864,-34.063936014559864,76.0,76.0
03/10/2016,0.14,33.0,34.144002011196015,-1.1440020111960152,66.0,33.0
10/10/2016,0.15,34.0,30.578282358029483,3.421717641970517,66.0,32.0
17/10/2016,0.43,102.0,32.64564578420997,69.35435421579004,66.0,-36.0
24/10/2016,0.4,103.0,37.914866801801324,65.08513319819868,0.0,-103.0
31/10/2016,0.24,63.0,39.33375743992984,23.66624256007016,33.0,-30.0
07/11/2016,0.27,64.0,36.60461758446157,27.39538241553843,34.0,-30.0
14/11/2016,0.43,79.0,106.21317242653609,-27.21317242653609,102.0,23.0
21/11/2016,0.33,65.0,32.57316087002337,32.42683912997663,103.0,38.0
28/11/2016,0.26,62.0,39.082512943422195,22.917487056577805,63.0,1.0
05/12/2016,0.33,64.0,35.887376929549575,28.112623070450425,64.0,0.0
12/12/2016,0.37,60.00000000000001,32.93157690935552,27.068423090644487,79.0,18.999999999999993
19/12/2016,0.33,41.0,33.34166040479064,7.6583395952093625,65.0,24.0
26/12/2016,0.51,22.0,28.63460293424487,-6.634602934244871,62.0,40.0
02/01/2017,0.17,0.0,42.16694223340034,-42.16694223340034,64.0,64.0
09/01/2017,0.41,0.0,33.45051109634042,-33.45051109634042,60.00000000000001,60.00000000000001
16/01/2017,0.2,0.0,27.888796820454598,-27.888796820454598,41.0,41.0
23/01/2017,0.15,1.0,23.186266075775027,-22.186266075775027,22.0,21.0
30/01/2017,0.33,-1.0,17.427464832408727,-18.427464832408727,0.0,1.0
06/02/2017,0.79,-1.0,20.50477891651243,-21.50477891651243,0.0,1.0
13/02/2017,0.67,1.0,26.985803451957704,-25.985803451957704,0.0,-1.0
20/02/2017,0.29,131.0,25.436514707850815,105.56348529214918,1.0,-130.0
27/02/2017,0.46,131.0,10.480447875536978,120.51955212446302,-1.0,-132.0
06/03/2017,0.17,132.0,29.33221449003756,102.66778550996244,-1.0,-133.0
13/03/2017,0.16,56.0,37.965335933665635,18.034664066334365,1.0,-55.0
20/03/2017,0.2,57.0,164.76029517978907,-107.76029517978907,131.0,74.0
27/03/2017,0.12,195.0,149.40028968932629,45.599710310673714,131.0,-64.0
03/04/2017,0.13,195.0,110.3454926651454,84.6545073348546,132.0,-63.0
10/04/2017,0.11,195.0,295.64888199560164,-100.64888199560164,56.0,-139.0
17/04/2017,0.17,0.0,171.5638570299864,-171.5638570299864,57.0,57.0
24/04/2017,0.18,0.0,119.87861291233301,-119.87861291233301,195.0,195.0
01/05/2017,0.13,0.0,93.94708565853595,-93.94708565853595,195.0,195.0
08/05/2017,0.1,0.0,34.956739890050294,-34.956739890050294,195.0,195.0
15/05/2017,0.09,61.0,16.28890483525008,44.71109516474992,0.0,-61.0
22/05/2017,0.22,61.0,37.91139390369594,23.088606096304062,0.0,-61.0
29/05/2017,0.2,61.0,54.203070330870155,6.796929669129845,0.0,-61.0
05/06/2017,0.15,61.0,51.18020401440859,9.819795985591412,0.0,-61.0
12/06/2017,0.05,61.0,61.756245029653314,-0.7562450296533143,61.0,0.0
19/06/2017,0.12,61.0,69.95622582435608,-8.956225824356082,61.0,0.0
26/06/2017,0.16,0.0,75.5007101409185,-75.5007101409185,61.0,61.0
03/07/2017,0.19,0.0,29.039270303079487,-29.039270303079487,61.0,61.0
10/07/2017,0.14,0.0,27.429026467190386,-27.429026467190386,61.0,61.0
17/07/2017,0.27,0.0,27.397583535348176,-27.397583535348176,61.0,61.0
24/07/2017,0.06,0.0,17.0782791284284,-17.0782791284284,0.0,0.0
31/07/2017,0.05,0.0,18.851233472323717,-18.851233472323717,0.0,0.0
07/08/2017,0.26,0.0,16.52747723978281,-16.52747723978281,0.0,0.0
14/08/2017,0.2,0.0,15.086793792345226,-15.086793792345226,0.0,0.0
21/08/2017,0.06,0.0,15.994569246863128,-15.994569246863128,0.0,0.0
28/08/2017,0.18,0.0,18.752816423001587,-18.752816423001587,0.0,0.0
04/09/2017,0.09,250.0,16.828149496986867,233.17185050301313,0.0,-250.0
11/09/2017,0.27,250.0,45.920641838965416,204.07935816103458,0.0,-250.0
18/09/2017,0.19,250.0,48.211992245031595,201.78800775496842,0.0,-250.0
25/09/2017,0.44,1.0,379.5997411781025,-378.5997411781025,0.0,-1.0
02/10/2017,0.19,0.0,87.99204698732615,-87.99204698732615,250.0,250.0
09/10/2017,0.13,0.0,121.89633183310032,-121.89633183310032,250.0,250.0
16/10/2017,0.33,0.0,81.8769112013042,-81.8769112013042,250.0,250.0
23/10/2017,0.18,0.0,20.114249780639113,-20.114249780639113,1.0,1.0
30/10/2017,0.1,0.0,17.877479182099997,-17.877479182099997,0.0,0.0
06/11/2017,0.41,1.0,17.41620531807065,-16.41620531807065,0.0,-1.0
13/11/2017,0.16,0.0,20.01965690534264,-20.01965690534264,0.0,0.0
20/11/2017,0.33,0.0,17.29536391017854,-17.29536391017854,0.0,0.0
27/11/2017,0.22,0.0,17.642062032553255,-17.642062032553255,0.0,0.0
04/12/2017,0.18,0.0,20.552201165749132,-20.552201165749132,1.0,1.0
