,Predicted,Observed,error
0,81.33735176476377,2.0,79.33735176476377
1,98.31229248305934,5.0,93.31229248305934
2,74.7089695876262,6.0,68.7089695876262
3,75.39119978189409,13.0,62.39119978189409
4,74.29724273975378,6.0,68.29724273975378
5,10.973192913466441,5.0,5.973192913466441
6,112.58643288775642,9.0,103.58643288775642
7,73.23561169332453,8.0,65.23561169332453
8,58.82025250981303,10.0,48.82025250981303
9,53.74392896076775,5.0,48.74392896076775
10,48.19545332235886,4.0,44.19545332235886
11,44.88126432946107,5.0,39.88126432946107
12,41.56707533656326,5.0,36.56707533656326
13,38.266938960484396,0.0,38.266938960484396
14,39.617350924337714,8.0,31.617350924337714
15,32.7507882369225,5.0,27.750788236922503
16,36.541348971881504,3.0,33.541348971881504
17,42.6209837041446,4.0,38.6209837041446
18,-43.15085895588244,2.0,-45.15085895588244
19,27.468605308322285,5.0,22.468605308322285
20,18.36775551543442,8.0,10.367755515434421
21,15.053570013919142,0.0,15.053570013919142
22,23.728648362141314,6.0,17.728648362141314
23,8.439253622647536,4.0,4.439253622647536
24,8.013483747365072,1.0,7.013483747365072
25,10.027860243563067,-8.0,18.02786024356307
26,-70.3142507593645,2.0,-72.3142507593645
27,-11.459912440795645,1.0,-12.459912440795645
28,-14.774097648692615,1.0,-15.774097648692615
29,-11.427580717870294,0.0,-11.427580717870294
30,-0.4634302254346765,1.0,-1.4634302254346765
31,-21.388413284829625,1.0,-22.388413284829625
32,-8.286921329699739,4.0,-12.286921329699739
33,16.37384244499178,2.0,14.37384244499178
34,-31.345023687401085,-16.0,-15.345023687401085
35,4.076718945139775,-1.0,5.076718945139775
36,-34.64515411554721,13.999999999999998,-48.64515411554721
37,-41.28757931046591,-1.0,-40.28757931046591
38,-21.955377246359657,3.0,-24.955377246359657
39,-12.494207092789367,3.0,-15.494207092789367
40,-50.32798653504489,2.0,-52.32798653504489
41,-54.54432014115075,2.0,-56.54432014115075
42,-57.85850534859003,-4.0,-53.85850534859003
43,-61.172690556233896,0.0,-61.172690556233896
44,-14.649777692261171,3.0,-17.64977769226117
45,-71.11524617909411,8.0,-79.11524617909411
46,-61.10802710925188,4.0,-65.10802710925188
47,-135.08919704085295,-3.0,-132.08919704085295
48,-64.86625912650682,6.999999999999999,-71.86625912650682
49,-42.32187396206161,4.0,-46.32187396206161
50,-84.37198701000733,-1.0,-83.37198701000733
51,-73.03262751239271,-5.0,-68.03262751239271
