,Observed Cases,Predicted Cases,error
0,14.0,25.610946877666443,11.610946877666443
1,14.0,7.692488296728415,-6.307511703271585
2,14.0,15.29478944909331,1.2947894490933098
3,16.0,14.778598749148236,-1.2214012508517644
4,89.0,18.581952795793924,-70.41804720420608
5,89.0,86.37826311873492,-2.621736881265079
6,89.0,96.38668642784737,7.386686427847366
7,66.0,81.68956403198321,15.68956403198321
8,66.0,66.45296057893368,0.45296057893368413
9,66.0,68.45887203006161,2.458872030061613
10,77.0,66.93566256883805,-10.064337431161945
11,78.0,81.17613060860404,3.1761306086040406
12,107.99999999999999,82.63813737128118,-25.36186262871881
13,107.99999999999999,104.06538209124419,-3.934617908755797
14,109.0,113.06618142895825,4.066181428958245
15,26.999999999999996,108.06763593945142,81.06763593945142
16,26.999999999999996,28.63145581242251,1.6314558124225123
17,26.999999999999996,16.09391442279057,-10.906085577209428
18,26.999999999999996,24.315544072684332,-2.684455927315664
19,40.99999999999999,28.034558159907963,-12.96544184009203
20,40.99999999999999,43.369108447358805,2.369108447358812
21,40.99999999999999,39.910383938898946,-1.0896160611010473
22,40.99999999999999,43.82000764165223,2.8200076416522393
23,40.99999999999999,36.29533753478378,-4.7046624652162095
24,46.0,43.31395904256465,-2.6860409574353525
25,34.0,50.37087099692219,16.370870996922193
26,34.0,30.434478718213633,-3.565521281786367
27,34.0,30.445683016247767,-3.5543169837522335
28,34.0,39.1096794253191,5.109679425319101
29,34.0,28.21522056307736,-5.784779436922641
30,34.0,28.92135375139345,-5.07864624860655
31,86.0,42.369852922746354,-43.630147077253646
32,172.0,86.91021519128104,-85.08978480871896
33,22.0,168.53082844249897,146.53082844249897
34,22.0,46.221051088108474,24.221051088108474
35,50.0,0.15986664947178394,-49.84013335052822
36,50.0,46.97333660131882,-3.0266633986811797
37,50.0,57.17092451230182,7.1709245123018235
38,2.0,48.83767798895145,46.83767798895145
39,2.0,3.9738783673745206,1.9738783673745206
40,2.0,-7.008930808379645,-9.008930808379645
41,20.0,0.7118446449778383,-19.288155355022162
42,21.0,20.802022133843604,-0.19797786615639623
43,9.0,23.398267261807096,14.398267261807096
44,9.0,9.51954732838424,0.51954732838424
45,1.0,3.776226968014914,2.776226968014914
46,24.0,0.43916561337269366,-23.560834386627306
47,19.0,24.756066887236003,5.756066887236003
48,29.999999999999996,23.739312573363392,-6.260687426636604
49,1.0,29.07189460476074,28.07189460476074
50,3.0,1.9108668406828564,-1.0891331593171436
51,56.0,2.542653995571685,-53.45734600442832
