,Arimax,LSTM,Naive,Observed
0,13.689934506799991,8.696277570619584,6,0.0
1,-3.4366736979140344,4.423213133025169,0,0.0
2,-0.3204703834796141,3.452037250993252,0,0.0
3,1.0565662409940573,4.5222045398283015,0,2.0
4,-4.69405613303091,2.599815222144127,2,7.999999999999999
5,5.4221916711034455,5.182432488985062,8,7.999999999999999
6,9.727248005707215,7.520137376289368,8,8.999999999999998
7,17.357517412382755,9.473738979377746,9,31.0
8,24.61605129235987,19.111367874298093,31,31.0
9,39.38560871006155,19.632651116466526,31,32.0
10,33.74926731758276,17.870483667755128,32,22.0
11,19.526637544346627,9.962474288749695,22,22.0
12,22.476793295345246,10.36796487602234,22,5.999999999999999
13,5.7424869212856615,3.3582700694847105,6,5.999999999999999
14,5.362951537063548,3.363735010335445,6,7.999999999999999
15,7.494296271924858,3.9709753853988654,8,0.0
16,-2.5320072993540816,1.624069856146574,0,0.0
17,1.3013294731497895,2.448093154020309,0,0.0
18,1.311092310189228,1.9391222882795331,0,0.0
19,-2.9069847500727053,1.7625477095174789,0,78.0
20,80.66479067600679,23.00992724899292,78,78.0
21,86.91952860000092,27.267849531841282,78,78.0
22,79.07287223849974,22.91484310918808,78,78.0
23,79.15704856743206,20.05203841712952,78,78.0
24,77.08608227646927,19.267822021522523,78,83.0
25,82.97612391438733,21.15160913606644,83,208.0
26,204.34112401715507,53.75304557487489,208,208.0
27,225.77389268419608,66.17376493457795,208,208.0
28,210.89131446770745,69.87202105751038,208,208.0
29,209.60569139473225,81.82462989578245,208,208.0
30,207.6796729542204,82.33700815750122,208,212.0
31,210.9298456193462,84.23347594825745,212,16.999999999999996
32,18.813378199112925,31.97104475921631,17,35.99999999999999
33,9.266428671909587,11.699171739091875,36,0.0
34,2.3039191004271293,3.3713653944396973,0,0.0
35,-5.799670119964227,1.1592721638679504,0,31.0
36,32.91448678320584,8.255472067594527,31,31.0
37,31.67911407887392,11.571048267860412,31,31.0
38,31.52574786094121,10.789428410654068,31,0.0
39,1.259784322395086,1.4758713055837154,0,0.0
40,-2.0926233755392802,1.413410976305008,0,0.0
41,-5.237842492368742,1.378338022048473,0,38.0
42,37.119120857907745,12.502558661785125,38,38.0
43,44.37880240423618,16.082043835487365,38,0.0
44,3.397965526847348,3.7173917637062073,0,0.0
45,-10.507856016974623,3.5298539120578765,0,22.0
46,25.188624880538274,9.271028572053911,22,0.0
47,-0.431274060449504,4.588926605958939,0,0.0
48,4.132946692752164,4.046635075600148,0,-25.0
49,-30.699499844293925,2.5069829938101766,-25,19.0
50,20.65043671083087,7.460694588446617,19,1.0
51,0.17510826024272955,6.471679590525628,1,-1.0
