,SARIMAX,LSTM,Naive,Observed
0,1.869610665072569,10.787923144027367,3.0,-5.226592093599344
1,7.087314918990242,-4.478957409939878,-5.226592055,2.2578025842026896
2,7.756705814243282,1.802882322021481,2.257802648,9.742197262004726
3,3.7426724070033206,8.963474497474172,9.742197352,17.226592569774766
4,6.853634504233232,15.998675742198902,17.22659205,24.710987037587465
5,32.505598525247734,24.562964716428148,24.71098676,31.463588837040515
6,26.20726295872929,32.20617495714337,31.46358764,33.825424546847636
7,29.6729678651598,34.462837929233025,33.8254256,35.45546926820978
8,33.475280541052925,36.17089452795714,35.45546974,36.16811930892528
9,34.784368047774585,36.47493220426709,36.16812037,31.37641134524882
10,33.842875892395924,30.96719757139206,31.37640989,25.667305341096373
11,25.939123809624505,25.37152108555131,25.66730589,24.332693773113643
12,26.4896797814437,24.233024435849188,24.33269411,27.37257496138595
13,24.600281452421374,27.672926904913854,27.37257453,28.83052418439344
14,25.27097428924175,28.765783632910253,28.83052553,20.79690009487331
15,26.77900783821403,20.161164947241467,20.79689994,11.181344880045689
16,1.7580084354572458,9.993548614533172,11.18134493,1.5657898752074038
17,5.824230525203181,0.2438787246029475,1.565789915,-1.8077775933646223
18,2.756477579121234,-2.0464567195828165,-1.807777507,1.0606426843189447
19,2.7922532966997338,0.5692826056097564,1.060642663,3.9290629620025115
20,5.646166959793191,3.546261646516565,3.929062834,6.797482819707412
21,4.722837985131812,6.208089378133937,6.797483004,9.66590309739098
22,4.896021337212631,9.085974715036825,9.665903174,8.578692562594414
23,4.476835129447879,8.38185528100647,8.578692282999999,3.5358503753603814
24,5.30965994242945,3.77206317685632,3.535850329,-1.5069916018843186
25,6.5784560091395505,-2.3599155673413725,-1.506991624,-6.549833579129017
26,-10.870862451921383,-6.514511693315394,-6.549833577999999,-11.592675346384384
27,-9.176086386790516,-12.482519426472525,-11.59267553,-16.635517953597084
28,-9.219440780068794,-16.877610456431732,-16.63551748,-15.57373460721843
29,-10.415135708869096,-15.578216619553196,-15.5737338,-8.407324467291089
30,-11.308743015638369,-7.1830614541185644,-8.407324469,-1.2409151673210783
31,-8.346786920944544,-1.3573483730595186,-1.24091514,5.92549413264893
32,5.004744327545136,6.617242675062642,5.925494189,6.074505923547819
33,5.402881735301125,5.8965727217211565,6.074505811,-0.7938802671004109
34,-3.5352296327870736,-2.1772807043370794,-0.793880274,-4.2061195288264575
35,-0.24443975712874966,-4.380660562959351,-4.206119726,-4.162212439100983
36,-5.526645557867463,-4.274211930051371,-4.162212546,-4.118305349375513
37,-3.9578246522137572,-4.1539304597867455,-4.118305367,-3.478046401531538
38,-6.5616359757302485,-3.7497950679719634,-3.47804641,-2.241435595569061
39,1.9251817188091507,-1.9519650893151013,-2.241435677,0.0
40,-2.268139569782398,0.016690162217924367,0.0,8.270385383155235
41,1.5074889377131282,9.248647572017537,8.270385337999999,15.363730154461114
42,16.410527609921733,15.39173433198005,15.36373041,9.365884616924712
43,15.264176124342663,9.698451444087404,9.365884249,1.1861728379750345
44,2.495421071762767,0.9840421452675852,1.18617288,4.813826980134007
45,4.595713407890028,5.987286853868087,4.81382712,17.000000639583615
46,16.903189955731342,16.91677934683554,17.0,10.999999771527907
47,10.184539360588973,10.337021447721831,11.0,9.000000042147562
48,8.8749575909575,8.737810720137208,9.0,3.9999998787393607
49,4.708619793212193,3.483243847525623,4.0,-3.9999998787393607
50,-3.8700124637247235,-4.666867624980994,-4.0,0.9999999696848402
51,1.9612657266881224,1.9549043100164551,1.0,15.000000070245935
