,Arimax Error,LSTM Error,Naive Error
0,-4.130389334927432,22.63808783115914,8.226592055000001
1,1.0873149189902431,-8.894203846098847,-7.4843947029999995
2,1.756705814243282,-6.768972567894683,-7.484394704
3,-2.2573275929966794,-6.267741468087138,-7.484394698000001
4,-23.14636549576677,-8.317889170185328,-7.48439471
5,2.5055985252477337,-7.5628280037564055,-6.752600879999999
6,-3.792737041270705,-3.395497284640076,-2.3618379600000026
7,-4.327032134840195,-1.9198266417977197,-1.6300441399999954
8,-0.5247194589470752,-1.2208175081880412,-0.7126506299999988
9,-0.215631952225408,5.115437599727066,4.791710479999995
10,8.842875892395924,6.308425641521662,5.709104
11,0.9391238096245048,1.976900062735229,1.334611780000003
12,1.489679781443705,-3.540287449977772,-3.039880420000003
13,-0.3997185475786225,-1.5606508062480382,-1.4579509999999978
14,-1.7290257107582543,7.783793899723741,8.03362559
15,23.77900783821403,8.628901012240313,9.61555501
16,-1.2419915645427542,8.471477678608402,9.615555015
17,2.8242305252031814,2.1441142015400927,3.373567422
18,-0.2435224208787661,-2.434944126241961,-2.86842017
19,-2.2077467033002662,-3.2958884243036812,-2.8684201710000004
20,0.6461669597931898,-3.3473053625640183,-2.8684201700000003
21,-0.2771620148681881,-3.360869623563084,-2.8684201700000003
22,-0.10397866278736778,0.5950996917226911,1.0872108910000016
23,-0.5231648705521215,5.0965977767018416,5.042841953999999
24,-0.6903400575705501,4.406201145617366,5.042841953
25,16.57845600913955,4.081591024291283,5.042841953999999
26,-0.8708624519213792,4.783305870463439,5.042841952
27,0.8239136132094842,4.330134609441163,5.0428419500000015
28,0.7805592199312059,-1.2965665404919522,-1.0617836799999996
29,-0.4151357088690961,-7.179461396984607,-7.1664093310000005
30,-1.3087430156383686,-5.800513941057342,-7.1664093289999995
31,-12.346786920944544,-6.3103070672040475,-7.1664093289999995
32,-2.9952556724548645,1.0271871837016944,-0.14901162199999973
33,8.402881735301126,6.603133544240411,6.868386085
34,-1.5352296327870736,2.3851474656791054,3.412239452
35,4.75556024287125,0.4006289899235776,-0.04390717999999971
36,-0.5266455578674627,0.020182914802450824,-0.04390717900000052
37,1.0421753477862432,-0.618535551290782,-0.6402589569999995
38,-7.5616359757302485,-1.3023477568332384,-1.2366107330000005
39,1.9251817188091507,-1.9914531635058672,-2.241435677
40,-2.268139569782398,-8.235119374190829,-8.270385337999999
41,-14.492511062286873,-6.08530357507769,-7.093345072000003
42,-0.5894723900782637,7.131446915895381,5.997846161
43,12.264176124342663,7.003069306876688,8.179711369
44,-0.5045789282372328,-4.819822214979153,-3.62765424
45,-12.404286592109974,-11.594884434173071,-12.18617288
46,5.903189955731343,2.7233247878549243,6.0
47,1.184539360588973,1.3220903240032875,2.0
48,4.8749575909575,5.058239445125442,5.0
49,8.708619793212192,8.282774753833227,8.0
50,-4.870012463724724,-4.955727797237062,-5.0
51,-13.038734273311878,-13.21385725793576,-14.0
