,Arimax Error,LSTM Error,Naive Error
0,7.5970193377091055,8.696277570619584,6
1,0.057672063947622726,4.423213133025169,0
2,-5.310639583534941,3.452037250993252,0
3,-0.6216580381989303,2.5222045149171355,-2
4,-6.908867463396102,-5.400184877500534,-6
5,-0.10765248799912186,-2.817567610659599,0
6,2.9927139379844387,-1.4798624243259422,-1
7,-20.690545959920264,-21.526260223102568,-22
8,0.1512602276600461,-11.888631328182221,0
9,-1.385569165451262,-12.36734928211212,-1
10,12.748182771500849,-4.129516730861663,10
11,-2.515567490110381,-12.037526109867096,0
12,14.215686186331446,4.367964676694871,16
13,0.7434516852892363,-2.6417301298427587,0
14,-5.112415529810256,-4.636265089309215,-2
15,8.241940355175938,3.9709753853988654,8
16,-0.461121689365032,1.624069856146574,0
17,-0.9301347895883666,2.448093154020309,0
18,1.0363719078488265,1.9391222882795331,0
19,-78.9269176089884,-76.2374498979807,-78
20,-0.4515903473232612,-54.99007035850525,0
21,12.071823196849225,-50.7321480756569,0
22,-1.092713477459455,-55.08515449831009,0
23,0.8076801781254375,-57.94795919036865,0
24,-5.516475913958487,-63.73217757946014,-5
25,-125.29089337976377,-186.84838448392867,-125
26,0.7836344733771057,-154.24694804512026,0
27,17.84775643311255,-141.82622868541716,0
28,1.2725885121112412,-138.12797256248473,0
29,-0.1094760511665811,-126.17536372421264,0
30,-4.756433244205709,-129.6629902468872,-4
31,194.46496145524262,67.23347554962159,195
32,-18.160661508072945,-4.028954443244931,-19
33,8.354937693193449,11.699171739091875,36
34,2.7209100566429503,3.3713653944396973,0
35,-36.35987418730031,-29.84072703861237,-31
36,0.06948112604764134,-22.74452713488579,0
37,4.7082300793002405,-19.428950934619905,0
38,30.262520035857946,10.789428410654068,31
39,1.4312339886009031,1.4758713055837154,0
40,-4.729528453204679,1.413410976305008,0
41,-38.18778866781753,-36.62166357260942,-38
42,-0.8685273328568641,-25.49744293287277,0
43,44.984665347391015,16.082043835487365,38
44,0.2255079538637611,3.7173917637062073,0
45,-27.45849296113167,-18.470146486558914,-22
46,21.10489018299736,9.271028572053911,22
47,4.407276015624971,4.588926605958939,0
48,21.005392839060093,29.046635075504774,25
49,-43.01242694581279,-16.493017803518768,-44
50,13.106731677008185,6.4606945759910355,18
51,9.15104100702271,7.47167960298121,2
