,Arimax Error,LSTM Error,Naive Error
0,24.91198999278284,-6.555043281388879,-9
1,-25.170652010286368,-6.555043281388879,0
2,21.807645972564057,-5.23785789809823,0
3,5.870854765681094,-2.5841421776533138,-1
4,-1.9995837766829292,-20.555043354206678,-13
5,-15.018398074671099,-10.530181896166802,0
6,7.608819231988602,-3.2619110622787453,-2
7,44.23947317976139,-29.85608033508539,-27
8,-12.728853568375143,-15.453700816025732,0
9,15.479936968348007,-6.300170288503168,0
10,-9.558815381028976,21.19105473816872,17
11,-7.920459691512272,3.63715344374657,0
12,39.733366864437905,-30.694257816324228,-28
13,-10.541878968536992,-3.4648143574476222,0
14,2.1285586235724026,4.550416536540978,-2
15,-40.80062213422613,53.8551179103279,42
16,-6.2341954969735935,13.138537523474696,0
17,11.658059223702278,-2.8864924456691767,0
18,6.531435872546936,-8.983542292132377,-2
19,-0.5176463509079099,-5.782545647778512,-6
20,-0.5465830446798989,0.09030477486848554,0
21,-9.841433211163997,4.83555240767479,0
22,13.584784308066395,3.8822367318606363,0
23,6.07719779385958,3.5411178797149674,0
24,-4.131968990994906,3.2268434161257744,0
25,-55.37419139924518,49.934241623637675,47
26,2.216812917989941,18.444956399063468,0
27,2.1761716110854614,18.444956399063468,0
28,-14.091689557713895,18.444956399063468,0
29,25.583918813909303,18.444956399063468,0
30,3.791274256764789,13.444956148267385,-5
31,1.7752261107858038,3.4449563350937518,-10
32,-5.980080803658353,1.44495625444442,-2
33,1.3119811286956224,11.444956362654564,10
34,-2.3576665149697957,10.444956469848156,-1
35,-10.303943844645088,25.44495643547237,15
36,-13.678661632614677,25.44495643547237,0
37,14.444862941392401,25.44495643547237,0
38,-16.787013632873958,3.4449563350937518,-22
39,33.821203344899956,1.44495625444442,-2
40,1.3755853692373408,2.5881023543766144,-1
41,-19.057737369382288,2.4449563439418376,2
42,13.565392714258998,2.496679784518629,0
43,6.642414580033993,1.44495625444442,-1
44,-20.84626888745861,1.44495625444442,0
45,15.847881349395378,4.4449563262456655,3
46,5.240659776071644,-5.555043388582468,-10
47,-9.466512396605381,1.44495625444442,7
48,3.498364754094433,2.444491563093662,0
49,8.675735678885385,1.44495625444442,0
50,-1.1018863605865636,-4.555043495776057,-6
51,-6.659334141706508,-2.400263623389601,1
