,Arimax,LSTM,Naive,Observed
0,1.784958051724962,6.155665733287036,2.0,6.955089972294568
1,8.758270870782633,6.6960589315330985,6.955089772000001,9.818363438037633
2,15.632079309791319,11.03232616792202,9.818363257,12.6816369037807
3,5.822287721701166,9.434701894730926,12.68163674,15.544910369523766
4,15.360715985920718,19.077594138883352,15.54491023,18.40818383526683
5,25.64773756664067,17.443028934394118,18.40818371,22.736526784389014
6,25.03724600675579,24.75148295413017,22.73652702,35.85528820731401
7,24.599393721688728,37.160576931772226,35.85528926,50.43912068714618
8,53.49465245457958,56.36185509607792,50.43912133,61.34863613771439
9,58.84632803722844,65.07627373852729,61.3486356,50.21224311858654
10,51.52821027761898,47.012344796812535,50.21224307,35.401533070194716
11,39.7636414811244,35.161916218531125,35.40153275,38.59846686511993
12,36.575997201073015,35.16270927666903,38.59846725,59.80304765041828
13,63.085150538023264,59.046891892385474,59.80304656,75.89397068024158
14,69.19692355808822,78.03650535733223,75.8939728,61.30297864777565
15,65.31203549183051,63.924809969315525,61.30298065,41.598335153946884
16,26.796412635229373,37.727934500088686,41.59833543,21.89369008659005
17,21.601224188433232,18.414086138987546,21.89369021,15.647677486559152
18,24.081190730480944,13.497604036574366,15.64767739,22.86029735385418
19,27.77714541483555,23.19202224353313,22.86029696,30.072915647621155
20,33.729483304533076,30.433628071062564,30.07291654,37.28553708844423
21,32.777529133185396,36.69933494818449,37.28553611,44.49815538221121
22,33.37072508406053,47.72677373797894,44.49815568,41.64113196988821
23,31.29025513579586,41.32761909387588,41.64113161,28.71446370441913
24,34.503837727322434,26.603468823590283,28.71446389,15.78779543895006
25,33.706823681373336,13.916653438992501,15.78779617,2.861128353627026
26,-12.931743867986642,0.9634567690687628,2.86112845,-10.065539518460037
27,-19.109832604944774,-5.013995209285022,-10.06553927,-22.992206210401054
28,-13.549094185049526,-11.362745029318333,-22.99220699,-25.05962537890315
29,-13.898022487236311,-17.76131274745822,-25.05962525,-16.26779387691021
30,-16.306531270843767,-15.784749088642595,-16.26779406,-7.475963161681294
31,-6.145892559302283,-11.132260147700906,-7.475962872999999,1.3158683403116465
32,1.0515604761134574,-1.047795807366967,1.315868318,2.6841316242960094
33,3.402698328591498,2.8875205495597416,2.684131682,-3.3711729163461923
34,-7.819836442568892,-4.141628897309899,-3.37117278,-9.6288272636652
35,-5.468772507261993,-9.051585578894018,-9.62882722,-16.088831811043026
36,-21.15350428606333,-15.61625570490122,-16.08883164,-22.548836358420854
37,-21.396328519448982,-21.99220395730257,-22.54883606,-18.73000179233432
38,-22.89224534689322,-19.224188732733726,-18.73000221,-4.632330079693496
39,2.9778604161486073,-12.763975692889098,-4.632330089,7.000000036408901
40,0.2253572172034254,-5.343024645411967,7.0,3.8402778196066616
41,7.5448134276770595,4.769624729378223,3.840277897,-0.7454130361622945
42,2.2239927333304705,-1.407419939469844,-0.745413048,0.9051351319905372
43,0.20119438118089408,1.426408489229828,0.905135151,3.5950564544060826
44,4.232015483156678,3.4434187031510466,3.595056539,2.4049434925054007
45,3.841056103285708,2.143376907980144,2.404943461,0.0
46,-2.1428420239021806,0.3291513845509291,0.0,9.999999714828132
47,11.499368642909827,7.781813742847443,10.0,3.0000000718012454
48,3.4305263984859877,3.2938359795311087,3.0,3.0000000718012454
49,2.189021108282646,2.7875907002919917,3.0,3.0000000718012454
50,3.2193681101757354,2.884106190379262,3.0,8.999999822021723
51,9.745019663945383,9.042109006204605,9.0,7.999999929215312
