Date,Predicted,Observed,error
2016-01-02,3451.04376894721,3520,-68.95623105278992
2016-01-08,1062.5509921934,3520,-2457.4490078066
2016-01-18,2522.5758157201526,3520,-997.4241842798474
2016-01-25,3194.8019649477137,3521,-326.1980350522863
2016-02-05,1589.2036694440064,4297,-2707.7963305559933
2016-02-15,2616.7781090740527,4297,-1680.2218909259473
2016-02-22,2207.878298476479,4298,-2090.121701523521
2016-02-29,2699.91678775844,4012,-1312.08321224156
2016-03-10,-5.157217289409573,4012,-4017.1572172894093
2016-03-14,2530.7927424694985,4012,-1481.2072575305015
2016-03-21,3491.31914768295,3539,-47.68085231704981
2016-03-28,2577.893889249385,3540,-962.1061107506148
2016-04-01,1345.157872402141,3260,-1914.842127597859
2016-04-04,2781.632122662548,3260,-478.3678773374518
2016-04-07,449.4203963448912,3262,-2812.5796036551087
2016-04-18,2432.320417986789,1879,553.3204179867889
2016-04-25,2095.4956716711363,1879,216.49567167113628
2016-05-09,773.1706031196453,1879,-1105.8293968803546
2016-05-12,567.1732645065721,1881,-1313.8267354934278
2016-05-16,2526.522712513323,979,1547.5227125133229
2016-05-23,1216.6846023255941,979,237.68460232559414
2016-05-30,1492.4979001214836,979,513.4979001214836
2016-06-06,723.2227700582924,979,-255.77722994170756
2016-06-13,782.8108758825798,979,-196.1891241174202
2016-06-20,1130.6992375144703,979,151.69923751447027
2016-06-27,1154.2498111908135,-464,1618.2498111908135
2016-07-03,3290.778449154829,-464,3754.778449154829
2016-07-11,660.7879788979567,-464,1124.7879788979567
2016-07-18,1116.7889367615023,-464,1580.7889367615023
2016-07-25,960.151850707935,-464,1424.151850707935
2016-08-02,3349.463715917941,-464,3813.463715917941
2016-08-08,682.9152105878377,1303,-620.0847894121623
2016-08-15,886.653444475612,2606,-1719.346555524388
2016-08-22,189.4533784868662,76,113.4533784868662
2016-08-29,321.1167487108677,76,245.11674871086768
2016-09-05,1173.5307588362432,66,1107.5307588362432
2016-09-19,391.7690714269429,66,325.7690714269429
2016-09-26,847.7714904784776,66,781.7714904784776
2016-10-10,66.01232481137095,0,66.01232481137095
2016-10-17,1062.5777237882776,33,1029.5777237882776
2016-10-24,941.979640442367,34,907.979640442367
2016-10-31,352.893641160666,102,250.893641160666
2016-11-01,3115.067994495932,103,3012.067994495932
2016-11-04,1822.973364625028,63,1759.973364625028
2016-11-07,880.9749455035742,64,816.9749455035742
2016-11-14,1012.6484802722013,79,933.6484802722013
2016-11-21,639.7965671110564,65,574.7965671110564
2016-11-28,375.05725199688356,62,313.05725199688356
2016-12-09,1111.914827957866,64,1047.914827957866
2016-12-12,746.5169216464527,60,686.5169216464527
2016-12-19,589.8934531117561,41,548.8934531117561
2016-12-26,1226.0956884664622,22,1204.0956884664622
2017-01-05,-578.0205622790578,0,-578.0205622790578
2017-01-16,71.51223355419575,0,71.51223355419575
2017-01-23,-121.14872968515135,0,-121.14872968515135
2017-01-30,515.0535429619007,1,514.0535429619007
2017-02-01,525.5670891019759,-1,526.5670891019759
2017-02-10,-333.7350410273806,-1,-332.7350410273806
2017-02-13,1715.383132468439,1,1714.383132468439
2017-02-20,333.4836765115049,131,202.48367651150488
2017-02-27,933.6485045213911,131,802.6485045213911
2017-03-04,311.089054187565,132,179.089054187565
2017-03-07,1268.8367513449552,56,1212.8367513449552
2017-03-13,-172.42386368264738,57,-229.42386368264738
2017-03-20,-40.74692423647389,195,-235.7469242364739
2017-03-27,-341.52036873226734,195,-536.5203687322673
2017-04-09,16.707815609547197,195,-178.2921843904528
2017-04-12,436.87253703850206,0,436.87253703850206
2017-04-17,-198.7522742866422,0,-198.7522742866422
2017-04-24,-175.18793075914414,0,-175.18793075914414
2017-05-06,270.9054116968847,0,270.9054116968847
2017-05-15,-536.945280958371,61,-597.945280958371
2017-05-22,-80.93055243690765,61,-141.93055243690765
2017-05-29,-165.47880301780197,61,-226.47880301780197
2017-06-02,1628.945737413042,61,1567.945737413042
2017-06-03,293.08772743992637,61,232.08772743992637
2017-06-11,1057.6501538749885,61,996.6501538749885
2017-06-19,-491.198616634745,0,-491.198616634745
2017-06-26,-359.52167431927944,0,-359.52167431927944
2017-07-08,555.059587069601,0,555.059587069601
2017-07-17,-0.5283791767590174,0,-0.5283791767590174
2017-07-24,-769.7897365883072,0,-769.7897365883072
2017-07-31,-818.3004540984808,0,-818.3004540984808
2017-08-05,-71.4336669515344,0,-71.4336669515344
2017-08-14,-302.68384531732454,0,-302.68384531732454
2017-08-21,-819.6824788202052,0,-819.6824788202052
2017-08-28,-399.70528045150434,0,-399.70528045150434
2017-09-01,97.36810873893847,250,-152.63189126106153
2017-09-10,-113.55215459597827,250,-363.55215459597827
2017-09-18,-401.0873051732285,250,-651.0873051732285
2017-09-25,487.3778091312628,1,486.3778091312628
2017-10-04,-127.21984059149031,0,-127.21984059149031
2017-10-07,-39.542209123114446,0,-39.542209123114446
2017-10-16,53.54540046880919,0,53.54540046880919
2017-10-23,-499.49076502913226,0,-499.49076502913226
2017-10-30,-800.2642065641229,0,-800.2642065641229
2017-11-09,-622.3159761758659,1,-623.3159761758659
2017-11-12,26.45189921663342,0,26.45189921663342
2017-11-13,-608.9853857372759,0,-608.9853857372759
2017-11-20,-8.820527395048657,0,-8.820527395048657
2017-11-27,-417.7065649122069,0,-417.7065649122069
2017-12-06,-455.70370271282746,0,-455.70370271282746
2017-12-18,-563.238717614174,0,-563.238717614174
2017-12-25,-431.5617752059598,0,-431.5617752059598
