,predictions_incidence,observed_incidence,predicted_cases,observed_cases,error
0,0.4428426334539287,0.16227127863276714,30.01929244063755,11.0,19.01929244063755
1,0.3675205320611024,0.16227127863276714,24.91337892160903,11.0,13.91337892160903
2,0.348469427030644,0.16227127863276714,23.621947948113725,11.0,12.621947948113725
3,0.1517065792029068,0.17702321305392776,10.283843113164469,11.999999999999998,-1.7161568868355292
4,-0.015473476680569143,0.8261083275849963,-1.0489117046489504,56.0,-57.04891170464895
5,-0.285801230808746,0.8261083275849963,-19.373813809718644,56.0,-75.37381380971864
6,-0.18963244564934684,0.8261083275849963,-12.85475112859314,56.0,-68.85475112859314
7,0.05535465403996076,2.6553481958089167,3.7523657887577286,180.0,-176.24763421124226
8,-0.09842295500597872,2.6553481958089167,-6.671867715517884,180.0,-186.6718677155179
9,-0.029410981045344314,2.670100130230077,-1.9937033480271076,180.99999999999997,-182.99370334802708
10,0.05478486909318847,0.48681383589830135,3.7137413663257135,33.0,-29.286258633674287
11,-0.058328829923427514,0.501565770319462,-3.9539783907769253,34.0,-37.953978390776925
12,-0.04881363833564202,3.5404642610785553,-3.308965247677767,239.99999999999997,-243.30896524767775
13,-0.15472840134558286,3.5404642610785553,-10.488685546461992,239.99999999999997,-250.48868554646197
14,-0.0632200528190083,3.555216195499716,-4.2855432388801455,241.0,-245.28554323888014
15,-0.07475633870954591,0.6490851145310685,-5.0675617566678595,44.0,-49.06756175666786
16,-0.2521115062991302,0.6490851145310685,-17.090064197783672,44.0,-61.090064197783676
17,-0.23871810391732812,0.6490851145310685,-16.18215598727874,44.0,-60.18215598727874
18,-0.13496100283418797,0.6490851145310685,-9.148698671043139,44.0,-53.148698671043135
19,-0.24157794438688612,2.7881156055993626,-16.376018052273807,189.0,-205.37601805227382
20,-0.22706915160922617,2.7881156055993626,-15.392500069923772,189.0,-204.39250006992378
21,-0.31081483814576566,2.7881156055993626,-21.06942922007048,189.0,-210.06942922007048
22,-0.2113792989543446,2.7881156055993626,-14.328920731313403,189.0,-203.32892073131342
23,-0.09179042461782101,2.7881156055993626,-6.222263602673957,189.0,-195.22226360267396
24,-0.15262207827441882,2.817619474441684,-10.345902707884385,191.0,-201.3459027078844
25,-0.13744159996737496,1.5342011798007074,-9.316852694940422,104.0,-113.31685269494042
26,-0.20296450665055418,1.5342011798007074,-13.758501146765903,104.0,-117.75850114676591
27,-0.11775937452392965,1.5342011798007074,-7.982639507603276,104.0,-111.98263950760328
28,-0.26386236209028774,1.5342011798007074,-17.88662791991504,104.0,-121.88662791991504
29,-0.046711979453529125,1.5342011798007074,-3.166498583841585,104.0,-107.16649858384159
30,-0.0861849729512537,1.5932089174853499,-5.842282814627159,107.99999999999999,-113.84228281462714
31,-0.06312208458951782,0.13276740979044582,-4.278902195970549,9.0,-13.278902195970549
32,-0.17167270769256032,0.26553481958089165,-11.637301440705125,18.0,-29.637301440705123
33,-0.06759937368549562,0.41305416379249815,-4.582407415567745,28.0,-32.582407415567744
34,-0.16412019727721613,0.4278060982136588,-11.125333979372689,29.0,-40.12533397937269
35,-0.06688526776186356,0.708092852215711,-4.533999803166233,47.99999999999999,-52.533999803166225
36,-0.32680671453735244,0.708092852215711,-22.153482059177975,47.99999999999999,-70.15348205917797
37,-0.12382302959170713,0.708092852215711,-8.393680859514356,47.99999999999999,-56.39368085951435
38,-0.20914828102204244,0.029503868842321295,-14.177685112403525,2.0,-16.177685112403523
39,-0.08822825270926456,0.05900773768464259,-5.980792090744867,4.0,-9.980792090744867
40,-0.07405514717735938,0.05900773768464259,-5.020029581417627,4.0,-9.020029581417628
41,-0.279292731786529,0.10326354094812454,-18.932617500380328,7.0,-25.932617500380328
42,-0.2156311689214759,0.10326354094812454,-14.61714530212171,7.0,-21.61714530212171
43,-0.23361143768601936,0.05900773768464259,-15.835986726657326,4.0,-19.835986726657325
44,-0.2768662425476605,0.05900773768464259,-18.768131327272897,4.0,-22.768131327272897
45,-0.15130525253937693,0.05900773768464259,-10.256638093668572,4.0,-14.256638093668572
46,-0.18242647514881413,-0.26553481958089165,-12.36627481797477,-18.0,5.6337251820252305
47,-0.0822385852271144,0.8113563931638356,-5.5747661885717665,54.99999999999999,-60.57476618857176
48,-0.18250135115887345,0.07375967210580324,-12.371350491979388,5.0,-17.37135049197939
49,-0.14514520374853365,0.029503868842321295,-9.839062431048548,2.0,-11.839062431048548
50,-0.1829912469949316,0.7966044587426749,-12.404559413743264,53.99999999999999,-66.40455941374326
51,-0.10821609415459531,0.3392944916866949,-7.335722290045343,23.0,-30.335722290045343
