CITY,7/1/2017,14/1/2017,21/1/2017,28/1/2017,4/2/2017,11/2/2017,18/2/2017,25/2/2017,4/3/2017,11/3/2017,18/3/2017,25/3/2017,1/4/2017,8/4/2017,15/4/2017,22/4/2017,29/4/2017,6/5/2017,13/5/2017,20/5/2017,27/5/2017,3/6/2017,10/6/2017,17/6/2017,24/6/2017,1/7/2017,8/7/2017,15/7/2017,22/7/2017,29/7/2017,5/8/2017,12/8/2017,19/8/2017,26/8/2017,2/9/2017,9/9/2017,16/9/2017,23/9/2017,30/9/2017,7/10/2017,14/10/2017,21/10/2017,28/10/2017,4/11/2017,11/11/2017,18/11/2017,25/11/2017,2/12/2017,9/12/2017,16/12/2017,23/12/2017,30/12/2017
Aguascalientes,0,0,0,0,0,0,86,0,0,42,28,0,0,31,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,10,9,6,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0
Baja California,3,5,5,0,5,0,32,8,0,6,8,29,5,18,8,0,4,0,0,0,0,14,0,13,0,0,0,13,10,8,5,4,4,0,8,8,4,4,0,0,2,1,0,0,2,0,1,0,0,0,0,3
Baja California Sur,37,27,29,62,0,0,86,84,92,0,0,37,0,100,0,0,71,0,0,100,0,76,0,36,0,100,0,25,26,0,29,0,44,0,0,15,10,25,0,0,0,6,0,7,5,0,6,57,0,42,76,17
Campeche,0,0,76,78,37,0,0,62,0,0,0,100,0,0,0,0,33,100,0,0,0,0,0,44,100,0,0,100,0,60,0,28,0,0,0,0,0,0,12,0,0,15,0,0,12,0,0,0,0,0,0,0
Chiapas,8,0,0,26,0,26,0,35,100,14,19,32,0,24,0,0,11,64,21,82,48,0,29,16,23,15,16,12,12,10,0,0,28,8,13,21,0,5,4,11,4,5,0,6,4,5,0,5,0,0,0,9
Chihuahua,0,7,0,16,0,8,0,21,12,0,0,0,0,0,0,19,6,19,0,0,0,9,6,18,0,17,18,0,0,11,22,5,0,0,4,7,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Coahuila,6,0,9,0,0,10,14,0,28,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,7,0,24,38,57,37,46,40,46,12,11,4,8,8,11,2,7,3,6,25,0
Colima,31,91,49,100,45,0,0,0,76,55,0,62,67,0,0,0,39,0,0,0,0,0,0,0,43,0,0,0,0,37,0,0,0,0,24,0,16,0,15,22,0,19,0,0,0,0,8,0,0,0,0,0
Durango,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,28,0,0,0,0,0,0,0,0,12,12,0,0,0,21,4,5,0,5,0,0,0,0,0,0,0,0
Guanajuato,0,0,5,0,11,0,25,0,9,0,0,7,5,0,0,7,0,0,0,18,15,0,8,7,10,0,0,9,0,4,16,4,12,21,14,19,13,27,7,7,5,2,4,4,5,2,0,4,0,0,16,0
