CITY,7/1/2017,14/1/2017,21/1/2017,28/1/2017,4/2/2017,11/2/2017,18/2/2017,25/2/2017,4/3/2017,11/3/2017,18/3/2017,25/3/2017,1/4/2017,8/4/2017,15/4/2017,22/4/2017,29/4/2017,6/5/2017,13/5/2017,20/5/2017,27/5/2017,3/6/2017,10/6/2017,17/6/2017,24/6/2017,1/7/2017,8/7/2017,15/7/2017,22/7/2017,29/7/2017,5/8/2017,12/8/2017,19/8/2017,26/8/2017,2/9/2017,9/9/2017,16/9/2017,23/9/2017,30/9/2017,7/10/2017,14/10/2017,21/10/2017,28/10/2017,4/11/2017,11/11/2017,18/11/2017,25/11/2017,2/12/2017,9/12/2017,16/12/2017,23/12/2017,30/12/2017
Aguascalientes,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,77,100,0,0,0,0,0,67,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Baja California,0,0,13,0,0,0,0,0,0,0,0,0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,38,20,0,9,0,0,0,0,0,5,0,5,0,0,0,0,20,53,0,0,0
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,100
Campeche,0,0,100,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiapas,0,0,0,26,0,100,0,0,66,0,0,0,35,0,0,47,0,46,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coahuila,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,39,14,48,34,33,58,0,8,9,9,0,4,0,0,0,0,0
Colima,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,10,0,0,0,0,0
Guanajuato,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,34,0,20,34,9,23,0,29,7,6,0,3,0,11,2,0,0,0,0,0,0,0
Guerrero,0,0,0,31,0,59,0,97,77,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,53,0,27,0,0,0,0,0,0,0,0,0,0,19,0,0,0,15,0,0,0,0,0,0,0,0,0
Hidalgo,0,0,0,0,0,0,0,88,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0
Jalisco,16,0,0,0,0,0,7,0,0,10,0,0,0,0,0,28,13,9,0,0,0,0,0,0,0,18,0,18,0,0,0,9,0,0,0,5,2,13,6,6,9,5,2,3,4,3,2,19,26,0,0,20
Mexico City,0,21,3,2,7,0,3,15,0,4,5,14,3,4,6,4,12,0,0,0,0,0,4,3,0,4,5,4,0,0,0,0,0,0,2,5,2,6,3,4,1,1,1,1,1,1,1,0,12,0,0,0
