Date,Searches,Observed,GRU-Prediction,GRUError,Naive-Prediction,NaiveError
15/02/2016,0.68,950.9999999999999,65.47357698327541,-885.5264230167245,177.0,-773.9999999999999
22/02/2016,0.67,1607.0,352.8387660132599,-1254.1612339867402,948.9999999999999,-658.0000000000001
29/02/2016,0.76,1607.0,402.6758737502861,-1204.324126249714,948.9999999999999,-658.0000000000001
07/03/2016,0.82,1607.0,163.58123198816298,-1443.418768011837,950.9999999999999,-656.0000000000001
14/03/2016,0.74,1018.0,87.86290480312825,-930.1370951968718,1607.0,589.0
21/03/2016,0.75,1019.0,36.696228803811074,-982.3037711961889,1607.0,588.0
28/03/2016,0.51,640.0,1518.9016026034546,878.9016026034546,1607.0,967.0
04/04/2016,0.57,640.0,1467.7711555139922,827.7711555139922,1018.0,378.0
11/04/2016,0.51,642.0,636.5273438100814,-5.472656189918553,1019.0,377.0
18/04/2016,0.45,337.0,-25.29464438160062,-362.2946443816006,640.0,303.0
25/04/2016,0.37,337.0,50.19263695906639,-286.80736304093364,640.0,303.0
02/05/2016,0.33,337.0,61.52896874651432,-275.47103125348565,642.0,305.0
09/05/2016,0.26,339.0,45.475546037211416,-293.5244539627886,337.0,-2.0
16/05/2016,0.46,-2.9999999999999996,61.83231977837086,64.83231977837086,337.0,340.0
23/05/2016,0.22,-2.9999999999999996,94.62473248662472,97.62473248662472,337.0,340.0
30/05/2016,0.27,-2.9999999999999996,156.99950403131484,159.99950403131484,339.0,342.0
06/06/2016,0.19,-2.9999999999999996,35.25982428094387,38.25982428094387,-2.9999999999999996,0.0
13/06/2016,0.21,-2.9999999999999996,40.03124597935677,43.03124597935677,-2.9999999999999996,0.0
20/06/2016,0.28,1.9999999999999998,0.5756358993947506,-1.4243641006052492,-2.9999999999999996,-4.999999999999999
27/06/2016,0.19,54.0,3.1876515529501437,-50.81234844704986,-2.9999999999999996,-57.0
04/07/2016,0.26,54.0,2.083012831491232,-51.91698716850877,-2.9999999999999996,-57.0
11/07/2016,0.27,54.0,2.0053371927630903,-51.99466280723691,1.9999999999999998,-52.0
18/07/2016,0.21,54.0,2.0088430132615565,-51.991156986738446,54.0,0.0
25/07/2016,0.2,54.0,2.2140279241049288,-51.785972075895074,54.0,0.0
01/08/2016,0.34,57.0,28.352243841104507,-28.647756158895493,54.0,-3.0
08/08/2016,0.2,-93.0,34.55500330205918,127.55500330205918,54.0,147.0
15/08/2016,0.16,-186.0,41.895159191446304,227.8951591914463,54.0,240.0
22/08/2016,0.16,2.9999999999999996,33.61554411426544,30.61554411426544,57.0,54.0
29/08/2016,0.16,2.9999999999999996,-1.9108389656376839,-4.910838965637684,-93.0,-96.0
05/09/2016,0.15,5.0,-0.9629236380958557,-5.962923638095855,-186.0,-191.0
12/09/2016,0.4,5.0,45.076518205719,40.076518205719,2.9999999999999996,-2.0000000000000004
19/09/2016,0.17,5.0,287.3049732585144,282.3049732585144,2.9999999999999996,-2.0000000000000004
26/09/2016,0.19,1.9999999999999998,151.88714915706635,149.88714915706635,5.0,3.0
03/10/2016,0.15,7.999999999999999,23.68053818883538,15.680538188835381,5.0,-2.999999999999999
10/10/2016,0.15,7.999999999999999,1.612786002730131,-6.387213997269868,5.0,-2.999999999999999
17/10/2016,0.48,10.0,1.2626665701305866,-8.737333429869413,1.9999999999999998,-8.0
24/10/2016,0.38,10.0,1.964988786469698,-8.035011213530302,7.999999999999999,-2.000000000000001
31/10/2016,0.26,11.999999999999998,0.46684846403479574,-11.533151535965203,7.999999999999999,-3.999999999999999
07/11/2016,0.26,13.0,24.224031630724667,11.224031630724667,10.0,-3.0
14/11/2016,0.58,9.0,43.75676875846863,34.75676875846863,10.0,1.0
21/11/2016,0.27,11.999999999999998,3.4275421984946726,-8.572457801505326,11.999999999999998,0.0
28/11/2016,0.15,9.0,12.520428954917193,3.520428954917193,13.0,4.0
05/12/2016,0.25,11.0,4.057847182978391,-6.942152817021609,9.0,-2.0
12/12/2016,0.3,11.0,5.544217515588999,-5.455782484411001,11.999999999999998,0.9999999999999982
19/12/2016,0.34,11.0,12.711436378017664,1.7114363780176642,9.0,-2.0
26/12/2016,0.35,1.9999999999999998,14.140797789326907,12.140797789326907,11.0,9.0
02/01/2017,0.19,11.0,1.2521868733084203,-9.747813126691579,11.0,0.0
09/01/2017,0.46,11.0,2.356595859671831,-8.643404140328169,11.0,0.0
16/01/2017,0.21,11.0,3.473605658670664,-7.526394341329336,1.9999999999999998,-9.0
23/01/2017,0.19,11.999999999999998,3.253500554844141,-8.746499445155857,11.0,-0.9999999999999982
30/01/2017,0.32,25.0,2.259644502314329,-22.74035549768567,11.0,-14.0
06/02/2017,0.47,25.0,3.8073006054699423,-21.19269939453006,11.0,-14.0
13/02/2017,0.41,27.0,1.8206899700462817,-25.17931002995372,11.999999999999998,-15.000000000000002
20/02/2017,0.25,54.0,4.444557436884642,-49.555442563115356,25.0,-29.0
27/02/2017,0.38,54.0,4.38462490046382,-49.61537509953618,25.0,-29.0
06/03/2017,0.18,54.0,6.261444189630747,-47.738555810369256,27.0,-27.0
13/03/2017,0.12,37.0,28.780772176504136,-8.219227823495864,54.0,17.0
20/03/2017,0.18,37.0,31.507878818793298,-5.492121181206702,54.0,17.0
27/03/2017,0.07,65.0,41.18510780531883,-23.81489219468117,54.0,-11.0
03/04/2017,0.19,65.0,42.74063469578743,-22.259365304212572,37.0,-28.0
10/04/2017,0.15,67.0,40.347437000112535,-26.652562999887465,37.0,-30.0
17/04/2017,0.15,25.0,6.7357905148303505,-18.26420948516965,65.0,40.0
24/04/2017,0.2,25.0,4.009454901286364,-20.990545098713635,65.0,40.0
01/05/2017,0.12,25.0,8.241710359951258,-16.758289640048744,67.0,42.0
08/05/2017,0.08,27.0,2.623491393634081,-24.37650860636592,25.0,-2.0
15/05/2017,0.14,33.0,15.581693161252737,-17.418306838747263,25.0,-8.0
22/05/2017,0.14,33.0,1.4010489210808277,-31.59895107891917,25.0,-8.0
29/05/2017,0.24,33.0,1.1521639891946316,-31.84783601080537,27.0,-6.0
05/06/2017,0.1,33.0,0.822138509811163,-32.17786149018884,33.0,0.0
12/06/2017,0.05,33.0,-3.788451312942505,-36.788451312942506,33.0,0.0
19/06/2017,0.08,33.0,-2.5155253399169446,-35.51552533991695,33.0,0.0
26/06/2017,0.16,-14.0,3.8242475025832654,17.824247502583265,33.0,47.0
03/07/2017,0.13,-14.0,5.1295897269952295,19.129589726995228,33.0,47.0
10/07/2017,0.16,-14.0,4.729878984328509,18.729878984328508,33.0,47.0
17/07/2017,0.3,-14.0,-3.349720221657753,10.650279778342247,-14.0,0.0
24/07/2017,0.04,-14.0,-2.339093507156372,11.660906492843628,-14.0,0.0
31/07/2017,0.07,-9.0,20.14884259509206,29.14884259509206,-14.0,-5.0
07/08/2017,0.13,0.9999999999999999,79.79586077746391,78.79586077746391,-14.0,-15.0
14/08/2017,0.21,2.9999999999999996,38.96539472436428,35.96539472436428,-14.0,-17.0
21/08/2017,0.09,-7.0,0.9947073312056065,7.994707331205607,-9.0,-2.0
28/08/2017,0.13,-5.999999999999999,0.6579030929768086,6.657903092976808,0.9999999999999999,6.999999999999999
04/09/2017,0.08,-21.0,81.77079583474637,102.77079583474637,2.9999999999999996,24.0
11/09/2017,0.22,-21.0,29.172492543725966,50.172492543725966,-7.0,14.0
18/09/2017,0.08,-21.0,0.013741620472669601,21.01374162047267,-5.999999999999999,15.0
25/09/2017,0.49,0.9999999999999999,1.6354416596138477,0.6354416596138478,-21.0,-22.0
02/10/2017,0.15,2.9999999999999996,72.67287693561553,69.67287693561553,-21.0,-24.0
09/10/2017,0.17,3.9999999999999996,71.5504982589054,67.5504982589054,-21.0,-25.0
16/10/2017,0.31,1.9999999999999998,129.94506836231233,127.94506836231233,0.9999999999999999,-0.9999999999999999
23/10/2017,0.17,1.9999999999999998,52.39373835022926,50.39373835022926,2.9999999999999996,0.9999999999999998
30/10/2017,0.13,2.9999999999999996,1.640476949378252,-1.3595230506217475,3.9999999999999996,1.0
06/11/2017,0.33,2.9999999999999996,1.6348279836738109,-1.3651720163261887,1.9999999999999998,-0.9999999999999998
13/11/2017,0.13,0.0,1.2299466278302669,1.2299466278302669,1.9999999999999998,1.9999999999999998
20/11/2017,0.2,10.0,1.3988837464821338,-8.601116253517866,2.9999999999999996,-7.0
27/11/2017,0.21,2.9999999999999996,1.1687552689683438,-1.8312447310316557,2.9999999999999996,0.0
04/12/2017,0.17,2.9999999999999996,1.3304573056399822,-1.6695426943600173,0.0,-2.9999999999999996
11/12/2017,0.09,2.9999999999999996,0.7055951546859741,-2.2944048453140256,10.0,7.0
18/12/2017,0.16,9.0,1.542764004443884,-7.4572359955561165,2.9999999999999996,-6.0
25/12/2017,0.21,7.999999999999999,0.9078674651062488,-7.09213253489375,2.9999999999999996,-5.0
