CITY,2015-11-28,2015-12-05,2015-12-12,2015-12-19,2015-12-26
Mexico-Aguascalientes,0,0,0,0,0
Mexico-Baja_California,0,0,0,0,0
Mexico-Baja_California_Sur,0,0,0,0,0
Mexico-Campeche,0,0,0,0,0
Mexico-Chiapas,1,0,0,0,0
Mexico-Chihuahua,0,0,0,0,0
Mexico-Coahuila_de_Zaragoza,0,0,0,0,0
Mexico-Colima,0,0,0,0,0
Mexico-Durango,0,0,0,0,0
Mexico-Guanajuato,0,0,0,0,0
Mexico-Guerrero,0,0,0,0,0
Mexico-Hidalgo,0,0,0,0,0
Mexico-Jalisco,0,0,0,0,0
Mexico-Mexico_City,0,0,0,0,0
Mexico-Michoacan_de_Ocampo,0,0,0,0,0
Mexico-Morelos,0,0,0,0,0
Mexico-Nayarit,0,0,0,0,0
Mexico-Nuevo_Leon,1,0,0,0,0
Mexico-Oaxaca,0,0,0,0,0
Mexico-Puebla,0,0,0,0,0
Mexico-Queretaro_de_Arteaga,0,0,0,0,0
Mexico-Quintana_Roo,0,0,0,0,0
Mexico-San_Luis_Potosi,0,0,0,0,0
Mexico-Sinaloa,0,0,0,0,0
Mexico-Sonora,0,0,0,0,0
Mexico-State_Of_Mexico,0,0,0,0,0
Mexico-Tabasco,0,0,0,0,0
Mexico-Tamaulipas,0,0,0,0,0
Mexico-Tlaxcala,0,0,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,0,0,0,0,0
Mexico-Yucatan,0,0,0,0,0
Mexico-Zacatecas,0,0,0,0,0
