,Country,Cumulative RMSE,AvgRMSE,OBS,HighestError,LowestError
0,Brazil,152.57772234149394,0.5868373936211305,260,249.0,-250.0
1,Colombia,51.19369177708833,0.19689881452726282,260,81.0,-58.0
2,Mexico,21.618818227466033,0.08314930087486935,260,69.0,-68.0
