Date,Searches,Observed,GRU-Prediction,GRUError,Naive-Prediction,NaiveError
29/02/2016,0.77,4012.0,2748.5218357146455,-1263.4781642853545,3521.0,-491.0
07/03/2016,0.86,4012.0,4323.095769347306,311.0957693473056,4297.0,285.0
14/03/2016,0.73,3539.0,3930.02772074028,391.0277207402801,4297.0,758.0
21/03/2016,1.0,3540.0000000000005,3877.733149923477,337.7331499234765,4298.0,757.9999999999995
28/03/2016,0.75,3260.0000000000005,3394.3921525131987,134.3921525131982,4012.0,751.9999999999995
04/04/2016,0.81,3260.0000000000005,3435.8754370661927,175.87543706619226,4012.0,751.9999999999995
11/04/2016,0.74,3261.9999999999995,3451.51119166275,189.51119166275066,4012.0,750.0000000000005
18/04/2016,0.72,1879.0,2347.667320354042,468.6673203540422,3539.0,1660.0
25/04/2016,0.63,1879.0,2377.1060162916565,498.1060162916565,3540.0000000000005,1661.0000000000005
02/05/2016,0.54,1879.0,1846.3543891545487,-32.6456108454513,3260.0000000000005,1381.0000000000005
09/05/2016,0.44,1881.0,1991.3017757299424,110.30177572994239,3260.0000000000005,1379.0000000000005
16/05/2016,0.76,979.0000000000001,1987.9848540984344,1008.9848540984343,3261.9999999999995,2282.9999999999995
23/05/2016,0.4,979.0000000000001,1016.2181777017212,37.21817770172106,1879.0,899.9999999999999
30/05/2016,0.48,979.0000000000001,978.8962322661972,-0.10376773380289706,1879.0,899.9999999999999
06/06/2016,0.27,979.0000000000001,982.8691081154633,3.8691081154631775,1879.0,899.9999999999999
13/06/2016,0.29,979.0000000000001,1002.9319956265259,23.931995626525804,1881.0,901.9999999999999
20/06/2016,0.39,979.0000000000001,950.2416838353729,-28.758316164627217,979.0000000000001,0.0
27/06/2016,0.4,-463.99999999999994,-30.527277592669726,433.4727224073302,979.0000000000001,1443.0
04/07/2016,0.28,-463.99999999999994,-30.527277592669726,433.4727224073302,979.0000000000001,1443.0
11/07/2016,0.39,-463.99999999999994,-30.527277592669726,433.4727224073302,979.0000000000001,1443.0
18/07/2016,0.4,-463.99999999999994,-30.527277592669726,433.4727224073302,979.0000000000001,1443.0
25/07/2016,0.36,-463.99999999999994,-30.527277592669726,433.4727224073302,979.0000000000001,1443.0
01/08/2016,0.38,-463.99999999999994,-30.527277592669726,433.4727224073302,-463.99999999999994,0.0
08/08/2016,0.29,1303.0,1307.2884546129417,4.288454612941678,-463.99999999999994,-1767.0
15/08/2016,0.35,2606.0,2589.6508083954623,-16.349191604537737,-463.99999999999994,-3070.0
22/08/2016,0.16,76.0,73.48878104453921,-2.511218955460791,-463.99999999999994,-540.0
29/08/2016,0.2,76.0,70.19915429943204,-5.800845700567962,-463.99999999999994,-540.0
05/09/2016,0.27,66.0,68.11017370190262,2.1101737019026245,-463.99999999999994,-530.0
12/09/2016,0.56,66.0,65.33187514814496,-0.6681248518550404,1303.0,1237.0
19/09/2016,0.23,66.0,71.98817017423511,5.988170174235108,2606.0,2540.0
