Date,Searches,Observed,NN-Prediction,NNError,Naive-Prediction,NaiveError
31/01/2016,45,834.0,531.4349030812073,-302.56509691879273,1295.0,461.0
07/02/2016,100,572.0,700.7122956971741,128.7122956971741,834.0,262.0
14/02/2016,61,453.00000000000006,599.2612242295837,146.26122422958366,572.0,118.99999999999994
21/02/2016,41,416.0,625.6175251170349,209.61752511703492,453.00000000000006,37.00000000000006
28/02/2016,44,290.0,467.6322287739563,177.63222877395629,416.0,126.0
06/03/2016,12,264.0,358.6417863734436,94.64178637344361,290.0,26.0
13/03/2016,58,197.0,291.8358481082153,94.83584810821532,264.0,67.0
20/03/2016,26,118.0,240.4661139073944,122.4661139073944,197.0,79.0
27/03/2016,20,117.0,173.82393998046874,56.82393998046874,118.0,1.0
03/04/2016,20,112.0,138.4829239775467,26.482923977546704,117.0,5.0
10/04/2016,53,85.0,114.1420808234787,29.142080823478693,112.0,27.0
17/04/2016,20,73.0,91.96824074087142,18.968240740871423,85.0,12.0
24/04/2016,42,55.00000000000001,79.69201660848617,24.692016608486163,73.0,17.999999999999993
01/05/2016,31,62.0,66.17949837221146,4.179498372211455,55.00000000000001,-6.999999999999993
08/05/2016,0,73.0,57.44774244211197,-15.552257557888034,62.0,-11.0
15/05/2016,0,111.0,58.59918635471344,-52.40081364528656,73.0,-38.0
22/05/2016,0,-26.0,72.1624803463173,98.1624803463173,111.0,137.0
29/05/2016,0,36.0,43.2666483102417,7.266648310241699,-26.0,-62.0
05/06/2016,13,28.0,32.513080105857846,4.513080105857846,36.0,8.0
12/06/2016,29,25.0,32.90851536685943,7.908515366859433,28.0,3.0
19/06/2016,0,18.0,16.58449823923111,-1.4155017607688904,25.0,7.0
26/06/2016,0,16.0,21.26762418083191,5.267624180831909,18.0,2.0
03/07/2016,2,17.0,17.019883408584594,0.01988340858459381,16.0,-1.0
10/07/2016,0,21.0,15.315781659755707,-5.684218340244293,17.0,-4.0
17/07/2016,100,20.0,15.547356218099594,-4.452643781900406,21.0,1.0
24/07/2016,42,7.0,16.18943466931343,9.189434669313432,20.0,13.0
31/07/2016,14,10.0,12.452825579419136,2.4528255794191356,7.0,-3.0
07/08/2016,0,7.0,10.379152762494087,3.379152762494087,10.0,3.0
14/08/2016,0,6.000000000000001,8.250031895651817,2.2500318956518166,7.0,0.9999999999999991
21/08/2016,100,6.000000000000001,5.4307295564866065,-0.5692704435133944,6.000000000000001,0.0
28/08/2016,83,4.0,5.194683003749847,1.194683003749847,6.000000000000001,2.000000000000001
04/09/2016,0,10.0,3.947570968526602,-6.052429031473398,4.0,-6.0
11/09/2016,100,30.000000000000004,5.162289781628847,-24.837710218371157,10.0,-20.000000000000004
18/09/2016,0,31.0,12.977342270693779,-18.02265772930622,30.000000000000004,-0.9999999999999964
25/09/2016,0,25.0,19.456271658058167,-5.543728341941833,31.0,6.0
02/10/2016,0,1.0,21.531897918124198,20.531897918124198,25.0,24.0
09/10/2016,0,3.0000000000000004,15.591471819858551,12.591471819858551,1.0,-2.0000000000000004
16/10/2016,0,1.0,9.101514908688069,8.101514908688069,3.0000000000000004,2.0000000000000004
