,Predicted,Observed,error
0,5.437054495625981,0.0,5.437054495625981
1,24.912608541554217,0.0,24.912608541554217
2,5.009894805848472,0.0,5.009894805848472
3,4.273305090898402,0.0,4.273305090898402
4,4.116896673222555,0.0,4.116896673222555
5,4.966135836409328,0.0,4.966135836409328
6,0.4973323511194951,0.0,0.4973323511194951
7,8.608774520142674,0.0,8.608774520142674
8,3.492232608600254,0.0,3.492232608600254
9,4.690711761459643,0.0,4.690711761459643
10,-0.48008508091280555,0.0,-0.48008508091280555
11,3.606020095973805,0.0,3.606020095973805
12,3.953566683411723,0.0,3.953566683411723
13,7.328440318471345,0.0,7.328440318471345
14,2.7666814200344616,0.0,2.7666814200344616
15,-2.76288242456893,0.0,-2.76288242456893
16,2.2500149707201142,0.0,2.2500149707201142
17,2.0947377662959705,0.0,2.0947377662959705
18,2.364926849285084,0.0,2.364926849285084
19,-1.877579910427944,0.0,-1.877579910427944
20,2.4411599774500163,0.0,2.4411599774500163
21,4.645286713007795,0.0,4.645286713007795
22,3.1749318995657743,0.0,3.1749318995657743
23,-0.02324853132740498,0.0,-0.02324853132740498
24,1.4713801858053166,0.0,1.4713801858053166
25,1.586854254990969,0.0,1.586854254990969
26,0.8513957550489771,0.0,0.8513957550489771
27,-2.8496084620996687,0.0,-2.8496084620996687
28,0.6955563640590599,0.0,0.6955563640590599
29,0.5402791641268677,3.0,-2.4597208358731324
30,0.3076444579772095,0.0,0.3076444579772095
31,1.2131170721957523,2.0,-0.7868829278042477
32,-3.2773234928440003,0.0,-3.2773234928440003
33,0.5380304223409158,0.0,0.5380304223409158
34,-0.3908218380204017,0.0,-0.3908218380204017
35,-0.19855244193239757,0.0,-0.19855244193239757
36,-6.411053373666832,0.0,-6.411053373666832
37,-1.166083455509946,0.0,-1.166083455509946
38,-1.1279668872342454,0.0,-1.1279668872342454
39,-1.3219228377895176,0.0,-1.3219228377895176
40,0.009016061116597276,0.0,0.009016061116597276
41,-1.6324772326281383,0.0,-1.6324772326281383
42,-1.7490756769387164,0.0,-1.7490756769387164
43,-2.097746640031822,0.0,-2.097746640031822
44,-4.900862318967556,0.0,-4.900862318967556
45,-1.1922740258262374,0.0,-1.1922740258262374
46,-2.253586022332609,0.0,-2.253586022332609
47,-2.370184466594742,0.0,-2.370184466594742
48,-2.718855429757512,0.0,-2.718855429757512
49,-2.5101625569848838,0.0,-2.5101625569848838
50,-3.184687022032061,0.0,-3.184687022032061
51,-3.339964219461982,0.0,-3.339964219461982
