CITY,2018-01-06,2018-01-13,2018-01-20,2018-01-27,2018-02-03,2018-02-10,2018/02/17,2018/02/24,2018/03/03,2018/03/10,2018/03/17,2018/03/24,2018/03/31,2018/04/07,2018/04/14,2018/04/21,2018/04/28,2018/04/28
Mexico-Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Baja_California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Baja_California_Sur,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico-Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Coahuila_de_Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Guanajuato,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
Mexico-Guerrero,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico-Hidalgo,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico-Jalisco,0,0,2,0,0,5,0,4,2,0,0,0,0,1,0,0,2,1
Mexico-Mexico_City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Michoacan_de_Ocampo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Morelos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Nayarit,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
Mexico-Nuevo_Leon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mexico-Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Queretaro_de_Arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Quintana_Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-San_Luis_Potosi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Mexico-Sinaloa,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0
Mexico-Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-State_Of_Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Tabasco,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1
Mexico-Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mexico-Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico-Yucatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
