,Observed Cases,Predicted Cases,error
0,12.0,21.009010062579236,9.009010062579236
1,15.0,11.239134453206239,-3.7608655467937613
2,34.0,15.695558651954896,-18.304441348045103
3,44.0,35.24138330029029,-8.758616699709712
4,57.0,45.02088198770202,-11.979118012297981
5,52.0,57.91841460053018,5.918414600530177
6,45.0,51.75678557957411,6.756785579574107
7,35.0,42.99199247719765,7.991992477197648
8,91.0,34.417394104806085,-56.582605895193915
9,17.0,96.26772493471738,79.26772493471738
10,29.0,11.813224972358451,-17.18677502764155
11,26.0,26.708657795040875,0.7086577950408746
12,29.0,25.83700153397159,-3.1629984660284087
13,0.0,32.30051482178192,32.30051482178192
14,55.0,-4.109962518655942,-59.10996251865594
15,-13.0,60.93837683434811,73.9383768343481
16,28.0,-19.939739637559125,-47.93973963755913
17,22.0,31.85089594337805,9.850895943378049
18,20.0,21.67750192744072,1.6775019274407192
19,25.0,18.399208121815825,-6.600791878184175
20,11.0,27.01926044761041,16.01926044761041
21,31.0,8.818923743293999,-22.181076256706
22,16.0,32.18470894463734,16.184708944637343
23,18.0,16.344550734376117,-1.6554492656238828
24,9.0,18.403194091975475,9.403194091975475
25,8.0,8.105068299541466,0.10506829954146646
26,17.0,8.190691946012866,-8.809308053987134
27,18.0,15.662929312808197,-2.3370706871918028
28,15.0,19.92974873108605,4.92974873108605
29,0.0,14.786845517543258,14.786845517543258
30,27.0,-1.3427896186789006,-28.3427896186789
31,20.0,29.181813635123852,9.181813635123852
32,18.0,18.31918481844995,0.3191848184499513
33,9.0,18.411821932220555,9.411821932220555
34,-19.0,8.992740757728958,27.99274075772896
35,-6.0,-21.59288504846977,-15.592885048469771
36,17.0,-4.492297197174248,-21.49229719717425
37,12.0,18.624880070681385,6.624880070681385
38,14.0,10.064113782673834,-3.935886217326166
39,9.0,12.664131250970575,3.6641312509705752
40,6.0,11.24345992075479,5.243459920754789
41,12.0,5.455086364329,-6.544913635671
42,5.0,12.157624663321155,7.157624663321155
43,3.0,5.098828378728716,2.098828378728716
44,6.0,2.1264166635259305,-3.8735833364740695
45,11.0,6.932521700997637,-4.067478299002363
46,69.0,11.360887578486928,-57.639112421513076
47,-12.0,72.35676444742863,84.35676444742863
48,24.0,-17.315700401045017,-41.31570040104502
49,8.0,26.542328415830102,18.542328415830102
50,-49.0,7.301699109526105,56.301699109526105
51,3.0,-52.982504373663126,-55.982504373663126
