Week,Cases,Delta
1,1,1
2,7,6
3,13,6
4,26,13
5,28,2
6,32,4
7,36,4
8,41,5
9,43,2
10,42,-1
11,46,4
12,47,1
13,49,2
14,49,0
15,56,7
16,62,6
17,63,1
18,66,3
19,67,1
20,69,2
21,76,7
22,70,-6
23,72,2
24,72,0
25,75,3
26,69,-6
27,73,4
28,74,1
29,78,4
30,78,0
31,79,1
32,82,3
33,85,3
34,85,0
35,84,-1
36,79,-5
37,85,6
38,86,1
39,90,4
40,91,1
41,92,1
42,94,2
43,92,-2
44,92,0
45,94,2
46,100,6
47,99,-1
48,98,-1
49,100,2
50,102,2
51,101,-1
52,103,2
