Week,Cases,Delta
1,4,4
2,7,3
3,9,2
4,10,1
5,14,4
6,17,3
7,20,3
8,21,1
9,21,0
10,21,0
11,23,2
12,24,1
13,24,0
14,24,0
15,26,2
16,27,1
17,27,0
18,28,1
19,29,1
20,30,1
21,35,5
22,31,-4
23,31,0
24,32,1
25,34,2
26,31,-3
27,32,1
28,34,2
29,36,2
30,36,0
31,34,-2
32,34,0
33,35,1
34,35,0
35,34,-1
36,35,1
37,45,10
38,45,0
39,45,0
40,46,1
41,46,0
42,47,1
43,47,0
44,47,0
45,47,0
46,50,3
47,49,-1
48,48,-1
49,49,1
50,50,1
51,50,0
52,50,0
