Week,Cases,Delta
1,0,0
2,1,1
3,1,0
4,6,5
5,8,2
6,11,3
7,12,1
8,16,4
9,17,1
10,20,3
11,20,0
12,24,4
13,24,0
14,24,0
15,27,3
16,27,0
17,27,0
18,27,0
19,27,0
20,28,1
21,34,6
22,29,-5
23,30,1
24,34,4
25,39,5
26,26,-13
27,28,2
28,28,0
29,31,3
30,31,0
31,31,0
32,33,2
33,33,0
34,34,1
35,31,-3
36,51,20
37,35,-16
38,35,0
39,35,0
40,35,0
41,35,0
42,35,0
43,35,0
44,35,0
45,35,0
46,37,2
47,35,-2
48,35,0
49,36,1
50,40,4
51,44,4
52,47,3
