Week,Cases,Delta
1,2,2
2,7,5
3,13,6
4,26,13
5,32,6
6,37,5
7,46,9
8,54,8
9,64,10
10,69,5
11,73,4
12,78,5
13,83,5
14,83,0
15,91,8
16,96,5
17,99,3
18,103,4
19,105,2
20,110,5
21,118,8
22,118,0
23,124,6
24,128,4
25,129,1
26,121,-8
27,123,2
28,124,1
29,125,1
30,125,0
31,126,1
32,127,1
33,131,4
34,133,2
35,117,-16
36,116,-1
37,130,14
38,129,-1
39,132,3
40,135,3
41,137,2
42,139,2
43,135,-4
44,135,0
45,138,3
46,146,8
47,150,4
48,147,-3
49,154,7
50,158,4
51,157,-1
52,152,-5
