CITY,28/11/2015,5/12/2015,12/12/2015,19/12/2015,26/12/2015,2/1/2016,9/1/2016,16/1/2016,23/1/2016,30/1/2016,6/2/2016,13/2/2016,20/2/2016,27/2/2016,5/3/2016,12/3/2016,19/3/2016,26/3/2016,2/4/2016,9/4/2016,16/4/2016,23/4/2016,30/4/2016,7/5/2016,14/5/2016,21/5/2016,28/5/2016,4/6/2016,11/6/2016,18/6/2016,25/6/2016,2/7/2016,9/7/2016,16/7/2016,23/7/2016,30/7/2016,6/8/2016,13/8/2016,20/8/2016,27/8/2016,3/9/2016,10/9/2016,17/9/2016,24/9/2016,1/10/2016,8/10/2016,15/10/2016,22/10/2016,29/10/2016,5/11/2016,12/11/2016,19/11/2016,26/11/2016,3/12/2016,10/12/2016,17/12/2016,24/12/2016,31/12/2016,7/1/2017,14/1/2017,21/1/2017,28/1/2017,4/2/2017,11/2/2017,18/2/2017,25/2/2017,4/3/2017,11/3/2017,18/3/2017,25/3/2017,1/4/2017,8/4/2017,15/4/2017,22/4/2017,29/4/2017,6/5/2017,13/5/2017,20/5/2017,27/5/2017,3/6/2017,10/6/2017,17/6/2017,24/6/2017,1/7/2017,8/7/2017,15/7/2017,22/7/2017,29/7/2017,5/8/2017,12/8/2017,19/8/2017,26/8/2017,2/9/2017,9/9/2017,16/9/2017,23/9/2017,30/9/2017,7/10/2017,14/10/2017,21/10/2017,28/10/2017,4/11/2017,11/11/2017,18/11/2017,25/11/2017,2/12/2017,9/12/2017,16/12/2017,23/12/2017,30/12/2017,6/1/2018,13/1/2018,20/1/2018,27/1/2018,3/2/2018,10/2/2018,17/2/2018,24/2/2018,3/3/2018,10/3/2018,17/3/2018,24/3/2018
Guerrero,61,0,10,0,0,0,15,44,52,69,100,100,50,37,90,66,100,80,33,34,43,40,21,27,9,60,58,44,71,65,100,100,100,100,100,99,100,100,48,49,39,37,26,24,21,6,21,27,41,56,28,62,21,47,9,42,19,61,56,29,33,28,65,21,35,53,37,26,43,19,27,100,27,25,15,35,0,0,25,0,30,100,54,18,66,0,23,0,20,0,30,26,14,0,9,12,12,3,3,4,0,2,9,0,8,0,0,29,14,0,18,0,0,56,59,0,33,64,0,0,0,0
Hidalgo,0,30,12,0,0,0,0,44,53,54,25,48,18,16,37,10,21,33,30,31,48,13,15,0,4,5,9,9,13,12,0,0,8,6,6,14,4,6,17,18,5,10,10,16,10,7,4,2,0,0,5,8,0,17,0,0,0,0,0,13,0,0,40,0,15,0,0,0,0,33,16,31,0,46,0,0,0,0,21,21,0,0,0,32,29,17,11,0,17,0,0,21,0,7,0,0,5,3,0,3,0,4,0,0,0,0,0,0,0,0,0,22,41,0,15,0,25,17,30,14,22,0
Jalisco,9,9,2,4,11,4,3,100,66,51,38,45,22,20,26,31,35,23,28,23,30,28,19,5,9,13,8,15,7,10,4,4,2,4,3,16,8,6,10,8,7,5,9,7,4,5,6,7,5,12,9,13,9,13,12,8,2,7,8,13,3,0,8,16,6,25,13,19,20,23,4,13,5,9,8,9,9,6,13,4,3,13,4,6,8,6,6,11,20,23,6,6,19,7,4,9,14,5,5,8,7,4,4,10,17,47,7,27,8,10,9,23,42,4,10,12,5,4,19,16,10,0
Mexico City,6,9,3,7,4,5,9,33,53,69,31,44,20,17,17,21,27,40,31,25,29,28,10,11,10,13,7,5,10,7,5,4,5,6,5,15,13,11,10,9,8,6,9,5,4,6,5,6,8,8,7,11,8,10,4,9,5,15,8,11,10,9,12,18,8,4,11,31,10,15,6,8,13,12,7,5,5,13,4,9,12,9,7,15,7,13,6,10,11,8,5,10,14,6,6,7,2,3,1,2,2,1,3,2,4,8,1,4,4,2,3,8,4,8,3,6,17,8,9,10,25,3
Michoacán,18,33,0,15,0,0,10,10,49,39,35,44,20,22,29,35,13,35,41,27,26,9,19,7,3,4,12,6,9,8,6,13,3,4,4,19,18,19,11,11,5,10,7,8,5,9,5,5,7,3,7,17,13,12,6,8,0,13,7,9,0,33,13,13,0,17,45,48,0,44,0,0,17,0,9,0,0,0,44,0,9,0,0,11,19,22,0,16,0,8,16,22,8,0,5,13,0,4,0,0,0,0,0,5,4,16,0,0,0,0,11,0,30,0,0,0,0,0,0,22,0,0
Morelos,0,24,0,22,0,10,30,65,48,53,34,79,28,18,22,41,28,51,51,60,31,25,19,18,19,33,75,53,54,27,18,13,6,19,10,21,13,18,17,14,12,14,31,20,48,64,31,39,32,45,47,65,46,10,38,58,10,0,12,0,51,56,45,0,35,28,38,0,0,38,14,0,28,0,0,18,100,74,100,0,31,39,13,54,49,56,33,52,38,58,22,46,64,44,17,59,12,17,20,23,17,4,5,7,24,93,0,47,12,12,0,24,45,0,0,0,0,55,65,16,0,31
Nayarit,18,0,0,0,0,20,0,29,36,27,66,45,39,35,43,77,43,0,33,17,35,28,11,21,36,12,21,21,0,20,0,7,6,0,6,41,26,7,0,9,0,16,5,7,4,0,16,10,0,16,11,0,51,18,17,76,35,36,85,54,30,100,0,38,0,0,100,48,40,34,36,0,0,48,29,100,45,69,45,22,28,36,47,96,0,0,20,24,74,0,100,44,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,48,100,100,100,100,90,47,100,43,57,39,67,100,100,0
Nuevo Leon,11,15,2,0,3,5,0,26,48,53,28,39,16,22,18,26,22,16,25,35,12,16,8,12,3,13,15,5,5,3,4,3,1,4,3,8,7,5,5,5,5,9,12,14,32,57,74,100,100,99,100,85,65,64,25,23,19,40,14,24,17,12,38,18,29,58,31,39,5,8,46,37,6,16,13,18,25,0,20,10,13,21,6,8,10,33,9,11,43,11,16,38,30,19,15,20,6,7,8,11,10,8,9,8,13,5,5,11,6,3,7,5,30,20,11,0,19,4,22,15,17,0
Oaxaca,10,26,0,25,0,32,61,38,61,80,78,99,35,32,38,44,85,78,100,70,48,78,25,20,22,29,37,60,46,26,20,27,29,43,45,81,52,62,61,44,37,53,26,36,30,43,29,36,34,35,22,35,28,73,9,28,10,59,0,14,45,26,0,100,16,100,34,24,20,68,12,0,0,0,54,0,69,0,23,23,14,36,37,50,15,0,21,12,37,0,0,22,24,7,0,10,5,0,5,0,13,0,0,7,0,0,0,23,13,0,16,0,43,23,0,41,27,18,31,16,47,0
Puebla,18,17,3,8,0,11,0,15,47,63,25,46,31,24,25,17,33,46,39,45,20,24,14,19,16,24,14,19,14,13,8,11,6,10,7,26,13,24,31,24,12,13,18,12,8,15,12,11,17,12,23,14,11,15,6,5,7,7,15,5,16,17,21,14,11,0,6,0,28,17,27,11,36,24,10,0,8,47,8,8,20,13,4,23,5,12,7,4,19,13,40,11,12,5,14,0,4,6,1,0,1,1,4,4,2,17,0,0,0,0,6,0,0,0,25,0,10,14,23,59,36,0
Querétaro,0,0,0,0,13,8,11,11,42,57,31,30,38,4,14,34,17,17,49,13,32,11,8,8,3,22,7,14,0,3,2,0,2,2,6,21,8,7,13,3,7,6,8,3,3,4,4,4,5,3,8,0,0,20,0,0,0,0,0,0,0,0,15,0,0,18,0,0,0,12,4,0,19,0,10,0,0,23,16,8,10,13,8,0,0,0,7,0,12,8,4,0,8,0,0,0,0,0,2,2,0,1,0,3,4,0,0,0,0,0,11,0,31,15,0,14,19,13,22,11,0,0
Quintana Roo,18,0,9,20,0,9,27,75,100,100,56,83,50,40,33,51,65,51,61,48,42,96,62,35,38,65,70,30,42,70,43,17,14,16,13,49,68,59,64,45,45,75,79,62,54,89,31,40,68,78,86,85,100,100,100,51,100,75,100,77,100,64,69,33,67,67,86,100,100,100,25,98,100,59,94,66,37,56,93,100,100,67,68,100,89,100,15,27,40,37,9,9,28,27,23,33,17,5,4,0,9,14,12,24,5,98,25,81,49,17,22,35,100,54,64,100,100,55,68,56,74,48
San Luis Potosi,18,25,0,0,0,0,0,7,39,44,34,11,15,14,19,36,31,43,23,39,24,13,20,10,16,16,26,14,4,0,3,5,2,3,3,0,19,3,2,6,3,4,8,7,7,12,4,2,0,7,5,8,12,0,8,13,9,19,20,0,0,0,0,19,0,72,0,0,0,0,0,0,0,0,14,0,0,0,86,0,40,0,46,31,53,46,48,81,100,68,28,100,76,50,52,46,39,28,17,13,11,4,9,3,0,66,0,23,0,0,30,0,0,0,15,0,26,0,0,15,0,0
Sinaloa,11,29,0,0,8,6,0,23,42,75,37,49,20,26,25,42,36,24,35,6,6,10,7,14,12,8,13,3,6,3,5,0,4,0,0,3,0,2,4,6,4,9,4,3,4,4,7,7,11,12,20,52,5,61,6,48,0,14,8,0,34,19,0,0,0,37,75,18,15,0,4,0,0,0,0,0,16,0,0,0,0,13,0,0,10,0,15,0,0,0,0,23,8,14,5,7,8,2,0,3,3,3,0,3,5,18,0,35,0,0,11,35,34,17,0,0,20,28,25,0,58,0
Sonora,13,17,0,0,0,0,10,19,45,53,26,18,19,13,22,29,43,8,21,28,23,18,10,3,12,0,6,6,3,6,2,2,2,2,2,12,10,6,11,7,5,6,11,6,1,9,4,2,2,5,7,0,0,6,6,8,6,0,7,0,0,17,27,13,10,34,0,0,28,0,4,22,0,0,19,0,16,0,16,0,0,0,0,22,10,11,14,0,0,8,4,14,8,0,0,0,11,4,2,0,0,1,2,0,0,15,9,0,0,0,0,0,28,15,0,28,0,0,0,0,15,0
State of Mexico,5,7,1,0,4,5,6,23,34,49,23,31,17,16,21,31,19,25,30,30,23,18,4,11,7,13,7,7,6,6,4,4,2,5,5,10,8,6,15,11,7,6,5,2,5,3,3,3,4,4,2,9,7,10,9,6,1,7,5,5,9,15,17,5,4,12,6,29,5,8,16,8,12,25,3,15,5,8,8,3,6,6,3,2,8,4,4,3,4,4,8,14,9,1,4,6,4,0,1,8,2,2,0,1,3,12,2,6,0,0,2,9,11,3,0,0,13,4,76,56,48,4
Tabasco,77,30,0,0,0,0,0,27,48,49,22,13,19,7,25,73,41,44,49,50,31,67,26,31,11,34,0,12,34,10,4,11,9,11,8,54,5,16,46,52,25,26,35,41,35,100,30,33,34,44,38,51,17,56,11,17,73,50,26,51,59,0,77,24,57,0,82,58,0,21,15,0,100,29,18,0,0,0,0,0,17,0,30,41,0,0,26,0,22,0,15,93,100,0,8,0,6,7,0,8,5,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,23,0,0,92,0
Tamaulipas,20,0,0,15,0,0,10,30,54,65,37,48,13,19,16,18,34,15,22,17,6,47,15,11,18,12,6,3,19,9,9,0,3,2,2,3,3,7,15,10,10,21,12,5,18,23,11,19,25,35,71,23,14,37,36,87,37,54,14,27,40,0,0,0,23,53,24,17,14,24,22,0,55,34,0,11,16,25,16,8,20,50,77,80,100,71,100,100,85,100,43,46,83,48,34,91,22,19,8,22,13,9,15,15,20,61,13,30,8,8,41,14,0,0,12,0,38,52,0,45,0,23
Tlaxcala,0,0,0,0,0,0,30,0,55,40,48,45,18,29,25,45,22,24,49,34,69,0,0,11,0,0,19,18,9,0,7,0,12,0,0,0,0,7,5,9,0,6,16,0,9,5,7,0,0,0,0,17,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,13,0,60,53,0,0,0,0,0,0,0,0,0,0,34,0,0,0,40,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,18,49,3,0,10,3,0,24,52,54,42,66,29,23,50,77,49,36,61,35,19,35,14,20,7,15,10,12,7,15,10,6,8,18,20,56,83,79,100,100,73,79,100,47,35,47,29,30,33,35,28,45,20,38,28,13,9,26,7,9,16,18,56,27,22,61,17,33,41,23,100,32,36,57,15,11,24,46,0,4,19,6,29,71,5,6,3,4,6,13,13,22,20,16,12,27,11,7,4,4,7,1,5,4,10,16,5,16,8,0,5,8,0,8,16,21,18,6,22,11,57,32
Yucatan,56,30,24,69,0,0,20,40,78,95,44,72,100,100,56,84,21,63,72,34,39,44,24,23,11,22,32,21,18,22,23,13,8,10,8,31,14,37,51,46,36,56,83,84,68,81,67,89,75,100,91,100,88,79,57,60,60,100,28,57,54,35,100,69,23,55,12,52,57,48,13,45,37,100,0,33,47,22,15,15,9,47,0,22,20,34,7,17,13,0,0,8,16,5,8,12,0,2,8,0,3,1,9,3,0,35,0,20,0,10,13,56,0,0,13,33,45,0,0,0,19,25
Zacatecas,0,0,19,0,0,0,0,29,40,29,45,53,24,21,11,41,20,42,15,15,0,0,20,10,0,0,9,0,9,0,0,6,0,6,0,9,0,12,0,8,6,4,5,0,0,0,0,0,0,0,10,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,44,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,31,47,0
